'an'xing'zhe'zhi'zhao 暗行者之爪
'an'ye'shou'ge'zhe 暗夜收割者
'an'ying'kuo'jian 黯影阔剑
'bai'yan'hu'jian 白岩护肩
'ban'bi'de'rong'zha 斑比的熔渣
'ban'de'er'bo'li'jing 班德尔玻璃镜
'bao'feng'da'jian 暴风大剑
'bao'lie'mo'zhang 爆裂魔杖
'bing'bao'dao'ren 冰雹刀刃
'bing'chuan'yuan'dun 冰川圆盾
'bing'mai'hu'shou 冰脉护手
'bing'shuang'zhi'xin 冰霜之心
'bing'shuang'zhi'ya 冰霜之牙
'bo'mu'fa'pao 薄暮法袍
'bu'jia 布甲
'bu'xiu'dun'gong 不朽盾弓
'cao'jian'ren 草间人
'chang'jian 长剑
'chi're'xiang'lu 炽热香炉
'chi'tian'shi'zhi'yong 炽天使之拥
'cui'lv'ping'zhang 翠绿屏障
'cui'qu 萃取
'da'tian'shi'zhi'zhang 大天使之杖
'dai'yi'de'yue'ban'jia 带翼的月板甲
'de'la'ke'sa'de'mu'ren 德拉克萨的暮刃
'di'guo'zhi'ling 帝国指令
'duan'jian 短剑
'duo'cui'zhi'lian 夺萃之镰
'duo'lan'zhi'dun 多兰之盾
'duo'lan'zhi'jian 多兰之剑
'duo'lan'zhi'jie 多兰之戒
'duo'mi'ni'ke'ling'zhu'de'zhi'yi 多米尼克领主的致意
'e'mo'fa'dian 恶魔法典
'e'mo'zhi'yong 恶魔之拥
'fa'shi'zhi'xue 法师之靴
'fan'qu'zhi'gong 反曲之弓
'fan'xing'de'ti'xing 凡性的提醒
'fen'nu'he'ji 愤怒合剂
'feng'xing'hu'you'ti 风行狐幼体
'fu'bai'yao'shui 腐败药水
'fu'gang'jian'jia 符钢肩甲
'fu'ji'dou'peng 负极斗篷
'fu'lu'zhi'fu 缚炉之斧
'fu'yong'xing'yao'shui 复用型药水
'gang'tie'he'ji 钢铁合剂
'gang'tie'hu'jian 钢铁护肩
'gang'tie'lie'yang'zhi'xia 钢铁烈阳之匣
'gong'li'yuan'hu 公理圆弧
'gu'wu'shi'qi'yin'she'bi 鼓舞士气银蛇币
'gui'suo'de'kuang'bao'zhi'ren 鬼索的狂暴之刃
'gui'ying'xin'yue 鬼影新月
'hai'ke'si'ke'ji'fa'dian'ji 海克斯科技发电机
'hai'ke'si'ke'ji'huo'jian'yao'dai 海克斯科技火箭腰带
'hai'ke'si'yin'mo'dao 海克斯饮魔刀
'hai'yao'sha'shou 海妖杀手
'hei'an'feng'yin 黑暗封印
'hei'se'qie'ge'zhe 黑色切割者
'hei'wu'ju'lian 黑雾巨镰
'hei'yao'shi'feng'ren 黑曜石锋刃
'hong'shui'jing 红水晶
'huan'ying'zhi'wu 幻影之舞
'hui'jin'xiao'dao 灰烬小刀
'hui'yao'mei'de 辉耀美德
'ji'bing'sui'pian 极冰碎片
'ji'ke'de'ju'he 基克的聚合
'ji'she'ai'si'sui'pian 基舍艾斯碎片
'ji'she'huo'pao 疾射火炮
'jie'bei'yan'shi 戒备眼石
'jin'chan'chan 金铲铲
'jin'ji'diao'xiang 禁忌雕像
'jing'jue'yan'shi 警觉眼石
'jing'shi 净蚀
'jing'ti'hu'wan 晶体护腕
'jiu'shu 救赎
'ju'chi'duan'bi 锯齿短匕
'ju'ren'yao'dai 巨人腰带
'ju'she'zhi'ya 巨蛇之牙
'ju'shen'feng'yuan'dun 巨神峰圆盾
'ju'xing'jiu'tou'she 巨型九头蛇
'jun'tuan'sheng'dun 军团圣盾
'ka'li'si'ta'de'hei'se'chang'mao 卡莉丝塔的黑色长矛
'kang'mo'dou'peng 抗魔斗篷
'kao'er'fei'de'de'zhan'chui 考尔非德的战锤
'ke'xue'zhan'fu 渴血战斧
'kong'zhi'shou'wei 控制守卫
'ku'wei'bao'zhu 枯萎宝珠
'kuang'feng'zhi'li 狂风之力
'kuang'nu'xiao'dao 狂怒小刀
'kuang'zhan'shi'jing'jia 狂战士胫甲
'lan'de'li'de'ku'chu 兰德里的苦楚
'lan'dun'zhi'zhao 兰顿之兆
'lan'qie 岚切
'lan'shui'jing 蓝水晶
'lian'jin'ke'ji'chun'hua'qi 炼金科技纯化器
'lian'jin'peng'ke'lian'ju'jian 炼金朋克链锯剑
'lin'dong'zhi'lin 凛冬之临
'ling'qiao'pi'feng 灵巧披风
'liu'shui'fa'zhang 流水法杖
'lu'deng'de'ji'dang 卢登的激荡
'ma'mo'ti'wu'si'zhi'shi 玛莫提乌斯之噬
'mei'jia'de'qie'hun'juan 梅贾的窃魂卷
'meng'dong'yan'shi 萌动眼石
'mi'kai'er'de'zhu'fu 米凯尔的祝福
'mi'yin'li'ming 秘银黎明
'miao'biao 秒表
'mie'shi'zhe'de'si'wang'zhi'mao 灭世者的死亡之帽
'mo'lei'nuo'mi'dian 莫雷诺秘典
'mo'qie 魔切
'mo'ri'han'dong 末日寒冬
'mo'zong 魔宗
'na'shi'zhi'ya 纳什之牙
