'ai'dang'shi'xi'mo'zhi 哀当世兮莫知
'ai'du'ku'si'zhi'wu'le'xi 哀独苦死之无乐兮
'ai'gao'qiu'zhi'chi'an'xi 哀高丘之赤岸兮
'ai'gao'qiu'zhi'wu'nv 哀高丘之无女
'ai'gu'bang'zhi'feng'yang 哀故邦之逢殃
'ai'gu'du'zhi'ri'yuan 哀故都之日远
'ai'guang'miao'shi 娭光眇视
'ai'jian'jun'er'bu'zai'de 哀见君而不再得
'ai'jiang'nan 哀江南
'ai'ju'zhe'zhi'cheng'zhen 哀居者之诚贞
'ai'ku'yang'zhi'yuan'chu 哀枯杨之冤雏
'ai'ling'xiu'zhi'guo'dao 哀灵修之过到
'ai'min'sheng'zhi'duo'jian 哀民生之多艰
'ai'ming'ai'shi'ming'zhi'bu'he'xi 哀命哀时命之不合兮
'ai'nan'yi'zhi'mo'wu'zhi'xi 哀南夷之莫吾知兮
'ai'ping'cha'xi'mi'miu'yu 哀平差兮迷谬愚
'ai'pu'fu'zhi'kan'du'xi 哀仆夫之坎毒兮
'ai'qiu'dong'zhi'xu'feng 欸秋冬之绪风
'ai'ren'sheng'zhi'chang'qin 哀人生之长勤
'ai'ren'shi'zhi'bu'xing'xi 哀人事之不幸兮
'ai'shi'ming'ai'shi'ming'zhi'bu'ji'gu'ren'xi 哀时命哀时命之不及古人兮
'ai'sui'min'tian'xi'qing'liang 哀岁旻天兮清凉
'ai'suo'qiu'xi'bu'ou 哀所求兮不耦
'ai'wo'xi'gua'du 哀我兮寡独
'ai'wu'sheng'zhi'wu'le'xi 哀吾生之无乐兮
'ai'wu'xi'jie'te 哀吾兮介特
'ai'xi'shuai'zhi'xiao'zheng 哀蟋蟀之宵征
'ai'xi'you 哀兮忧
'ai'xing'ti'zhi'li'jie'xi 哀形体之离解兮
'ai'ying'huang'tian'zhi'bu'chun'ming'xi 哀郢皇天之不纯命兮
'ai'yu'sheng'zhi'bu'dang'xi 哀余生之不当兮
'ai'yu'shou'zhi'fu'jiang 哀余寿之弗将
'ai'zai'xi'gu'gu 哀哉兮淈淈
'ai'zhen'shi'zhi'bu'dang 哀朕时之不当
'ai'zhong'fang'zhi'wu'hui 哀众芳之芜秽
'ai'zhou'tu'zhi'ping'le'xi 哀州土之平乐兮
'ai'zi'xu'zhi'shen'shi 哀子胥之慎事
'an'de'fu'liang'yao 安得夫良药
'an'de'liang'gong'er'pou'zhi 安得良工而剖之
'an'fang'an'shu 安放安属
'an'miao'miao'er'wu'suo'gui'bo 安眇眇而无所归薄
'an'neng'jiu'jian'ci'zhuo'shi 安能久见此浊世
'an'neng'yi'hao'hao'zhi'bai 安能以皓皓之白
'an'neng'yi'shen'zhi'cha'cha 安能以身之察察
'an'yi'ding'zhi 安以定只
'an'yi'shu'zhi 安以舒只
'ang'ming'yue'er'tai'xi'xi 卬明月而太息兮
'ao'dai'shan'bian 鼇戴山抃
'ao'xi'er'xi'chong'fang 艹枲耳兮充房
'ao'zhen'ci'er'bu'ting 敖朕辞而不听
'ba'mu'jiu'qian'xie 拔木九千些
'ba'qian'xuan'zhi'xi 拔搴玄芝兮
'ba'zhu'he'dang 八柱何当
'bai'cao'meng'xi'hua'rong 百草萌兮华荣
'bai'cao'yu'er'bu'chang 百草育而不长
'bai'fan'xi'cheng'wang 白薠兮骋望
'bai'hao'jiao'zhi 白皓胶只
'bai'hu'cheng'er'wei'you'fei 白虎骋而为右騑
'bai'hu'wei'zhi'qian'hou 白虎为之前後
'bai'long'xi'jian'she 白龙兮见射
'bai'lu'fen'yi'tu'tu'xi 白露纷以涂涂兮
'bai'lu'ji'xia'bai'cao'xi 白露既下百草兮
'bai'lu'jiu'jia'xi'huo'teng'huo'yi 白鹿麔麚兮或腾或倚
'bai'mao'yi'xi'chuan'mai 百贸易兮传卖
'bai'ni'ying'fu 白蜺婴茀
'bai'ri'chu'zhi'you'you 白日出之悠悠
'bai'ri'wan'wan'qi'jiang'ru'xi 白日晼晚其将入兮
'bai'ri'wan'wan'qi'jiang'ru'xi 白日晼晼其将入兮
'bai'ri'zhao'zhi 白日昭只
'bai'shen'yi'qi'bei'jiang'xi 百神翳其备降兮
'bai'yu'xi'wei'zhen 白玉兮为镇
'bai'zhi'sheng 白芷生
'ban'lu'li'qi'shang'xia 斑陆离其上下
'ban'man'yan'er'fang'xing 斑漫衍而方行
'ban'qi'xiang'fen'xie 班其相纷些
'ban'yan'yan'zhi'ming'ming 班衍衍之冥冥
'ban'zhang'chi'zhi'xin'qi 伴张驰之信期
'bang'fang'xi'xia'liu 榜舫兮下流
'bao'bi'xi'sha'li 宝彼兮沙砾
'bao'da'de'zhi'you'you 报大德之优游
'bao'jin'xi'wei'ji 宝金兮委积
'bao'jue'mei'yi'jiao'ao'xi 保厥美以骄傲兮
'bao'shen'ming'zhi'qing'cheng'xi 保神明之清澄兮
'bao'shou'ming'zhi 保寿命只
'bao'xian'xi'fei'fei 雹霰兮霏霏
'bao'zhao'hua'xi'bao'zhang 抱昭华兮宝璋
'bei'bi'li'xi'dai'nv'luo 被薜荔兮带女萝
'bei'bu'fan'yu'zhi'suo'ju'xi 悲不反余之所居兮
'bei'chu'ren'zhi'he'shi'xi 悲楚人之和氏兮
'bei'dou'wei'wo'zhe'zhong'xi 北斗为我折中兮
'bei'fa'du'er'xin'zhi'xi 背法度而心治兮
'bei'fa'rang'zhi 被发鬤只
'bei'fang'bu'ke'yi'zhi'xie 北方不可以止些
'bei'feng'xi'liao'lie 北风兮潦洌
'bei'gu'xiang'er'fa'fen'xi 悲故乡而发忿兮
'bei'he'dao'zhi'yan'yan'xi 被荷裯之晏晏兮
'bei'huang'qiu'xi'ji'ge 悲皇丘兮积葛
'bei'hui'feng'bei'hui'feng'zhi'yao'hui'xi 悲回风悲回风之摇蕙兮
'bei'jiang'jie'zhi'yi'feng 悲江介之遗风
'bei'jing'shen'zhi'bu'tong 悲精神之不通
'bei'jiu'zhou'xi'mi'jun 悲九州兮靡君
'bei'li'bang'er'jian'you 被离谤而见尤
'bei'long'men'er'ru'he'xi 背龙门而入河兮
'bei'ming'xi'xiang'dang 悲命兮相当
'bei'ming'yue'xi'pei'bao'lu 被明月兮珮宝璐
'bei'mo'bei'xi'sheng'bie'li 悲莫悲兮生别离
'bei'qiu'feng'zhi'dong'rong'xi 悲秋风之动容兮
'bei'ren'ren'zhi'jin'jie'xi 悲仁人之尽节兮
'bei'san'wu'zhi'dian'xing'xi 背三五之典刑兮
'bei'shen'tu'zhi'kang'ji 悲申徒之抗迹
'bei'sheng'mo'er'gai'cuo 背绳墨而改错
'bei'sheng'mo'yi'zhui'qu'xi 背绳墨以追曲兮
'bei'sheng'mo'zhi'zheng'fang 背绳墨之正方
'bei'shi'lan'xi'dai'du'heng 被石兰兮带杜衡
'bei'shuang'xue'zhi'ju'xia'xi 悲霜雪之俱下兮
'bei'tai'shan'zhi'wei'huang'xi 悲太山之为隍兮
'bei'wen'fu'xian 被文服纤
'bei'wo'xin'xi'zi'wei 背我信兮自违
'bei'xi'xi'er'chang'huai 悲吸吸而长怀
'bei'xia'pu'er'xi'si'xi 背夏浦而西思兮
'bei'xing'xian'xie 背行先些
