'ban'bao'liu'fu'zhi 半保留复制
'ban'bao'lu'liao'fa 半暴露疗法
'ban'bei'mei'su'lei 班贝霉素类
'ban'bi'shi'zhuang'zhi 半闭式装置
'ban'bi'suo'bu'quan 瓣闭锁不全
'ban'bi'zai'zao'shu 半鼻再造术
'ban'bian'lian 半边莲
'ban'bian'lian'shu 半边莲属
'ban'bo'dian'wei 半波电位
'ban'bu'ren'xing 半不稔性
'ban'ce'kong'jian'hu'shi 半侧空间忽视
'ban'ce'mian'bu'pian'xiao 半侧面部偏小
'ban'ce'mian'bu'zhi'ti'fa'yu'bu'liang 半侧面部肢体发育不良
'ban'ce'she'qie'chu'shu 半侧舌切除术
'ban'ceng'gong'mo'suo'duan'shu 板层巩膜缩短术
'ban'ceng'jian'xing'bai'nei'zhang 板层间性白内障
'ban'ceng'jiao'mo'yi'zhi'pian 板层角膜移植片
'ban'ceng'jiao'mo'yi'zhi'shu 板层角膜移植术
'ban'cheng'xing'bian 半成形便
'ban'chi'mu 半翅目
'ban'chi'shu'shu 板齿鼠属
'ban'chui'ti 半椎体
'ban'chui'ti'qie'chu'rong'he'shu 半椎体切除融合术
'ban'dan'jian 半胆碱
'ban'dao'dou'qiu'dan'bai 伴刀豆球蛋白
'ban'dao'dou'qiu'dan'bai'jie'he'wei'dian 伴刀豆球蛋白结合位点
'ban'dao'dou'qiu'dan'bai'shou'ti 伴刀豆球蛋白受体
'ban'dao'ti 半导体
'ban'dao'ti'ji'guang'liao'fa 半导体激光疗法
'ban'dao'ti'ji'liang'jian'kong 半导体剂量监控
'ban'dong 斑鸫
'ban'fa'de 伴发的
'ban'fa'zheng'zhuang 伴发症状
'ban'fu'wo'wei 半俯卧位
'ban'gan'zao'de 半干燥的
'ban'gong'shi'guan'li'gong'zuo 办公室管理工作
'ban'gong'shi'shi'yan'shi'jian'zhu'wu'yi'xue 办公室实验室建筑物医学
'ban'gong'shi'zi'dong'hua 办公室自动化
'ban'gu'ding'chi'qiao 半固定齿桥
'ban'gu'ding'qiao 半固定桥
'ban'gu'ding'qiao'lian'jie'ti 半固定桥连接体
'ban'gu'pen'li'duan'shu 半骨盆离断术
'ban'guan'jie'cheng'xing'shu 半关节成形术
'ban'guan'mu 半灌木
'ban'guan'mu'zhao'di 半灌木沼地
'ban'guang'an 半胱胺
