'bai'hua'tang 白华堂
'bi'gui'yuan 碧桂园
'cao'ni'ma 草你马
'cheng'xi'lu 城西路
'chi'mao 吃卯
'chi'ye 吃夜
'chi'ye'ceng 吃夜层
'cong'wan 从晚
'da'che 大车
'da'ji 妲己
'da'lu 大路
'diao'ni'la 叼你啦
'dong'feng'da'lou 东风大楼
'dou'qiao'shan 都桥山
'dou'zhong 都中
'duan'wei 段位
'duo'xie'lao'ban 多谢老板
'fa'hong'bao'wei 发红包喂
'fa'hun'ji 发昏鸡
'fu'sheng 富盛
'fu'sheng'guang'chang 富盛广场
'gan'zi 柑子
'gong'zi 公子
'gou'diao 狗叼
'gui'fei'yuan 贵妃园
'gui'nan'lu 桂南路
'he'liu 合柳
'hou'ri'xian 后日先
'hou'yi 后裔
'hui'feng 汇丰
'hui'tang 会堂
'jing'qu 景区
'jue'mao 绝毛
'kai'fa'qu 开发区
'li'bai 李白
'mao'ze'dong 毛泽东
'ming'ri 明日
'nan'zhan 南站
'ni'guang 你广
'ni'hao 你好
'pai'wei 排位
'pen'ji'she 喷鸡蛇
'po'zi 婆子
'qiao'xiang'guang'chang 侨乡广场
'qing'shou'yan 庆寿岩
'qu'dang 去荡
'rong'mu'gen 荣木根
'rong'zhou'gu'cheng 容州古城
'rong'zhou'xin'cheng 容州新城
'san'ba 三八
'san'zhong 三中
'shang'dan 上单
'shi'li 十里
'shi'li'chun 十里春
'shi'tou 石头
'si'ji 死鸡
'tai'yi'zhen'ren 太乙真人
'ti'yu'guan 体育馆
'wang'zhe'nong'yao 王者农药
'wei'rong'xian 微容县
'wei'xin'hong'bao 微信红包
'wu'sha 五杀
'xi'shan'xu 西山圩
'xian'zheng'fu 县政府
'xin'du 新都
'xiu'jiang'he'shui 秀江河水
'xiu'jiang'qiao 秀江桥
'yang'mei 杨梅
'yi'zhong 一中
'yin'he'wan 银河湾
'zao'chen 早晨
'zhan'qian'da'dao 站前大道
'zhao'ri'xian 朝日先
'zhen'wu'ge 真武阁
'zhong'huan'lu 中环路
'zhu'rou 猪肉
'zong'zhan 总站
