'a'long 阿隆
'a'shi'li 阿什利
'ai'de'hua'ka'er 爱德华卡尔
'ai'ke'si'luo'de 艾克斯罗德
'an'quan'gong'tong'ti 安全共同体
'an'quan'kun'jing 安全困境
'ao'er'sen 奥尔森
'ba'quan'guo'jia 霸权国家
'ba'quan'wen'ding'li'lun 霸权稳定理论
'ba'quan'zhi'hou 霸权之后
'bao'shou'zhu'yi 保守主义
'ben'ti'lun 本体论
'bo'la'tu 柏拉图
'bo'pu'er 波普尔
'ceng'ci'fen'xi 层次分析
'chong'tu'bo'yi'ju'zhen 冲突博弈矩阵
'chuan'tong'xian'shi'zhu'yi 传统现实主义
'ci'pin'shi'chang 次品市场
'cui'ruo'xing'xiang'hu'yi'lai 脆弱性相互依赖
'da'bian'che 搭便车
'da'jia'wei'yi'ren'yi'ren'wei'da'jia 大家为一人一人为大家
'dai'xin 戴辛
'dao'yi'wen'ti'jue'dui'hua 道义问题绝对化
'di'er'kai'mu 迪尔凯姆
'di'guo'zhu'yi 帝国主义
'di'ka'er 笛卡尔
'di'san'zhong'yi'xiang 第三种意象
'er'tong'ren'zhi'shi'yan 儿童认知实验
'fan'she'ping'jia 反射评价
'fan'shi 范式
'fan'si'zhu'yi 反思主义
'fang'fa'lun 方法论
'fen'xi'ceng'ci 分析层次
'fu'hao'hu'dong'lun 符号互动论
'fu'he'xiang'hu'yi'lai 复合相互依赖
'gai'nian'fen'xi 概念分析
'gai'nian'guan'xi'mo'xing 概念关系模型
'gao'jun'sheng 高浚生
'gao'shang'tao 高尚涛
'gao'shang'tao'quan'li'yu'gui'fan 高尚涛权力与规范
'ge'la'sai'si'fei'er'de 格拉塞斯菲尔德
'ge'li'ke 格里科
'ge'ti'li'xing 个体理性
'ge'ti'zhu'yi 个体主义
'ge'ti'zhu'yi'ben'ti'lun 个体主义本体论
'ge'ti'zhu'yi'fang'fa'lun 个体主义方法论
'gong'gong'wu'pin 公共物品
'gong'shi'de'shi'shi 共识的事实
'gong'tong'zhi'shi 共同知识
'gong'you'zhi'shi 共有知识
'guan'lian'fen'xi 关联分析
'guan'nian'fen'pei'ji 观念分配及
'guang'yi'guo'ji'guan'xi 广义国际关系
'gui'fan 规范
'gui'fan'li'lun 规范理论
'gui'fan'shi'yong'zhe 规范使用者
'gui'fan'yan'jiu'fang'fa 规范研究方法
'gui'na'wu'fa 归纳五法
'guo'ji'fa 国际法
'guo'ji'guan'xi'li'lun'shi'dao'lun 国际关系理论史导论
'guo'ji'jie'gou 国际结构
'guo'ji'jing'ji 国际经济
'guo'ji'li'yi'he'xie'lun 国际利益和谐论
'guo'ji'ti'xi'de'guan'nian'jie'gou 国际体系的观念结构
'guo'ji'ti'xi'gui'fan'jie'gou 国际体系规范结构
'guo'ji'ti'xi'jie'gou 国际体系结构
'guo'ji'xing'guo'jia 国际性国家
'guo'ji'zheng'zhi 国际政治
'guo'ji'zheng'zhi'de'she'hui'li'lun 国际政治的社会理论
'guo'ji'zheng'zhi'li'lun 国际政治理论
'guo'ji'zhi'du'de'gong'neng'li'lun 国际制度的功能理论
'guo'ji'zu'zhi 国际组织
'guo'ji'zu'zhi'jie'shi'mo'shi 国际组织解释模式
'guo'jia'de'shi'dong'xing'wen'ti 国家的施动性问题
'guo'jia'jian'chong'tu 国家间冲突
'guo'jia'jian'zheng'zhi 国家间政治
'guo'jia'li'yi 国家利益
'guo'jia'li'yi'de'chong'tu 国家利益的冲突
'guo'jia'shi'dong'zhe 国家施动者
'guo'jia'xing'wei 国家行为
