'a'xiang 阿香
'ba'qi'da'she 八岐大蛇
'bai'cang'zhu 白藏主
'bai'lang 白狼
'bai'mu'gui 百目鬼
'bai'tong'zi 白童子
'bi'an'hua 彼岸花
'bing'yong 兵俑
'bo're 般若
'bu'zhi'huo 不知火
'cang'feng'yi'mu'lian 苍风一目连
'chi'she 赤舌
'chi'ying'yao'dao'ji 赤影妖刀姬
'chong'shi 虫师
'chu'ling'shan'feng 初翎山风
'ci'mu'tong'zi 茨木童子
'da'ji'da'mo 大吉达摩
'da'tian'gou 大天狗
'da'yue'wan 大岳丸
'dai'xiao'gu'huo'niao 待宵姑获鸟
'dao'he'shen'yu'zhuan'jin 稻荷神御馔津
'dao'mu'xiao'gui 盗墓小鬼
'deng'long'gui 灯笼鬼
'du'yan'xiao'seng 独眼小僧
'e'gui 饿鬼
'er'kou'nv 二口女
'feng'huang'huo 凤凰火
'feng'li 风狸
'feng'wei'da'mo 奉为达摩
'fu'gu'qing'ji 缚骨清姬
'fu'shi'qing'xing'deng 浮世青行灯
'gu'huo'niao 姑获鸟
'gu'long'huo 古笼火
'gu'nv 骨女
'guan'hu 管狐
'gui'deng 鬼灯
'gui'nv'hong'ye 鬼女红叶
'gui'qie 鬼切
'gui'shi'bai 鬼使白
'gui'shi'hei 鬼使黑
'gui'tong'wan 鬼童丸
'gui'wang'jiu'tun'tong'zi 鬼王酒吞童子
'gui'wu'da'mo 鬼武达摩
'hai'fang'zhu 海坊主
'hai'ren 海忍
'he'tong 河童
'hei'qi'yi'hu 黑崎一护
'hei'tong'zi 黑童子
'hu'die'jing 蝴蝶精
'hua'jing 化鲸
'hua'niao'juan 花鸟卷
'huang'chuan'zhi'zhu 荒川之主
'hui'bi'shou 惠比寿
'hui'ye'ji 辉夜姬
'ji'sheng'hun 寄生魂
'jiao'tu 椒图
'jie'geng 桔梗
'jie'zi 芥子
'jin'na'luo 紧那罗
'jin'tian'yu'zao'qian 烬天玉藻前
'jin'yu'ji 金鱼姬
'jiu'ci'liang 久次良
'jiu'ming'mao 九命猫
'jiu'tun'tong'zi 酒吞童子
'kui'lei'shi 傀儡师
'li'mao 狸猫
'li'yu'jing 鲤鱼精
'lian'you 镰鼬
'lian'yu'ci'mu'tong'zi 炼狱茨木童子
'liang'mian'fo 两面佛
'ling'hai'jin'yu'ji 聆海金鱼姬
'ling'lu'yu'qian 铃鹿御前
'long'ye'cha'ji 泷夜叉姬
'lu'ming'da'yue'wan 麓铭大岳丸
'luo'xin'fu 络新妇
'mai'yao'lang 卖药郎
'mao'zhang'gui 猫掌柜
'meng'po 孟婆
'mi'tao 蜜桃
'mian'ling'qi 面灵气
'nu'liang'lu'sheng 奴良陆生
'pan'guan 判官
'qian'ji 千姬
'qing'fang'zhu 青坊主
'qing'ji 清姬
'qing'wa'ci'qi 青蛙瓷器
'qing'xing'deng 青行灯
'quan'shen 犬神
'quan'ye'cha 犬夜叉
'ren'mian'shu 人面树
'ri'he'fang 日和坊
'ru'lian'shi 入殓师
'san'wei'hu 三尾狐
'sha'sheng'wan 杀生丸
'shan'feng 山风
'shan'tong 山童
'shan'tu 山兔
'shao'yu'da'tian'gou 少羽大天狗
'shi'fa'gui 食发鬼
'shi'meng'mo 食梦貘
'shou'wu 首无
'shu'weng 书翁
'shu'zhu 数珠
'tang'zhi'san'yao 唐纸伞妖
'tao'hua'yao 桃花妖
'ti'deng'xiao'seng 提灯小僧
'tian'jian'ren'xin'gui'qie 天剑韧心鬼切
'tian'jing'xia 天井下
'tian'xie'gui'chi 天邪鬼赤
'tian'xie'gui'huang 天邪鬼黄
'tian'xie'gui'lv 天邪鬼绿
'tian'xie'gui'qing 天邪鬼青
'tiao'tiao'di'di 跳跳弟弟
'tiao'tiao'ge'ge 跳跳哥哥
'tiao'tiao'mei'mei 跳跳妹妹
'tie'shu 铁鼠
'tong'nan 童男
'tong'nv 童女
'tu'bi 涂壁
'tu'wan 兔丸
'wan'nian'zhu 万年竹
'wu'gu'shi 巫蛊师
'wu'shi'zhi'ling 武士之灵
'xi'xue'ji 吸血姬
'xia'zhong'shao'nv 匣中少女
'xiao'lang'huang'chuan'zhi'zhu 骁浪荒川之主
'xiao'lu'nan 小鹿男
'xiao'song'wan 小松丸
'xiao'xiu'zhi'shou 小袖之手
'xie'ji 蟹姬
'xie'nv 蝎女
'xing'xiong'tong'zi 星熊童子
'xiu'mu'lu'qi'ya 朽木露琪亚
'xue'nv 雪女
'xue'tong'zi 雪童子
'ya'tian'gou 鸦天狗
'yan'mo 阎魔
'yan'yan'luo 烟烟罗
'yao'dao'ji 妖刀姬
'yao'hu 妖狐
'yao'qin'shi 妖琴师
'ye'cha 夜叉
'ye'ming'bi'an'hua 夜溟彼岸花
'yi'fan'mu'mian 一反木绵
'yi'jin'zhen'tian 以津真天
'yi'mu'lian 一目连
'ying'cao 萤草
'ying'hua'yao 樱花妖
'yu'ju'chong 於菊虫
'yu'nv 雨女
'yu'xing'da'mo 御行达摩
'yu'yuan'bo're 御怨般若
'yu'zao'qian 玉藻前
'yu'zhuan'jin 御馔津
'yuan'jie'shen 缘结神
'yun'wai'jing 云外镜
'zhao'fu'da'mo 招福达摩
'zhi'wu 纸舞
'zhou'shen 帚神
'zhui'yue'shen 追月神
'zuo'fu'tong'zi 座敷童子
