'ai'bie'li 爱别离
'an'de'yu'jun'xiang'jue'jue 安得与君相诀绝
'ben'lai'wu'yi'wu 本来无一物
'bie'wen'shi'jie'shi'yuan 别问是劫是缘
'bu'fu'ru'lai'bu'fu'qing 不负如来不负卿
'bu'ke'shuo 不可说
'bu'yu'hua'you'luo 不雨花犹落
'can'chan'he'xu'shan'shui'di 参禅何须山水地
'cang'yang'jia'cuo 仓央嘉措
'cha'na'bian'shi'yong'heng 刹那便是永恒
'chan'jing 禅静
'chan'yu 禅语
'chao'you'zhang'luo 潮有涨落
'cheng'jing 澄境
'chun'hua'qiu'yue'xia'du'juan 春花秋月夏杜鹃
'chun'lai'hua'zi'qing 春来花自青
'dan'ceng'xiang'jian'bian'xiang'zhi 但曾相见便相知
'dang'de'su'ming 当得宿命
'di'er'zui'hao'bu'xiang'zhi 第二最好不相知
'di'yi'zui'hao'bu'xiang'jian 第一最好不相见
'dong'xue'ji'ji'yi'qing'han 冬雪寂寂溢清寒
'duan'yu'wu'qiu 断欲无求
'fan'jing 梵净
'fan'yin 梵音
'fang'bu'xia 放不下
'feng'song'shui'sheng'lai'zhen'pan 风送水声来枕畔
'fo'guo 佛国
'fo'yue 佛曰
'fu'fu'chen'chen'fang'wei'tai'ping 浮浮沉沉方为太平
'gou'qu'ming'cun 垢去明存
'gu'si'yue'se 古寺月色
'he'chu're'chen'ai 何处惹尘埃
'jie'xi'yuan'fen 皆系缘份
'jing'xin'shou'zhi 净心守志
'jue'zhe 觉者
'ke'hui'zhi'dao 可会至道
'man'yan'kong'hua 满眼空花
'mian'jiao'sheng'si'zuo'xiang'si 免教生死作相思
'mie'que'xin'tou'huo'yi'liang 灭却心头火亦凉
'ming'jing'yi'fei'tai 明镜亦非台
'ming'you'ji'zao 命由己造
'pi'ru'mo'jing 譬如磨镜
'po'suo'shi'jie 婆娑世界
'pu'ti'ben'wu'shu 菩提本无树
'qi'qi'luo'luo 起起落落
'qing'qing'cui'zhu'wu'fei'bo're 青青翠竹无非般若
'qiu'bu'de 求不得
'qiu'zhi'ye'piao'ling 秋至叶飘零
'ren'sheng'you'ba'ku 人生有八苦
'ren'sheng'zai'shi 人生在世
'ru'ci'bian'ke'bu 如此便可不
'ru'ci'bian'ke'bu'xiang'lian 如此便可不相恋
'ru'ci'bian'ke'bu'xiang'si 如此便可不相思
'ru'lu'yi'ru'dian 如露亦如电
'ru'meng'huan'pao'ying 如梦幻泡影
'ru'shen'chu'jing'ji'zhi'zhong 如身处荆棘之中
'ruo'li'yu'ai'zhe 若离于爱者
'shang'qi'shen'tong'qi'gu 伤其身痛其骨
'shi'jian'an'de'shuang'quan'fa 世间安得双全法
'shi'jian'wan'wu'jie'shi'hua'xiang 世间万物皆是化相
'shi'jian'wei'he'duo'ku'nao 世间为何多苦恼
'shi'jian'zhu'ban'tong'ku 世间诸般痛苦
'shou'ru'shi'guo 收如是果
'wan'fa'jie'sheng 万法皆生
'wan'wu'jie'bu'bian 万物皆不变
'wan'wu'jie'bu'dong 万物皆不动
'wo'ye'ceng'ru'ni'ban'tian'zhen 我也曾如你般天真
'wu'feng'xu'zi'fei 无风絮自飞
'wu'qiong'bo're'xin'zi'zai 无穷般若心自在
'wu'you'yi'wu'bu 无忧亦无怖
'xiang'jian'he'ru'bu'jian'shi 相见何如不见时
'xiang'you'xin'sheng 相由心生
'xin'bu'bian 心不变
'xin'bu'dong 心不动
'xin'chen 心尘
'xin'ruo'wu'wu 心若无物
'xing'yi'chan 行亦禅
'xiu'dao'mei'hua'ban'zui'weng 修到梅花伴醉翁
'xun'fo 寻佛
'yi'cao'yi'tian'tang 一草一天堂
'yi'fang'yi'jing'tu 一方一净土
'yi'hua'yi'shi'jie 一花一世界
'yi'nian'yi'qing'jing 一念一清净
'yi'nian'yu'ji'bo're'jue 一念愚即般若绝
'yi'nian'zhi'ji'bo're'sheng 一念智即般若生
'yi'pian'xu'huan 一片虚幻
'yi'qie'jie'wei'xu'huan 一切皆为虚幻
'yi'qie'wei'xin'zao 一切唯心造
'yi'qie'you'wei'fa 一切有为法
'yi'sha'yi'ji'le 一砂一极乐
'yi'shuo'ji'shi'cuo 一说即是错
'yi'xiao'yi'chen'yuan 一笑一尘缘
'yi'ye'yi'ru'lai 一叶一如来
'ying'zuo'ru'shi'guan 应作如是观
'you'ai'gu'sheng'bu 由爱故生怖
'you'ai'gu'sheng'you 由爱故生忧
'yu'mo'dong'jing'ti'zi'ran 语默动静体自然
'yu'shi'ti'hui'dao 于是体会到
'yu'yu'huang'hua'jie'shi'miao'di 郁郁黄花皆是妙谛
'yuan'chang'jiu 怨长久
'yuan'jiang'shan'se'gong'sheng'fo 愿将山色供生佛
'yuan'ju'ze'san 缘聚则散
'yuan'lai'ze'qu 缘来则去
'yuan'luo'ze'mie 缘落则灭
'yuan'qi'ji'mie 缘起即灭
'yuan'qi'ze'sheng 缘起则生
'yuan'sheng'yi'kong 缘生已空
'yue'yi'shan'ying'dao'chuang'qian 月移山影到窗前
'yue'you'ying'que 月有盈缺
'zhi'yin'bu'shi'zi'wo 只因不识自我
'zhong'ru'shi'yin 种如是因
'zuo'yi'chan 坐亦禅
