'bai'la'jiao'chao'la'huang'niu'rou 白辣椒炒腊黄牛肉
'bai'ling'gu'kou'hua'jiao 百灵菇扣花胶
'bao'zhi'yu'zi'mei'hua'can 鲍汁鱼籽梅花参
'bao'zhi'zhu'sun'dan'pin'yu'chun 鲍汁竹荪蛋拼鱼唇
'bing'zhen'hong'zhe'tou 冰镇红蛰头
'can'huang'shui'jing'ji 参皇水晶鸡
'cha'huang'gu'chao'niu'liu 茶皇菇炒牛柳
'chang'de'gan'jian'bao'yan'yu 常德干煎刨盐鱼
'chi'zhi'tai'jiao'jin'hai'luo 豉汁泰椒浸海螺
'chong'cao'dun'shui'ya 虫草炖水鸭
'chong'cao'hua'dun'ye'gui 虫草花炖野龟
'chuan'bei'liang'fen 川北凉粉
'chuan'wei'fei'teng'yu 川味沸腾鱼
'chuan'wei'kou'shui'ji 川味口水鸡
'da'mai'zhu'xian'bao 大麦煮鲜鲍
'da'pen'kou'wei'hua'cai 大盆口味花菜
'dou'chi'lei'la'jiao 豆豉擂辣椒
'du'jian'lao'shuang'shan 肚尖捞爽鳝
'duo'jiao'men'di'pi'cai 剁椒焖地皮菜
'duo'jiao'zheng'yu'tou'zi 剁椒蒸芋头仔
'e'gan'rou'li'si'ji'dou 鹅肝肉粒四季豆
'fang'yu'chao'jie'lan'miao 方鱼炒芥兰苗
'fo'tiao'qiang 佛跳墙
'fu'qi'fei'pian 夫妻肺片
'fu'rong'suan'xiang'gu 芙蓉蒜香骨
'fu'rong'xiang'la'xia 芙蓉香辣虾
'gan'guo'cha'shu'gu 干锅茶树菇
'gan'guo'dai'pi'huang'niu'rou 干锅带皮黄牛肉
'gan'guo'huang'gu'yu 干锅黄骨鱼
'gan'guo'mi'zhi'shui'yu 干锅秘制水鱼
'gan'guo'piao'xiang'ji 干锅飘香鸡
'gan'guo'qing'sun'la'rou 干锅青笋腊肉
'gan'guo'shou'si'bao'cai 干锅手撕包菜
'gan'guo'tian'ji 干锅田鸡
'gong'cai'ban'hai'zhe 贡菜拌海蜇
'gu'fa'men'er'miao'zhang 古法焖鸸鹋掌
'guang'shi'lao'jiang'gou'zi'ya 广式老姜狗仔鸭
'gui'hua'cai'die 桂花彩蝶
'gui'ling'gao 龟苓膏
'he'bao'dan'men'xian'yu'du 荷包蛋焖鲜鱼肚
'he'xiang'nuo'mi'pai'gu 荷香糯米排骨
'hong'cong'tou'jian'ju'ji 红葱头煎焗鸡
'hong'you'zhu'er 红油猪耳
'ji'po'sun'chao'wai'po'cai 鸡婆笋炒外婆菜
'ji'tang'jin'cai'miao 鸡汤浸菜苗
'ji'tang'jin'shi'shu 鸡汤浸时蔬
'ji'zhi'you'dou'fu 鸡汁油豆腐
