'a'ka'lan'si'zhi'xing 阿卡蘭斯之星
'a'niu'de'xiang'lian 阿扭的項鍊
'a'si'ke'lan'zhi'dui 阿斯克蘭之鎚
'ai'hao 哀嚎
'ai'hao'zhi'zhong 哀嚎之眾
'ai'li'qu'zhi'yan 艾利曲之眼
'ai'xi'la 艾席拉
'ai'xi'la'de'bu'tai 艾席拉的步態
'ai'xi'la'de'shou'wei 艾席拉的守衛
'ai'xi'la'de'tie'quan 艾席拉的鐵拳
'ai'xi'la'de'zhi'fu 艾席拉的制服
'ai'xi'la'de'zu'ji 艾席拉的足跡
'an'bai'zhi'ao 岸柏之傲
'an'da'li'er'de'mian'mao 安達莉爾的面貌
'an'nai'sha'zi'zhi'ren 安奈沙茲之刃
'ao'fei'si'de'zi'tai 奧菲斯的姿態
'ao'ji'de 奧吉德
'ao'ji'de'de'kai'ge 奧吉德的凱歌
'ao'ji'de'de'tong'die 奧吉德的通牒
'ao'ji'de'de'tong'yu 奧吉德的統馭
'ao'ji'de'de'zhi'pei 奧吉德的支配
'ao'ji'de'zhi'ding 奧吉德之頂
'ao'ting'zhi'zi 奧汀之子
'ba'kan'she'nu 巴坎射弩
'bai'fu'chang 百夫長
'bai'zhen'ge'zhi'xue 柏貞格之靴
'bao'feng'zhi'dun 暴風之盾
'bao'feng'zhi'yan 暴風之眼
'bao'xin'zhe 刨心者
'bao'xue'pao'nu 暴雪砲弩
'bei'ku 悲苦
'bei'tong 悲慟
'bi'lan'nu'huo 碧藍怒火
'bi'shou 匕首
'bi'xie'jian'jia 辟邪肩甲
'bo'en 博恩
'bo'en'de'gang'tie'zhi'xin 博恩的鋼鐵之心
'bo'en'de'wan'kang 博恩的頑抗
'bo'en'de'yuan'e 博恩的怨惡
'bo'en'zhi'wei'ni 博恩之違逆
'bu'er'kai'suo 布爾凱索
'bu'er'kai'suo'de'hun'jie 布爾凱索的婚戒
'bu'er'kai'suo'de'rong'guang 布爾凱索的榮光
'bu'er'kai'suo'de'zhan'shi'zhi'xue 布爾凱索的戰士之血
'bu'er'kai'suo'de'zhuang'yan'shi'ci 布爾凱索的莊嚴誓詞
'bu'xiu'zhi'wang 不朽之王
'bu'xiu'zhi'wang'de'bu'lv 不朽之王的步履
'bu'xiu'zhi'wang'de'bu'zu'ji'ban 不朽之王的部族羈絆
'bu'xiu'zhi'wang'de'chuan'qi 不朽之王的傳奇
'bu'xiu'zhi'wang'de'sheng'li 不朽之王的勝利
'bu'xiu'zhi'wang'de'sui'yan'zhe 不朽之王的碎岩者
'bu'xiu'zhi'wang'de'yong'heng'tong'zhi 不朽之王的永恆統治
'bu'xiu'zhi'wang'de'zhu'tie 不朽之王的鑄鐵
'chang'bing'wu'qi 長柄武器
'chang'chuan'zhi'er 長串之耳
'cheng'yun'ming'yue 澄雲明月
'chuan'chang 船長
'chui'quan 錘拳
'cu'cao'zhi'ji'xue 粗糙至極靴
'cu'ye'shao'nian'zu 粗野少年足
'da'dian'xiang'ju 大殿香炬
'dan'ni'da 丹妮妲
'dan'ni'da'de'xin'tiao 丹妮妲的信條
'dan'ni'da'zhi'fu'chou 丹妮妲之復仇
'dan'ni'da'zhi'yuan'e 丹妮妲之怨惡
