'bai'wan'dun'xi'shou 百万吨吸收
'bai'wu 白雾
'bao'feng'xue 暴风雪
'bing'bao 冰雹
'bing'li 冰粒
'bing'qiu 冰球
'bing'ya 冰牙
'bing'zhen 冰针
'cao'di'mo'yin 草笛魔音
'chao'ji'xi'shou 超级吸收
'chao'xuan 潮旋
'chong'dian 充电
'chong'dian'guang'shu 充电光束
'chong'lang 冲浪
'da'cao'jie 打草结
'da'lei 打雷
'dao'ye 刀叶
'dian'ci'bo 电磁波
'dian'ci'fu'you 电磁浮游
'dian'ci'pao 电磁炮
'dian'ji 电击
'dian'ji'bo 电击波
'dong'feng 冻风
'fan'nao'zhong'zi 烦恼种子
'fang'dian 放电
'fang'hu'zhao 防护罩
'fang'xiang'zhi'liao 芳香治疗
'fei'ye'kuai'dao 飞叶快刀
'feng'kuang'zhi'wu 疯狂植物
'fu'te'gong'ji 伏特攻击
'gao'su'yi'dong 高速移动
'gen'shen'di'gu 根深蒂固
'guang'xue'he'cheng 光学合成
'hei'wu 黑雾
'hua'zhi'wu 花之舞
'ji'dong'guang'xian 急冻光线
'ji'dong'quan 急冻拳
'ji'guang'shu 极光束
'ji'sheng'zhong'zi 寄生种子
'jia'ke 夹壳
'jue'dui'ling'du 绝对零度
'lei'guang'zhang 雷光掌
'lei'ya 雷牙
'ma'bi'fen 麻痹粉
'mian'bao'zi 棉孢子
'ming'xiang 冥想
'mo'fa'ye 魔法叶
'mo'gu'bao'zi 蘑菇孢子
'mu'chui 木槌
'neng'liang'bian'da 能量鞭打
'neng'yuan'qiu 能源球
'nian'li 念力
'pang'xie'quan 螃蟹拳
'pao'mo'guang'xian 泡沫光线
'pao'pao 泡泡
'pen'she'shui'zhu 喷射水柱
'pen'shui 喷水
'qi'yu 祈雨
'qian'shui 潜水
'shan'dian 闪电
'shen'tong'li 神通力
'shi'meng 食梦
'shi'wan'fu'te 十万伏特
'shui'bo'dong 水波动
'shui'dian'pao 水电炮
'shui'mian'fen 睡眠粉
'shui'pao 水炮
'shui'qiang 水枪
'shui'zhi'you 水之游
'shui'zhu'quan 水柱圈
'shui'zhu'wei 水柱尾
'shun'jian'shi'yi 瞬间失忆
'suo'ke 缩壳
'teng'bian 藤鞭
'wu'xian'neng'liang 无限能量
'xi'shou 吸收
'xi'xue 细雪
'xian'zhi 先知
'xue'beng 雪崩
'yan'shui 盐水
'yang'guang'lie'yan 阳光烈焰
'ye'feng'bao 叶风暴
'yu'yue'long'men 鱼跃龙门
'zhang'yu'tong'pao 章鱼桶炮
'zhen'ye'an'qi 针叶暗器
'zhong'li 重力
'zhong'zi'bao'dan 种子爆弹
'zhong'zi'ji'guan'qiang 种子机关枪
'zhong'zi'zhao'ming'dan 种子照明弹
'zhuo'liu 浊流
