'bai'jing'fei'huang'ran 白睛非黄染
'bei'bai 背白
'bei'bu'shu 背不舒
'bi'liu'xue 鼻流血
'bi'mu'you'fa'shi'shen 闭目诱发失神
'bi'qian'ting'mi'lan 鼻前庭糜烂
'bian'tuo'chu 便脱出
'bian'zhong'zhui 便重坠
'bing'du'xing'xin'ji'yan'hou 病毒性心肌炎后
'bu'yu 不语
'da'bian'huang 大便黄
'da'bian'mi 大便秘
'da'bian're 大便热
'dong'zuo'shou'xian 动作受限
'er'jian'ban'fan'liu 二尖瓣返流
'fei'chang'ji'jin'zhang 腓肠肌紧张
'fei'mian'hong 非面红
'fei'pi'lao'gan 非疲劳感
'fu'zhong 浮肿
'gu'zhong'da 骨肿大
'huo'dong'bu'da 活动不大
'huo'dong'bu'li 活动不利
'ji'hong'zhen 脊红疹
'ji'rou'ban 肌肉斑
'jian'tu'xia'yin'tong 剑突下隐痛
'jian'xia'chui 睑下垂
'jiao'mo'shang'pi'dian'zhuang'zhuo'se 角膜上皮点状着色
'jiao'mo'xia'fang'qing'du'ran'se 角膜下方轻度染色
'jin'ge'da 筋疙瘩
'jing'bu'fa'jiang 颈部发僵
'jing'hong'se'ban'qiu'zhen 颈红色斑丘疹
'jing'hou'dong'mai'bo'dong'xiao'shi 胫后动脉搏动消失
'jing'xing'kou'mi 经行口糜
'jing'zhuan'jin 胫转筋
'jing'zhui'bian'zhi 颈椎变直
'kou'chun'pi'fu'gan'lie 口唇皮肤干裂
'kou'pao'mo 口泡沫
'kou'you'pian 口右偏
'kou'zhang'men 口胀闷
'liang'ce'gu'dong'mai'bo'dong'zheng'chang 两侧股动脉搏动正常
'liang'tui'suan'ruan 两腿酸软
'lv'pao'shou'lian 滤泡收敛
'mai'shi 脉实
'mian'jia'teng'tong 面颊疼痛
'mian'se'huang'an 面色黄暗
'mian'se'shang'ke 面色尚可
'mian'shang'ke 眠尚可
'mian'shou 面瘦
'niao'zeng'jia 尿增加
'nie'ce'wei'suo 颞侧萎缩
'pi'fu'ban'hen 皮肤瘢痕
'pi'fu'bu'ze 皮肤不泽
'pi'fu'hong'chi 皮肤红赤
'pi'fu'zi 皮肤紫
'pi'se'hei 皮色黑
'pi'se'zheng'chang 皮色正常
'qian'xiong'chong'xue 前胸充血
'quan'shen'fa'leng 全身发冷
'quan'shen'qi'cuan 全身气窜
'quan'shen'zi 全身紫
'ru'fang'bing'bian 乳房病变
'ru'fang'se'ban 乳房色斑
'se'an 色暗
'shang'bi'ying 上臂硬
'she'bian'hong 舌边红
'she'gen'zhong'zhang 舌根肿胀
'she'jian'nen'hong 舌尖嫩红
'she'liang'pan'yan'hong 舌两畔殷红
'she'tai'bai'shao'ni 舌苔白稍腻
'she'tai'qiang 舌苔呛
'she'tai'you'jin 舌苔有津
'she'wei'suo 舌萎缩
'she'wu'te'shu 舌无特殊
'she'xia'hou'ni 舌下厚腻
'she'zhi'an 舌质暗
'shen'shi'hun'mei 神识昏寐
'shou'bi'ma'mu 手臂麻木
'shou'zu'duo'guan'jie'tong 手足多关节痛
'shuang'ce'bian'tao'xian'zhong'da 双侧扁桃腺肿大
'shuang'yan'jie'mo'shao 双眼结膜少
'shuang'yan'xia'chui 双眼下垂
'shuang'yan'yang 双眼痒
'shui'jiao'bu'ta'shi 睡觉不踏实
'tan'se'shao 痰色少
'tan'shi'ti'zhi 痰湿体质
'tou'bai 头白
'tun'bu'jie'zhong 臀部疖肿
'wan'liang 腕凉
'wang'mo'ban 网膜斑
'wei'zhang'tong 胃胀痛
'xia'fu'teng'tong'ming'xian 下腹疼痛明显
'xia'zhi'fei'bu'shi 下肢非不适
'xia'zhi'jing'mai'shao 下肢静脉少
'xiao'bian'ru'chang 小便如常
'xin'ji 心悸
'xin'qian'qu'pin'fa 心前区频发
'xin'qian'qu'teng 心前区疼
'xiong'bie'men'bu'shi 胸憋闷不适
'xue'ya'bu'wen 血压不稳
'ya'chi'hei 牙齿黑
'yan'se 咽涩
'yi'shi'hun 意识昏
'yin'jing'kui'yang 阴茎溃疡
'you'ce'zhi'ti'teng 右侧肢体疼
'you'shang'fu'tong 右上腹痛
'you'yan'shang'jian'zeng'sheng 右眼上睑增生
'you'zu'teng'tong 右足疼痛
'yue'jing'yan'hou 月经延后
'zang'yi'chang 脏异常
'zhang'zhi'guan'jie'ya'tong 掌指关节压痛
'zhi'fa'hei 指发黑
'zhi'mao'tuo'luo 趾毛脱落
'zu'bei'bu'dong'mai'bo'dong'xiao'shi 足背部动脉搏动消失
'zu'zhi'wu'yi'chang 足趾无异常
'zuo'ce'da'tui'tong 左侧大腿痛
'zuo'ce'jing'hou'dong'mai'bo'dong'xiao'shi 左侧胫后动脉搏动消失
'zuo'er'xia'jiang 左耳下降
'zuo'mian'bu'shao 左面部少
'zuo'sai'zhong'tong 左腮肿痛
'zuo'shou'cuo'shang 左手挫伤
'zuo'xie'teng'tong 左胁疼痛
'zuo'zu'xin'teng'tong 左足心疼痛
'zuo'zu'yin'yin'zuo'tong 左足隐隐作痛
