'ai'ma 艾玛
'ai'mi'li 艾米丽
'ba'er'ke 巴尔克
'ban'en 班恩
'chang'zhang 厂长
'ci'shan'jia 慈善家
'fan'wu'jiu 范无咎
'fei'lei'di 费雷迪
'ha'si'ta 哈斯塔
'hai'lun'na 海伦娜
'hong'die 红蝶
'huang'yi 黄衣
'ji'xie'shi 机械师
'jian'guan'zhe 监管者
'jian'zhu'shi 建筑师
'jie'ke 杰克
'ka'er 卡尔
'kai'wen 凯文
'ke'li'qie 克利切
'kong'jun 空军
'ku'te 库特
'li'ao 里奥
'lu'tou 鹿头
'lv'shi 律师
'ma'ge'li'sha 玛格丽莎
'mang'nv 盲女
'mao'xian'jia 冒险家
'mei'zhi'zi 美智子
'mo'shu'shi 魔术师
'nai'bu 奈布
'qian'feng 前锋
'qiu'ke 裘克
'qiu'sheng'zhe 求生者
'ru'lian'shi 入殓师
'se'wei 瑟维
'she'ying'shi 摄影师
'su'san 宿伞
'ta'er'ma 塔尔玛
'te'lei'xi 特雷西
'tiao'xiang'shi 调香师
'wei'la 薇拉
'wei'lian 威廉
'wu'nv 舞女
'xian'zhi 先知
'xiao'chou 小丑
'xie'bi'an 谢必安
'xing'yun'er 幸运儿
'yi'lai 伊莱
'yi'sheng 医生
'yong'bing 佣兵
'yuan'ding 园丁
'yue'se'fu 约瑟夫
'zhi'zhu 蜘蛛
