'ai'li'ke'sen'de'ren'ge'fa'ju'li'lun 埃里克森的人格发遽理论
'ai'sa'ke'si'de'zi'wo'fa'zhan'li'lun 艾萨克斯的自我发展理论
'ai'sen'ke'de'ren'ge'li'lun 艾森克的人格理论
'ao'er'bo'te'de'ren'ge'li'lun 奥尔波特的人格理论
'ba'fu'luo'fu'de'qi'zhi'lei'xing'xue'shuo 巴甫洛夫的气质类型学说
'ba'fu'luo'fu'de'qing'xu'li'lun 巴甫洛夫的情绪理论
'bei'dong'gong'ji'xing'ren'ge 被动攻击性人格
'bian'yuan'xing'ren'ge 边缘性人格
'du'li'ren'ge 独立人格
'duo'chong'ren'ge 多重人格
'duo'la'de'he'mi'le'de'ren'ge'li'lun 多拉德和米勒的人格理论
'fan'she'hui'ren'ge 反社会人格
'fang'yu'ji'zhi 防御机制
'fei'zhi'dao'xing'jing'shen'fen'xi 非指导性精神分析
'fei'zun'feng'ren'ge 非遵奉人格
'fen'lie'xing'ren'ge 分裂型人格
'fen'xi'xin'li'xue 分析心理学
'feng'te'de'qing'gan'san'du'shuo 冯特的情感三度说
'fu'luo'yi'de'de'ren'ge'li'lun 弗洛伊德的人格理论
'ge'ren'gou'nian'li'lun 个人构念理论
'ge'ti'xin'li'xue 个体心理学
'huan'xing'ren'ge 环性人格
'hui'bi'xing'ren'ge 回避型人格
'huo'ni'de'li'lun 霍妮的理论
'ji'zhu'ge'shan'ji'shu 积贮格栅技术
'jian'kang'ren'ge 健康人格
'jin'zhang'yu'ren'ge 紧张与人格
'jing'shen'fen'lie'yang'ren'ge 精神分裂样人格
'jing'shen'fen'xi'de'zi'wo'fa'zhan'li'lun 精神分析的自我发展理论
'jing'shen'xuan'xie 精神宣泄
'jing'shen'zong'he 精神综合
'ka'te'er'de'ren'ge'li'lun 卡特尔的人格理论
'ka'te'er'ren'ge'yin'su'wen'juan 卡特尔人格因素问卷
'kan'nong'ba'de'de'qing'xu'li'lun 坎农巴德的情绪理论
'li'bi'duo 里比多
'liang'xing'xian'xiang 两性现象
'lie'ang'jie'fu'de'huo'dong'yi'shi'he'ge'xing'li'lun 列昂捷夫的活动意识和个性理论
'lu'wen'ge'de'zi'wo'fa'zhan'li'lun 卢文格的自我发展理论
'luo'jie'si'de'ren'ge'li'lun 罗杰斯的人格理论
