'ai'guo'zhu'yi 爱国主义
'an'lao'fen'pei'wei'zhu'ti 按劳分配为主体
'an'quan'fang'kong'ti'xi 安全防控体系
'an'sheng'chan'yao'su'fen'pei 按生产要素分配
'ba'rong'ba'chi 八荣八耻
'ban'shi'shi 办实事
'bang'lian'zhi 邦联制
'bao'chi'qing'xing'tou'nao 保持清醒头脑
'bao'min'sheng 保民生
'bao'min'zheng'zhi 暴民政治
'bao'wen'ding 保稳定
'bao'zeng'zhang 保增长
'bao'zhang'ren'min'ge'xiang'quan'yi 保障人民各项权益
'bao'zhang'she'hui'gong'ping'zheng'yi 保障社会公平正义
'bao'zhang'xing 保障性
'bei'tong'zhi'jie'ji 被统治阶级
'bi'jing'jie 比境界
'bi'xu'shun'ying 必须顺应
'bi'xu'yu'hong'yang'shi'dai'jing'shen'xiang'jie'he 必须与弘扬时代精神相结合
'bi'yao'xing 必要性
'bian'zheng'fa 辩证法
'bian'zheng'fou'ding'guan 辩证否定观
'bian'zheng'guan'xi 辩证关系
'bian'zheng'si'wei 辩证思维
'bu'duan'gai'shan'ren'min'sheng'huo 不断改善人民生活
'bu'tong'zheng'jian 不同政见
'bu'xie'fen'dou 不懈奋斗
'cai'zheng'shou'ru 财政收入
'cai'zheng'zhi'chu 财政支出
'can'ku'zhen'ya 残酷镇压
'can'yi'yuan 参议院
'can'zheng'yi'zheng 参政议政
'cha'yi'xing'ming'xian'zeng'qiang 差异性明显增强
'chang'zhi'jiu'an 长治久安
'chang'zhua'bu'xie 常抓不懈
'cheng'bang'she'hui 城邦社会
'cheng'xu'hua 程序化
'chong'shang'fa'lv 崇尚法律
'chong'shang'fa'zhi 崇尚法制
'chong'shang'fa'zhi 崇尚法治
'chu'guo'lv'you 出国旅游
'chuan'tong'wen'hua'de'te'dian'ji'yi 传统文化的特点记忆
'chuang'xin'gong'gong'fu'wu'ti'zhi 创新公共服务体制
'chuang'xin'si'wei 创新思维
'chuang'xin'xing'shi 创新形式
'ci'yao'mao'dun 次要矛盾
'cun'min'zi'zhi 村民自治
'da'fa'zhan 大发展
'da'fan'rong 大繁荣
'da'fang'jie'he 打防结合
'da'hao'ju'mian 大好局面
'da'ju'yi'shi 大局意识
