'ba'ji'chu'de'dong'xi 把积储的东西
'ba'wo'de'shen'ti'qu'san'kai'qu 把我的身体驱散开去
'ba'zhe'shi'jie'de'chen'tu 把这世界的尘土
'bao'feng'yu'mi'ji 暴风雨密集
'bian'mi'shi'yu'da'huan'xi 便迷失于大欢喜
'bu'jue're'lei'ying 不觉热泪盈
'bu'xiu'de'fu'chu 不朽的抚触
'cai'san'zuo'bao'feng'yu'ban'de'fen'luan 才散作暴风雨般的纷乱
'cai'yan'zhe'ni'de'dao'lu'gun'zou 才沿着你的道路滚走
'cheng'wei'yi'zhong'zhang'ai 成为一种障碍
'chong'ji'zhe'wo'de'sheng'ming 冲击着我的生命
'chu'peng'dao'ni'de'shuang'zu 触碰到你的双足
'ci'qian'wo'jue'bu'gan'you'ci're'wang 此前我绝不敢有此热望
'ci'yu'de'lang'hua'zhong 赐与的浪花中
'cong'zhe'ge'shi'jie'chong'xiang 从这个世界冲向
'dang'ni'zhao'huan'wo'xian'chang 当你召唤我献唱
'diao'luo'xia'lai'de'huo'zhu 掉落下来的火珠
'er'hua'po'wu'yin'de'tian'kong 而划破无垠的天空
'er'wo'de'zhang'zhong'hai'you'kong'yu 而我的掌中还有空余
'fu'yu'ta'yong'xin'de'yue'qu 赋予它永新的乐曲
'gei'na'zai'wu'bian'de'ji'mo'li 给那在无边的寂寞里
'guang'ming'de'jiao'zhuo'wei'zhe 光明的脚镯围着
'gun'cheng'yi'tuan 滚成一团
'hei'an'zhi'shang 黑暗之上
'hu'xi'zhi'jian 呼吸之间
'huan'kuai'de'shu'zhan'chi'bang 欢快地舒展翅膀
'hui'xiang 回响
'ji'qi'le'gu'dai'hai'yang'de'zan'song 激起了古代海洋的赞颂
'ji'qi'le'lin'lin'de'guang'bo 激起了粼粼的光波
'ji'tan'jia'li 吉檀迦利
'ji'xu'liu'tang 继续流淌
'jing'feng'nu'hao 劲风怒嚎
'juan'cheng'yi'ge'xing'ti 卷成一个形体
'lang'chao'gao'juan 浪潮高卷
'li'jing'ji'shi'ji'jie 历经几世几劫
'ling'yi'ge'shi'jie 另一个世界
'mei'dang'huo'de'ni'shuang'shou 每当获得你双手
'mi'zui'yu'ge'sheng'de'huan'yue'zhong 迷醉于歌声的欢悦中
'na'sa'po'zai'sheng'ming'zhi'shang'de 那洒泼在生命至上的
'na'tu'ran'xi'lai'de'yan'juan'zhong 那突然袭来的厌倦中
'na'wan'ru'cong'sui'lie'de'xiang'lian'shang 那宛如从碎裂的项链上
'ni'de'jiu'jie'de'fa'bian 你的纠结的发辫
'ni'de'shuang'zu'yao'dong 你的双足摇动
'ni'de'xun'ji'de'bu'lv 你的迅疾的步履
'ni'fan'fu'qing'kong 你反复清空
'ni'ji'xu'qing'zhu 你继续倾注
'ni'shi'wo'lun'hui'wu'jin 你使我轮回无尽
'ni'wu'jin'de'zeng'li 你无尽的赠礼
'ni'xie'zhe'zhe'xiao'xiao'lu'di'fan'shan'yue'gu 你携着这小小芦笛翻山越谷
'ni'yi'shi'wo'de'xin 你已使我的心
'ni'yi'yu'de'juan'xiang'qian'qu 你抑郁地卷向前去
'ni'yin'yue'de'guang'ming'zhu'zhao'chen'shi 你音乐的光明烛照尘世
'ni'yin'yue'de'qi'xi'bian'ru'zhu'tian 你音乐的气息遍入诸天
'ni'yin'yue'de'sheng'liu 你音乐的圣流
'ni'zhe'yang'kong'zong'po'cu 你这样倥偬迫促
'po'chu'yi'qie'yan'shi'de'ping'zhang 破除一切岩石的屏障
'que'tu'lao'bu'neng'chu'sheng 却徒劳不能出声
'rong'hui'cheng'tian'mei'jiao'xiang 融汇成甜美交响
'ruo'shi'ni'zai 若是你在
'sao'kai'le'yi'qie'xiu'fei'zhi'wu 扫开了一切朽废之物
'shen'zhi'na'zui'wei'xiao'de'chen'ai 甚至那最微小的尘埃
'sheng'chu'miao'bu'ke'yan'de'ming'wu 生出妙不可言的明悟
'shi'bu'shi'jiu'yin'wei 是不是就因为
'shi'bu'shi'ni'de'xin'yi'jing'mi'shi 是不是你的心已经迷失
'shi'sheng'ming'geng'xin'sheng'zhang 使生命更新生长
'si'wang'sheng'lin 死亡圣霖
'sui'ran'ni'ben'shi'wo'wang 虽然你本是我王
'ta'men'zai'wo'de'xin'de'lv'dong'li 它们在我的心的律动里
'wei'qi'zai'an'shang'ba 委弃在岸上吧
'wen'cheng'tian'mei 吻成甜美
'wo'bu'zhi'ni'ru'he'yin'chang 我不知你如何吟唱
'wo'cai'neng'jie'jin'zun'yan 我才能接近尊颜
'wo'cheng'ni'wei'wo'you 我称你为我友
'wo'de'mo'bai'yi'ru'yue'yang'de'fei'niao 我的膜拜一如越洋的飞鸟
'wo'de'si'xiang 我的思想
'wo'de'xiao'xin'ling 我的小心灵
'wo'de'xin 我的心
'wo'de'xin'ji'hu'yin'jiao'ao'zhang'lie 我的心几乎因骄傲胀裂
'wo'de'xin'ke'wang'yu'ni'tong'ge 我的心渴望与你同歌
'wo'jiang'zi'ji'yi'wang 我将自己遗忘
'wo'sheng'ming'zhong'de'ku'nan'yu'bu'shi 我生命中的苦难与不适
'wo'ting'jian'hong'lei'de'hong'shui 我听见轰雷的洪水
'wo'xiang'shuo'hua'que'yu'bu'cheng'diao 我想说话却语不成调
'wo'yang'shi'ni'de'yi'rong 我仰视你的仪容
'wo'yong'song'ge'ji'zhan'de'chi'shao 我用颂歌极展的翅梢
