'bu'ke 不可
'bu'ren 不仁
'bu'wu 不武
'bu'zhi 不知
'chao'ji'er'xi'she'ban'yan 朝济而夕设版焉
'chen'zhi'zhuang'ye 臣之壮也
'ci'yue 辞曰
'feng'sun 逢孙
'fu'jin 夫晋
'gan'yi'fan'zhi'shi 敢以烦执事
'gong'cong'zhi 公从之
'gong'qi'fa'kun 共其乏困
'gong'yue 公曰
'guo'wei'yi 国危矣
'he'yan'zhi'you 何厌之有
'ji'dong'feng'zheng 既东封郑
'jian'qin'bo 见秦伯
'jiang'yan'qu'zhi 将焉取之
'jin'hou 晋侯
'jin'ji'er'qiu'zi 今急而求子
'jin'jun'han'ling 晋军函陵
'jin'lao'yi 今老矣
'jun'yi'wu'suo'hai 君亦无所害
'jun'zhi'bo'ye 君之薄也
'jun'zhi'qi'nan'ye 君知其难也
'jun'zhi'suo'zhi'ye 君之所知也
'lin'zhi'hou 邻之厚
'nai'hai 乃还
'qie'er'yu'chu'ye 且贰于楚也
'qie'jun'chang'wei'jin'jun'ci'yi 且君尝为晋君赐矣
'qin'bo'shuo 秦伯说
'qin'bo'wei'zheng 秦伯围郑
'qin'jin'wei'zheng 秦晋围郑
'qin'jun'fan'nan 秦军氾南
'que'qin'yi'li'jin 阙秦以利晋
'ran'zheng'wang 然郑亡
'ruo'bu'que'qin 若不阙秦
'ruo'she'zheng'yi'wei'dong'dao'zhu 若舍郑以为东道主
'ruo'shi'zhu'zhi'wu'jian'qin'jun 若使烛之武见秦君
'ruo'wang'zheng'er'you'yi'yu'jun 若亡郑而有益于君
'shi'bi'tui 师必退
'shi'gua'ren'zhi'guo'ye 是寡人之过也
'shi'qi'suo'yu 失其所与
'shi'qi'zi 使杞子
'wei'fu'ren'zhi'li'bu'ji'ci 微夫人之力不及此
'wei'jun'tu'zhi 唯君图之
'wu'bu'neng'zao'yong'zi 吾不能早用子
'wu'neng'wei'ye'yi 无能为也已
'wu'qi'hai'ye 吾其还也
'xing'li'zhi'wang'lai 行李之往来
'xu'jun'jiao'xia 许君焦瑕
'xu'zhi 许之
'yan'yong'wang'zheng'yi'pei'lin 焉用亡郑以陪邻
'yang'sun'shu'zhi 杨孙戍之
'ye'zhui'er'chu 夜缒而出
'yi'luan'yi'zheng 以乱易整
'yi'qi'wu'li'yu'jin 以其无礼于晋
'yi'qu'zhi 亦去之
'yi'zhi'hu'yan'yu'zheng'bo'yue 佚之狐言于郑伯曰
'yin'ren'zhi'li'er'bi'zhi 因人之力而敝之
'you'bu'ru'ren 犹不如人
'you'yu'si'qi'xi'feng 又欲肆其西封
'yu'zheng'ren'meng 与郑人盟
'yue'guo'yi'bi'yuan 越国以鄙远
'zheng'ji'zhi'wang'yi 郑既知亡矣
'zhu'zhi'wu'tui'qin'shi 烛之武退秦师
'zi'fan'qing'ji'zhi 子犯请击之
'zi'yi'you'bu'li'yan 子亦有不利焉
