'a'fu'ta'kui'yang 阿弗他溃疡
'an'ji 鞍基
'an'quan'mian'qie'pan 安全面切盘
'ba'si'shua'ya'fa 巴斯刷牙法
'ba'sui'zhen 拔髓针
'ba'ya'hou'bing'fa'zheng 拔牙后并发症
'ba'ya'qian 拔牙钳
'ba'ya'xue 拔牙学
'bai'gou 白垢
'bai'mao'she 白毛舌
'bai'se'hai'mian'zhuang'ban'zhi 白色海绵状斑痣
'bai'se'shui'zhong 白色水肿
'ban'gu'ding'qiao 半固定桥
'ban'gu'ding'qiao'lian'jie'ti 半固定桥连接体
'ban'jie'pou'shi'ya 半解剖式牙
'ban'jing'mi'zhi'tuo 半精密支托
'ban'qie'ya'shu 半切牙术
'ban'she'qie'chu'shu 半舌切除术
'bang'wei'er'san'jiao 邦威尔三角
'bao'lie'xing'gu'zhe 爆裂性骨折
'bao'mai'cai'mo'xing 包埋材模型
'bei'ban 背板
'bei'fu'nian'mo 被覆粘膜
'bei'ge'jiao'zhi'qi 贝格矫治器
'bei'nei'te'jiao 贝内特角
'bei'nei'te'yun'dong 贝内特运动
'ben'tuo'ying'yin'zeng'sheng 苯妥英龈增生
'bi'chun'nang'zhong 鼻唇囊肿
'bi'e'guan'nang'zhong 鼻腭管囊肿
'bi'gen'dian 鼻根点
'bi'hou'ji 鼻后棘
'bi'kou'yin'mo 闭口印模
'bi'qian'ji 鼻前棘
'bi'yi'er'ping'xian 鼻翼耳屏线
'bian'li'xing 便利形
'bian'ping'luan'yuan'guan 扁平卵圆管
'bian'se'ya 变色牙
'bian'xing'xing'xian'xian'zhong'da'zheng 变性型涎腺肿大症
'bian'yuan'feng'bi'qu 边缘封闭区
'bian'yuan'ji 边缘嵴
'bian'yuan'xing'yin'yan 边缘性龈炎
'bian'yuan'yin 边缘龈
'bian'yuan'yun'dong 边缘运动
'bing'li'yi'wei 病理移位
'bing'xi'suan'zhi'ji'tuo 丙烯酸酯基托
'bing'xi'suan'zhi'jia'ban 丙烯酸酯夹板
'bing'xi'suan'zhi'jia'guan 丙烯酸酯甲冠
'bing'xi'suan'zhi'mo'zuan 丙烯酸酯磨钻
'bing'xi'suan'zhi'tian'sai 丙烯酸酯填塞
'bing'xi'suan'zhi'ya 丙烯酸酯牙
'bo'li'li'zi'zhan'gu'ji 玻璃离子粘固剂
'bo'li'tan 玻璃碳
'bo'li'tan'zhong'zhi'ti 玻璃碳种植体
'bo'li'tiao'he'ban 玻璃调合板
'bo'tuo'xing'yin'yan 剥脱性龈炎
'bu'chang'qu'xian 补偿曲线
'bu'chang'qu'xian'qu'du 补偿曲线曲度
'bu'fen'guan 部分冠
'bu'fu'wei'ban 不复位瓣
'bu'gui'ze'ya'ben'zhi 不规则牙本质
'bu'lai'ke'wo'dong'fen'lei 布莱克窝洞分类
'can'gen 残根
'can'sui 残髓
'can'sui'yan 残髓炎
'can'yu'nang'zhong 残余囊肿
'can'yu'ya'cao'ji 残余牙槽嵴
'cao'shi'yuan 槽式缘
'ce'fang'guan'xi 侧方关系
'ce'fang'ping'heng 侧方平衡
'ce'fang'ya'suo 侧方压缩
'ce'fang'yun'dong 侧方运动
'ce'mao'miao'ji'qi 侧貌描记器
'ce'xiang'hua'dong'ban 侧向滑动瓣
'ce'xiang'ke'dao'xie'du 侧向髁导斜度
'ce'xiang'ke'dao'xie'du 侧向髁道斜度
'cha'dong'li 差动力
'chan'dong'xian 颤动线
'chang'ding'gai 长顶盖
'chang'guan'ya 长冠牙
'chang'jie'he'shang'pi 长结合上皮
'chang'jue'qu 猖獗龋
'chang'zheng'zhong 长正中
'chao'sheng'jie'zhi'qi 超声洁治器
'chao'sheng'jie'zhi'shu 超声洁治术
'cheng'pin'tuo'pan 成品托盘
'cheng'ren'kou'qiang'zheng'ji'xue 成人口腔正畸学
'cheng'xing'pian 成型片
'cheng'xing'pian'jia 成型片夹
'cheng'xing'qian 成形钳
'cheng'ya'ben'zhi'xi'bao 成牙本质细胞
