'an'shi'zu'e'fa'fang 按时足额发放
'bao'xian'guan'xi 保险关系
'ben'nian'du'zai'gang'zhi'gong'yue'ping'jun'gong'zi 本年度在岗职工月平均工资
'ben'ren'jiao'fei'gong'zi'ping'jun'zhi'shu 本人缴费工资平均指数
'ben'ren'zhi'shu'hua 本人指数化
'ben'ren'zhi'shu'hua'yue'ping'jun'gong'zi 本人指数化月平均工资
'ben'ren'zhi'shu'hua'yue'ping'jun'jiao'fei'gong'zi 本人指数化月平均缴费工资
'bian'dong'shen'bao 变动申报
'bian'dong'shen'he 变动审核
'bing'tui 病退
'bu'chong'xing'bao'xian 补充性保险
'bu'fa 补发
'bu'fa'li'tui'xiu'fei 补发离退休费
'bu'fa'tui'xiu'fei 补发退休费
'bu'fu 补付
'cai'bo 财拨
'cai'zheng'bo'kuan 财政拨款
'can'bao 参保
'can'bao'ren'yuan 参保人员
'chang'qi'tuo'qian 长期拖欠
'chang'xiao'ji'zhi 长效机制
'cheng'zhen'ge'ti'gong'shang'hu 城镇个体工商户
'cheng'zhen'qi'ye'zhi'gong 城镇企业职工
'chou'ji'zheng'jiao 筹集征缴
'chu'cun'e 储存额
'dan'wei'bu'fen 单位部分
'dan'wei'bu'jiao 单位补缴
'dan'wei'bu'jiao'fang'shi 单位补缴方式
'dan'wei'hua'zhuan 单位划转
'dan'wei'hua'zhuan'bu'fen 单位划转部分
'diao'chu'tong'chou'wai 调出统筹外
'diao'jin'tong'chou'nei 调进统筹内
'er'qing 二轻
'er'qing'ju 二轻局
'er'qing'xi'tong 二轻系统
'fa'ding'tui'xiu'nian'ling 法定退休年龄
'fa'ding'tui'xiu'nian'xian 法定退休年限
'fu'dong'fei'lv 浮动费率
'fu'wu'dian 服务点
'gai'ban 改办
'gai'zhi'shi'ye'dan'wei 改制事业单位
'gao'ling'tui'xiu 高龄退休
'gao'ling'tui'xiu'ren'yuan 高龄退休人员
'ge'lei'can'bao'dan'wei 各类参保单位
'ge'lei'can'bao'ren'yuan 各类参保人员
'ge'ren'bu'fen 个人部分
'ge'ren'bu'jiao 个人补缴
'ge'ren'bu'jiao'fang'shi 个人补缴方式
'ge'ren'can'bao 个人参保
'ge'ren'hua'zhuan 个人划转
'ge'ren'hua'zhuan'bu'fen 个人划转部分
'ge'ren'lei'ji'jiao'fei'nian'xian 个人累计缴费年限
'ge'ren'qian'jiao'she'hui'bao'xian'fei 个人欠缴社会保险费
'ge'ren'tou'bao 个人投保
'ge'ren'zhang'hu 个人账户
'ge'ren'zhang'hu 个人帐户
'ge'ren'zhang'hu'chu'cun'e 个人账户储存额
'ge'ren'zhang'hu'feng'cun 个人帐户封存
'ge'ren'zhang'hu'yang'lao'jin 个人账户养老金
'ge'ren'zhang'hu'yi'ci'xing'zhi'fu 个人帐户一次性支付
'ge'ren'zhang'hu'zhuan'yi 个人帐户转移
'ge'ti'si'ying'tou'bao 个体私营投保
'ge'ti'tou'bao 个体投保
'gong'shang'bao'xian 工伤保险
'gong'shang'bao'xian'fei 工伤保险费
'gong'shang'bao'xian'tong'chou'ji'jin 工伤保险统筹基金
'gong'shang'bao'xian'zhi'du 工伤保险制度
'gong'xiao'xi'tong 供销系统
'gua'kao'ren'yuan 挂靠人员
'gua'kao'tui'xiu'ren'yuan 挂靠退休人员
'guo'du'xing'yang'lao'jin 过渡性养老金
'guo'du'yang'lao'jin 过渡养老金
'huan'jiao 缓缴
'huan'jiao'qi'jian 缓缴期间
'huan'jiao'qi'man 缓缴期满
'ji'ben'yang'lao'jin 基本养老金
'ji'chu'yang'lao'jin 基础养老金
'ji'fa'ban'fa 计发办法
'ji'fa'yue'shu 计发月数
'ji'ti'can'bao 集体参保
'ji'ti'qi'ye'tou'bao 集体企业投保
'ji'ti'tou'bao 集体投保
'jian'guan'ju 建管局
'jian'guan'xi'tong 建管系统
'jian'guo'qian'lao'gong'ren 建国前老工人
'jian'lao'ren'yuan 建老人员
'jian'lao'tui'xiu'ren'yuan 建老退休人员
'jian'li'ge'ren'zhang'hu 建立个人账户
'jiang'di'fei'lv 降低费率
'jiao'fei 缴费
'jiao'fei'bi'li 缴费比例
'jiao'fei'gong'zi'zhi'shu'nian'du 缴费工资指数年度
'jiao'fei'ji'shu 缴费基数
'jiao'fei'nian'du 缴费年度
'jiao'fei'nian'xian 缴费年限
'jiao'tong'xi'tong 交通系统
'jie'chu'lao'dong'guan'xi 解除劳动关系
'jin'bao'gong'cheng 金保工程
'jin'ru'zhong'xin 进入中心
'jing'wei'xi'tong 经委系统
'kun'nan'qi'ye 困难企业
'kuo'da'fu'gai'mian 扩大覆盖面
'kuo'fu 扩覆
'kuo'fu'ren'shu 扩覆人数
'kuo'fu'ren'wu 扩覆任务
'kuo'mian 扩面
'kuo'mian'ren'shu 扩面人数
'kuo'mian'ren'wu 扩面任务
'lao'dong'bao'zhang 劳动保障
'lao'dong'bao'zhang'fu'wu'dian 劳动保障服务点
'lao'ling'hua 老龄化
'lei'ji'jiao'fei'nian'xian 累计缴费年限
'li'nian'zai'gang'zhi'gong'she'hui'ping'jun'gong'zi 历年在岗职工社会平均工资
'li'tui'xiu'ren'yuan 离退休人员
'li'tui'xiu'ren'yuan'ji'ben'yang'lao'jin 离退休人员基本养老金
'li'tui'xiu'ren'yuan'nian'jian 离退休人员年检
'li'tui'xiu'ren'yuan'si'wang 离退休人员死亡
'li'tui'xiu'zhi'gong 离退休职工
'li'xiu'gan'bu'nian'jian 离休干部年检
'li'xiu'ren'yuan 离休人员
'lian'shen 联审
'lian'xu'ji'suan 连续计算
'liang'shi'xi'tong 粮食系统
'lin'ye'xi'tong 林业系统
'ling'huo'jiu'ye'ren'yuan 灵活就业人员
'lou'bao 漏保
'nei'bu'zhuan'yi 内部转移
'nei'tui 内退
'nian'jin'zhi'du 年金制度
'nian'shen 年审
'nian'zhong'chu'li 年终处理
'nian'zhong'guo'du 年终过渡
'nong'ken'qi'ye 农垦企业
'nong'ken'xi'tong 农垦系统
'nong'lin'shui'xi'tong 农林水系统
'nong'ye'xi'tong 农业系统
'ping'heng'yun'xing 平衡运行
'qi'ye'bu'jiao 企业补缴
'qi'ye'bu'jiao'fang'shi 企业补缴方式
'qi'ye'can'bao 企业参保
'qi'ye'hua'guan'li 企业化管理
'qi'ye'qian'jiao'she'hui'bao'xian'fei 企业欠缴社会保险费
