'bai'bu'chuan'yang 百步穿杨
'bai'cao 百草
'bai'cao'wan 百草丸
'bai'niao'zhi'wu 白鸟之舞
'bai're 白热
'bao'feng'xue 暴风雪
'bao'ji 暴击
'bao'lei'ji 暴雷击
'bao'lei'yu 暴雷雨
'bao'tou 爆头
'bei'bei 备备
'bei'ci 背刺
'bei'fang'zhi'lang 北方之狼
'bei'ji'xiong 北极熊
'bi'zhan 逼战
'bian'yang 变羊
'bing'dun 冰盾
'bing'he'bao'lie'po 冰河爆裂破
'bing'jian 冰箭
'bing'jing'yu'shan 冰晶羽扇
'bing'yu 冰玉
'bo'lan'qun'shu 博览群书
'can'bing 残兵
'cao'cao 曹操
'cao'hong 曹洪
'cao'ren 曹仁
'cha'she 插蛇
'cha'zhang 插杖
'cha'zi'zhan 叉字斩
'chan'yu'a'su'da 单于阿速答
'chang'qiang'tu'ci 长枪突刺
'chao'feng 嘲讽
'chen'ji'shu 沉寂术
'chi'bao'zi 吃包子
'chi'tu'ma 赤兔马
'chi'yan'fen'shen 炽炎焚身
'chong'che 冲车
'chong'feng 冲锋
'chuai'ta 踹他
'chuan'song'shu 传送术
'ci'ke 刺客
'ci'zhen'kui'jia 刺针盔甲
'cui'mian'shu 催眠术
'da'bing 大冰
'da'di'fu 大地斧
'da'di'zhi'ci 大地之赐
'da'di'zhi'li 大地之力
'da'di'zhi'nu 大地之怒
'da'fu 大斧
'da'liang 打粮
'da'liang'cang 打粮仓
'da'long 打龙
'da'qiao 大乔
'da'shang 打上
'da'shui'ren 大水人
'da'xia 大虾
'da'xia 打下
'da'ye 打野
'da'zhong 打中
'dai'jia 代价
'dao'zei'duan'jian 盗贼短剑
'di'lei'zhen 地雷震
'di'lu 的卢
'dian'wei 典韦
'diao'bing'qian'jiang 调兵遣将
'diao'chan 貂蝉
'diao'da 掉大
'ding'bao 定爆
'ding'shi'zha'dan 定时炸弹
'ding'ta 定他
'dong'di'duo 动地跺
'dong'feng'shen'qi 东风神气
'dong'wu'yuan'yuan'zhang 动物园园长
'du'biao 毒标
'du'jian 毒箭
'du'wu 毒雾
'du'yu 毒玉
'dun'jia'tian'shu 遁甲天书
'duo'hun'shu 夺魂术
'e'gui'chui 恶鬼锤
'e'gui'zhi'chui 恶鬼之锤
'e'mo'xing'tai 恶魔形态
'fa'li'ran'shao 法力燃烧
'fa'shi'chang'pao 法师长袍
'fa'shu'mian'yi 法术免疫
'fan'dong'jian 反动剑
'fan'gu 反骨
'fan'lao'huan'tong 返老还童
'fan'shang 反伤
'fan'ying 反影
'fang'da 放大
'fang'niao 放鸟
'fang'shou'zhan'shu 防守战术
'fang'wei'ta 防卫塔
'fei'xie 飞鞋
'fei'xie'la'ren 飞鞋拉人
'fei'xie'la'ren'shi'jian 飞鞋拉人事件
'fei'xue 飞靴
'fei'yan'zhan 飞燕斩
'fen'shen'shu 分身术
'fen'sui'bo 粉碎波
'feng'bao 风暴
'feng'bao'zhang 风暴杖
'feng'bao'zhi'chui 风暴之锤
'feng'bao'zhi'zhang 风暴之杖
'feng'chuan 凤穿
'feng'huang'zhang 凤凰杖
'feng'jing'zhao'huan 风精召唤
'feng'xing 风行
'feng'xing'ren 风行刃
'feng'zhang 风杖
'feng'zhi'ban 风之绊
'feng'zhi'suo 风之锁
'feng'zhi'wu 风之舞
'fou'jue'zhi'zhang 否决之杖
'fu'bu 服部
'fu'bu'ban'zang 服部半藏
'fu'huo'zhi'hun 复活之魂
'fu'shi'feng'qun 腐蚀蜂群
'gan'ning 甘宁
'gang'tie'zhi'chui 钢铁之锤
'gong'yao'luan'wu 弓腰乱武
'guan'er 关二
'guan'er'ge 关二哥
'guan'ping 关平
'guan'yu 关羽
'gui'shen'cao'zi'xiao 鬼神曹子孝
'gui'shen'jiang'lin 鬼神降临
'guo'jia 郭嘉
'guo'jia'dui 国家队
'hai'yuan'su 海元素
'han'bing'bao 寒冰爆
'han'bing'jia 寒冰甲
'hao'long'dan 豪龙胆
'he'he 合合
'hei'an'chan'rao 黑暗缠绕
'hei'dian 黑店
'hei'si'zhao 黑死爪
'hei'yan'po 黑焰破
'heng'sao'qian'jun 横扫千军
'hu'jia 护驾
'hu'shen'fu 护身符
'hu'wan 护腕
'hu'wei'xin'de 护卫心得
'hua'tuo 华陀
'huan'ying'fen'shen 幻影分身
'huang'gai 黄盖
'huang'long'gou'lian'dao 黄龙钩镰刀
'huang'long'jian 黄龙剑
'huang'yue'ying 黄月瑛
'huang'zhong 黄忠
'huang'zhong'gong 黄忠弓
'hui'feng'luo'yan 回风落燕
'hui'fu'zhi'huan 恢复指环
'hui'huang'guang'huan 辉煌光环
'hui'xuan'zhan 回旋斩
'hui'yan 慧眼
'hun'dun'zhi'yu 混沌之雨
'huo'dan 活丹
'huo'feng'lian'huan 火凤连环
'huo'jian 火箭
'huo'jian'shi 火箭矢
'huo'qiu 火球
'huo'yan'hu'xi 火焰呼吸
'huo'yan'lian'ji 火焰连击
'huo'yan'zhi'xi 火焰之息
'huo'yu'shu 火雨术
'ji'dong'ning'jie 极冻凝结
'ji'feng'bu 疾风步
'jia'dian 加点
'jia'hong 加红
'jia'ji'neng 加技能
'jia'lan 加蓝
'jia'mo 加魔
'jia'su'shou'tao 加速手套
'jia'xu 贾诩
'jia'xue 加血
'jian'guang'bi 剑光壁
'jian'shu 箭术
'jian'xie'yi'tian'jian 奸邪倚天剑
'jiang'ji'jiu'ji 将计就计
'jin'gang'jiu'tian'duan 金刚九天断
'jing'dai'jie'jie 静带结界
'jing'hua 净化
'jing'hua'yao'shui 净化药水
'jing'zhi'jie'jie 静止结界
'jiu'di'qu'cai 就地取材
'jiu'tian'ying'yuan'lei'sheng'pu'hua'tian'zun 久天应元雷声普化天尊
'jiu'you'wan'hun'shi 九幽万魂噬
'jiu'zui'mi'wu 酒醉迷雾
'ju'du'ji 剧毒击
'ju'feng 飓风
'ju'fu'ji 巨斧击
'ju'gong'jin'cui 鞠躬尽瘁
'ju'shou'ji 巨兽击
'ju'wu'huang'jian 剧舞荒剑
