'a'mu'da'bei'cui 阿母大悲摧
'a'mu'da'fu'zhang'bu'tu'zi'zi'gui 阿母大拊掌不图子自归
'a'mu'de'wen'zhi'chui'chuang'bian'da'nu 阿母得闻之槌床便大怒
'a'mu'wei'a'nv'ru'ke'qu'ying'zhi 阿母谓阿女汝可去应之
'a'mu'wei'fu'li'he'nai'tai'qu'qu 阿母谓府吏何乃太区区
'a'nv'han'lei'da'lan'zhi'chu'hai'shi 阿女含泪答兰芝初还时
'ben'zi'wu'jiao'xun'jian'kui'gui'jia'zi 本自无教训兼愧贵家子
'bian'ke'bai'gong'lao'ji'shi'xiang'qian'gui 便可白公姥及时相遣归
'bian'ke'su'qian'zhi'qian'qu'shen'mo'liu 便可速遣之遣去慎莫留
'bu'jiu'dang'gui'hai'hai'bi'xiang'ying'qu 不久当归还还必相迎取
'chu'men'deng'che'qu'ti'luo'bai'yu'xing 出门登车去涕落百余行
'chu'qi'ji'xia'jiu'xi'xi'mo'xiang'wang 初七及下九嬉戏莫相忘
'ci'fu'wu'li'jie'ju'dong'zi'zhuan'you 此妇无礼节举动自专由
'dong'jia'you'xian'nv'zi'ming'qin'luo'fu 东家有贤女自名秦罗敷
'er'yi'bo'lu'xiang'xing'fu'de'ci'fu 儿已薄禄相幸复得此妇
'fei'wei'zhi'zuo'chi'jun'jia'fu'nan'wei 非为织作迟君家妇难为
'feng'shi'xun'gong'lao'jin'zhi'gan'zi'zhuan 奉事循公姥进止敢自专
'fu'li'chang'gui'gao'fu'wei'qi'a'mu 府吏长跪告伏惟启阿母
'fu'li'de'wen'zhi'tang'shang'qi'a'mu 府吏得闻之堂上启阿母
'fu'li'jian'ding'ning'jie'shi'bu'bie'li 府吏见丁宁结誓不别离
'fu'li'ma'zai'qian'xin'fu'che'zai'hou 府吏马在前新妇车在后
'fu'li'mo'wu'sheng'zai'bai'hai'ru'hu 府吏默无声再拜还入户
'gong'shi'er'san'nian'shi'er'wei'wei'jiu 共事二三年始尔未为久
'hong'luo'fu'dou'zhang'si'jiao'chui'xiang'nang 红罗复斗帐四角垂香囊
'huan'jia'shi'yu'ri'xian'ling'qian'mei'lai 还家十余日县令遣媒来
'ji'ming'ru'ji'zhi'ye'ye'bu'de'xi 鸡鸣入机织夜夜不得息
'ji'ming'wai'yu'shu'xin'fu'qi'yan'zhuang 鸡鸣外欲曙新妇起严妆
'jian'qie'liu'kong'fang'xiang'jian'chang'ri'xi 贱妾留空房相见常日稀
'jie'fa'tong'zhen'xi'huang'quan'gong'wei'you 结发同枕席黄泉共为友
'jin'ri'bei'qu'qian'xiao'gu'ru'wo'chang 今日被驱遣小姑如我长
'jin'ri'hai'jia'qu'nian'mu'lao'jia'li 今日还家去念母劳家里
'jin'ri'wei'qing'yi'kong'ci'shi'fei'qi 今日违情义恐此事非奇
'jin'ruo'qian'ci'fu'zhong'lao'bu'fu'qu 今若遣此妇终老不复取
'ju'shou'chang'lao'lao'er'qing'tong'yi'yi 举手长劳劳二情同依依
'ju'yan'wei'xin'fu'geng'ye'bu'neng'yu 举言谓新妇哽咽不能语
'jun'dang'zuo'pan'shi'qie'dang'zuo'pu'wei 君当作磐石妾当作蒲苇
'jun'ji'ruo'jian'lu'bu'jiu'wang'jun'lai 君既若见录不久望君来
'jun'ji'wei'fu'li'shou'jie'qing'bu'yi 君既为府吏守节情不移
'ke'lian'ti'wu'bi'a'mu'wei'ru'qiu 可怜体无比阿母为汝求
'kong'bu'ren'wo'yi'ni'yi'jian'wo'huai 恐不任我意逆以煎我怀
'kong'que'dong'nan'fei'wu'li'yi'pai'huai 孔雀东南飞五里一徘徊
'lan'zhi'can'a'mu'er'shi'wu'zui'guo 兰芝惭阿母儿实无罪过
'liu'dai'zuo'yi'shi'yu'jin'wu'hui'yin 留待作遗施于今无会因
'nian'shi'shi'ba'jiu'bian'yan'duo'ling'cai 年始十八九便言多令才
'nv'xing'wu'pian'xie'he'yi'zhi'bu'hou 女行无偏斜何意致不厚
'pu'wei'ren'ru'si'pan'shi'wu'zhuan'yi 蒲苇纫如丝磐石无转移
'qie'bu'kan'qu'shi'tu'liu'wu'suo'shi 妾不堪驱使徒留无所施
'qie'you'xiu'yao'ru'wei'rui'zi'sheng'guang 妾有绣腰襦葳蕤自生光
'qin'xin'yang'gong'lao'hao'zi'xiang'fu'jiang 勤心养公姥好自相扶将
'qing'dan'zan'huan'jia'wu'jin'qie'bao'fu 卿但暂还家吾今且报府
'que'yu'xiao'gu'bie'lei'luo'lian'zhu'zi 却与小姑别泪落连珠子
'ren'jian'wu'yi'bi'bu'zu'ying'hou'ren 人贱物亦鄙不足迎后人
'reng'geng'bei'qu'qian'he'yan'fu'lai'hai 仍更被驱遣何言复来还
'ru'jin'he'zui'guo'bu'ying'er'zi'gui 汝今何罪过不迎而自归
'ru'men'shang'jia'tang'jin'tui'wu'yan'yi 入门上家堂进退无颜仪
'san'ri'duan'wu'pi'da'ren'gu'xian'chi 三日断五匹大人故嫌迟
'shang'tang'bai'a'mu'a'mu'nu'bu'zhi 上堂拜阿母阿母怒不止
'shi'bu'xiang'ge'qing'qie'zan'hai'jia'qu 誓不相隔卿且暂还家去
'shi'qi'qian'ru'jia'wei'yan'wu'shi'wei 十七遣汝嫁谓言无誓违
'shi'qi'wei'jun'fu'xin'zhong'chang'ku'bei 十七为君妇心中常苦悲
'shi'san'jiao'ru'zhi'shi'si'neng'cai'yi 十三教汝织十四能裁衣
'shi'san'neng'zhi'su'shi'si'xue'cai'yi 十三能织素十四学裁衣
'shi'shi'wei'an'wei'jiu'jiu'mo'xiang'wang 时时为安慰久久莫相忘
'shi'tian'bu'xiang'fu 誓天不相负
'shi'wu'dan'kong'hou'shi'liu'song'shi'shu 十五弹箜篌十六诵诗书
'shi'wu'dan'kong'hou'shi'liu'zhi'li'yi 十五弹箜篌十六知礼仪
'shou'mu'qian'bo'duo'bu'kan'mu'qu'shi 受母钱帛多不堪母驱使
'wang'xi'chu'yang'sui'xie'jia'lai'gui'men 往昔初阳岁谢家来贵门
'wei'yan'wu'zui'guo'gong'yang'zu'da'en 谓言无罪过供养卒大恩
'wo'you'qin'fu'xiong'xing'xing'bao'ru'lei 我有亲父兄性行暴如雷
'wo'zi'bu'qu'qing'bi'po'you'a'mu 我自不驱卿逼迫有阿母
'wu'jin'qie'fu'fu'bu'jiu'dang'hai'gui 吾今且赴府不久当还归
'wu'wu'ge'zi'yi'zhong'zhong'zai'qi'zhong 物物各自异种种在其中
'wu'yi'jiu'huai'fen'ru'qi'de'zi'you 吾意久怀忿汝岂得自由
'wu'yi'shi'en'yi'hui'bu'xiang'cong'xu 吾已失恩义会不相从许
'xi'zuo'nv'er'shi'sheng'xiao'chu'ye'li 昔作女儿时生小出野里
'xia'ma'ru'che'zhong'di'tou'gong'er'yu 下马入车中低头共耳语
'xian'xian'zuo'xi'bu'jing'miao'shi'wu'shuang 纤纤作细步精妙世无双
'xiang'lian'liu'qi'shi'lv'bi'qing'si'sheng 箱帘六七十绿碧青丝绳
'xiao'zi'wu'suo'wei'he'gan'zhu'fu'yu 小子无所畏何敢助妇语
'xin'fu'chu'lai'shi'xiao'gu'shi'fu'chuang 新妇初来时小姑始扶床
'xin'fu'wei'fu'li'gan'jun'qu'qu'huai 新妇谓府吏感君区区怀
'xin'fu'wei'fu'li'wu'fu'zhong'fen'yun 新妇谓府吏勿复重纷纭
'yao'ruo'liu'wan'su'er'zhu'ming'yue'dang 腰若流纨素耳著明月珰
'yi'ci'xia'xin'yi'shen'wu'wei'wu'yu 以此下心意慎勿违吾语
'yin'yin'he'dian'dian'ju'hui'da'dao'kou 隐隐何甸甸俱会大道口
'yun'you'di'san'lang'yao'tiao'shi'wu'shuang 云有第三郎窈窕世无双
'zhi'ru'xue'cong'gen'kou'ru'han'zhu'dan 指如削葱根口如含朱丹
'zhou'ye'qin'zuo'xi'ling'ping'ying'ku'xin 昼夜勤作息伶俜萦苦辛
'zhu'wo'xiu'jia'qun'shi'shi'si'wu'tong 著我绣夹裙事事四五通
'zi'ke'duan'lai'xin'xu'xu'geng'wei'zhi 自可断来信徐徐更谓之
'zu'xia'nie'si'lv'tou'shang'dai'mao'guang 足下蹑丝履头上玳瑁光
