'da'xue'guan'cuo'wei 大血管错位
'dan'xin'fang 单心房
'dan'xin'shi 单心室
'dong'mai'dao'guan'wei'bi 动脉导管未闭
'fa'luo'si'lian'zheng 法洛四联症
'fang'jian'ge'que'sun 房间隔缺损
'fei'dong'mai'gao'ya 肺动脉高压
'fei'dong'mai'xia'zhai 肺动脉狭窄
'fei'jing'mai'gao'ya 肺静脉高压
'gong'tong'fang'shi'ban 共同房室瓣
'shi'jian'ge'que'sun 室间隔缺损
'wan'quan'xing'fei'jing'mai'yi'wei'lian'jie 完全性肺静脉异位连接
'wan'quan'xing'fei'jing'mai'yi'wei'yin'liu 完全性肺静脉异位引流
'yong'cun'dong'mai'gan 永存动脉干
'zhu'dong'mai'ban'xian'wei'ji 主动脉瓣纤维嵴
'zhu'dong'mai'gong'li'duan 主动脉弓离断
'zhu'dong'mai'suo'zhai 主动脉缩窄
'zhu'fei'dong'mai'chuang 主肺动脉窗
