'ben'ju'you'er'qin'yu'bi 本具有而勤于彼
'bi'fa'xin'jiao'ta'sheng'you'yan'zhong 彼发心较他胜犹严重
'bi'shi'jie'ran'guo'huan'hui'jie'lv 彼时戒染过患毁戒律
'bi'yao'bu'yu'ta'tong'hang 必要不与他同行
'bian'xiang'ying'fa'xin'yi'ru'shi 辩相应发心亦如是
'bo're'bo'luo'mi'xiang'ying'fa'xin'yi'ru'shi 般若波罗蜜相应发心亦如是
'bu'cheng'e'zhe'er'e'zuo 不惩恶者二恶作
'bu'duan'chan'ding'zhi'zhang'ai 不断禅定之障碍
'bu'duan'hui'ming'zhi'liu'yin 不断毁名之六因
'bu'hui'zi'ji'yuan'zi'liang 不毁自己圆资粮
'bu'jie'ta'zhe'zhi'you'chou 不解他者之忧愁
'bu'jing'ji'wei'diao'ju'deng 不静极为掉举等
'bu'ke'de'jin'yi'fu'ru'shi 不可得尽亦复如是
'bu'li'zi'zhi'zhu'juan'shu 不利自之诸眷属
'bu'ming'zhi'gu'wang 不明知故妄
'bu'qin'fo'jiao'qin'wai'lun 不勤佛教勤外论
'bu'qin'ling'huan'xi 不勤令欢喜
'bu'qiu'deng'chi'zhi'shi'yi 不求等持之实义
'bu'rao'yi'ta'liu'e'zuo 不饶益他六恶作
'bu'she'yuan'xin 不舍愿心
'bu'shuo'gong'de'yu'guo'shi 不说功德与过失
'bu'xian'shen'bian'he'ze'deng 不显神变呵责等
'bu'xiang'sui'shun'ta'zhong'xin 不相随顺他众心
'bu'ying'ta'ren'zhi'yan'qing 不应他人之宴请
'chan'bo'luo'mi'xiang'ying'fa'xin'yi'ru'shi 禅波罗蜜相应发心亦如是
'chan'ti'bo'luo'mi'xiang'ying'fa'xin'yi'ru'shi 羼提波罗蜜相应发心亦如是
'chu'fa'wu'shang'pu'ti'xin'shi'yi'bu'ke'jin 初发无上菩提心时已不可尽
'ci'shuo'pi'yu'xian'ci'fa'xin 次说譬喻显此发心
'da'cheng'ji'pu'sa'xue'lun 大乘集菩萨学论
'da'sheng'xian'xing'yu'sui'xing'gu 大圣先行余随行故
'dei'shi'gen'ben'zui'zhe 得是根本罪者
'di'hui'she'qi'da'cheng'fa 诋毁舍弃大乘法
'di'hui'yi'yi'yi'wen'zi 诋毁意义依文字
'dui'fang'chan'hui'bu'jie'shou 对方忏悔不接受
'dui'yu'dun'gen'zhe 对于钝根者
'er'lun'ju'zu'an'le'qu'gu 二轮具足安乐去故
'fa'pu'ti'xin'bu'li'fan'nao'gu 发菩提心不离烦恼故
'fa'pu'ti'xin'pu'ji'yuan'qin'ju'ren'ru'gu 发菩提心普及怨亲具忍辱故
'fa'pu'ti'xin'zhu'gen'jian'lao'zeng'zhang'da'bei'gu 发菩提心住根坚牢增长大悲故
'fa'xin'an'yin'shan'yu'zhong'sheng'zhu'kuai'le'gu 发心安隐善与众生诸快乐故
'fa'xin'an'zhi'bu'xi'lun'gu 发心安止不戏论故
'fa'xin'bian'zhi'da'bei'bu'duan'gu 发心遍至大悲不断故
'fa'xin'bu'bai'bu'po'fo'fa'gu 发心不败不破佛法故
'fa'xin'bu'dong'yi'qie'zhu'fo'an'wei'hu'zhu'gu 发心不动一切诸佛安慰护助故
'fa'xin'bu'dong'zeng'zhang'da'she'gu 发心不动增长大舍故
'fa'xin'bu'duan'shan'jie'li'yuan'gu 发心不断善解立愿故
'fa'xin'bu'huai'mo'bu'ju'gu 发心不坏魔不沮故
'fa'xin'bu'jue'san'bao'bu'duan'gu 发心不绝三宝不断故
'fa'xin'guang'kuai'ci'ru'xu'kong'gu 发心广快慈如虚空故
'fa'xin'he'yue'zeng'zhang'da'xi'gu 发心和悦增长大喜故
'fa'xin'heng'shun'shan'gen'zeng'zhang'gu 发心恒顺善根增长故
'fa'xin'ji'mie'ju'chan'ding'gu 发心寂灭具禅定故
'fa'xin'jian'gu'bu'can'wai'lun'gu 发心坚固不参外论故
'fa'xin'jin'gang'huai'zhu'fa'gu 发心金刚坏诸法故
'fa'xin'kuang'da'xi'neng'rong'shou'zhu'zhong'sheng'gu 发心旷大悉能容受诸众生故
'fa'xin'nan'huai'ju'jing'jin'gu 发心难坏具精进故
'fa'xin'pi'ru'shi 发心譬如是
'fa'xin'ping'deng'li'zhong'sheng'gu 发心平等利众生故
'fa'xin'pu'fu'wu'bie'yi'gu 发心普覆无别异故
'fa'xin'ren'zhong'zhu'fo'suo'shou'gu 发心任重诸佛所受故
'fa'xin'ru'yuan'jie'qing'jing'gu 发心如愿戒清净故
'fa'xin'shan'cha'zhi'hui'cheng'jiu'gu 发心善察智慧成就故
'fa'xin'shan'jie'bu'li'bi'jing'gu 发心善解不离毕竟故
'fa'xin'shen'yuan'yi'qie'zhong'sheng'suo'bu'zhi'gu 发心深远一切众生所不知故
'fa'xin'sheng'miao'li'shuai'sun'gu 发心胜妙离衰损故
'fa'xin'shu'sheng'er'cheng'zong'yang'gu 发心殊胜二乘宗仰故
'fa'xin'wei'gui'zhu'fo'suo'zan'gu 发心为归诸佛所赞故
'fa'xin'wu'ai'zhi'hui'tong'da'gu 发心无碍智慧通达故
'fa'xin'wu'gou'zhi'hui'ming'liao'gu 发心无垢智慧明了故
'fa'xin'wu'hui'ju'zhi'hui'gu 发心无毁具智慧故
'fa'xin'wu'jin'wu'liang'gong'de'xi'cheng'jiu'gu 发心无尽无量功德悉成就故
