'an'fa'zhi'zhi'er'zeng'ju 按法治之而增剧
'an'huo'shang 安火上
'an'ke'fu'zhui'huan 安可复追还
'an'wei'zhi'bian 安危之变
'an'zhi'bu'ke'de 按之不可得
'an'zhi'bu'kou 按之不芤
'an'zhi'bu'yi'ye 按之不移也
'an'zhi'fan'kou 按之反芤
'an'zhi'fan'se 按之反涩
'an'zhi'ru 按之濡
'an'zhi'shi'ying'zhe 按之石硬者
'an'zhi'tong 按之痛
'an'zhi'tong'zhe 按之痛者
'an'zhi'xin'xia'ru'zhe 按之心下濡者
'an'zhi'xin'xia'ying'zhe 按之心下硬者
'an'zhi'ze'tong 按之则痛
'an'zhi'zhi'gu'zhe 按之至骨者
'an'zhi'zi'ru 按之自濡
'ao'hei 熬黑
'ao'huang 熬黄
'ao'shang'lu'gen'ao 熬商陆根熬
'ao'xiang 熬香
'ba'dou'yi'fen 芭豆一分
'ba'jiu'ri 八九日
'ba'jiu'ri'bu'jie 八九日不解
'ba'ri'yang'ming'bing'shuai 八日阳明病衰
'bai'fen'wu'he 白粉五合
'bai'hu'jia'ren'shen'tang'fang 白虎加人参汤方
'bai'hu'jia'ren'shen'tang'zhu'zhi 白虎加人参汤主之
'bai'hu'tang'fang 白虎汤方
'bai'hu'tang'zhu'zhi 白虎汤主之
'bai'mi'er'he 白蜜二合
'bai'san'fang 白散方
'bai'san'yi'ke'fu 白散亦可服
'bai'shao'yao'si'liang 白芍药四两
'bai'tong'jia'zhu'dan'zhi'fang 白通加猪胆汁方
'bai'tong'tang'jia'zhu'dan'zhi'tang'zhu'zhi 白通汤加猪胆汁汤主之
'bai'tong'tang'zhu'zhi 白通汤主之
'bai'tou'weng'er'liang 白头翁二两
'bai'tou'weng'tang'fang 白头翁汤方
'bai'tou'weng'tang'zhu'zhi 白头翁汤主之
'bai'yin'he 白饮和
'bai'yin'he'fu'fang'cun'bi 白饮和服方寸匕
'bai'zhu 白术
'bai'zhu'er'liang 白术二两
'bai'zhu'er'liang'wei 白术二两味
'bai'zhu'gan'jiang'xin're'yi'shang'ge'san'liang 白术干姜辛热以上各三两
'bai'zhu'san'liang 白术三两
'bai'zhu'shi'ba'zhu'wei 白术十八铢味
'bai'zhu'si'liang 白术四两
'ban'ri'fu'jin 半日服尽
'ban'ri'xu 半日许
'ban'xia'ban'jin'xi 半夏半斤洗
'ban'xia'ban'sheng'tang'xi 半夏半升汤洗
'ban'xia'ban'sheng'xi 半夏半升洗
'ban'xia'er'he'xi 半夏二合洗
'ban'xia'san'ji'tang'fang 半夏散及汤方
'ban'xia'san'ji'tang'zhu'zhi 半夏散及汤主之
'ban'xia'xi 半夏洗
'ban'xia'xi'po 半夏洗破
'ban'xia'xie'xin'tang 半夏泻心汤
'ban'xia'xie'xin'tang'fang 半夏泻心汤方
'bao'ze'wei'fan 饱则微烦
'bao'zhong'dang'xu 胞中当虚
'bei'fan'zhang'zhe 背反张者
'bei'gan'cheng 焙干称
'bei'huo 被火
'bei'huo'qi'jie'gu'ye 被火气劫故也
'bei'huo'zhe'bi'zhan'yu 被火者必谵语
'bei'lie'yu'hou 备列于后
'bei'lv'zhi'yao 备虑之要
'bei'mu'san'fen 贝母三分
'bei'qiang 背强
'bei'wei'e'han'zhe 背微恶寒者
'ben'fa'han'er'fu'xia'zhi 本发汗而复下之
'ben'fa're'liu'ri 本发热六日
'ben'fang'dang'cai'wei'yue'bi'tang'gui'zhi'tang 本方当裁为越婢汤桂枝汤
'ben'ke 本渴
'ben'ou 本呕
'ben'qi'cu'po 奔气促迫
'ben'shi'huo'luan 本是霍乱
'ben'tai'yang'bing 本太阳病
'ben'tai'yang'bing'bu'jie 本太阳病不解
'ben'tai'yang'chu'de'bing'shi 本太阳初得病时
'ben'xian'xia'zhi 本先下之
'ben'yi'shu'mai'dong'pi 本以数脉动脾
'ben'yi'xia'zhi 本以下之
'ben'you'jiu'yu'xue 本有久瘀血
'ben'you'su'shi'gu'ye 本有宿食故也
'ben'yun 本云
'ben'zi'bu'tong 本自不同
'ben'zi'han'chu 本自汗出
'bi'bian'nong'xue 必便脓血
'bi'bian'xie 必便血
'bi'bian'xie'ye 必便血也
'bi'chao're 必潮热
'bi'cheng'yin'zhen 必成隐疹
'bi'chu'ti'fan'zao 必怵惕烦躁
'bi'chuan 必喘
'bi'da'bian'chu'ying'hou'tang 必大便初硬后溏
'bi'da'bian'fu'ying'er'shao'ye 必大便复硬而少也
'bi'da'han'chu'ye 必大汗出也
'bi'dang'xian'fan 必当先烦
'bi'dao'han'chu 必盗汗出
'bi'dong'qi'xue 必动其血
'bi'e'han 必恶寒
'bi'fa'ben'tun 必发奔豚
'bi'fa'huang 必发黄
'bi'fa're 必发热
'bi'fa're'se'huang 必发热色黄
'bi'fa'yong'nong'ye 必发痈脓也
'bi'fa'zhan'yu 必发谵语
'bi'fan'fu'dian'dao 必反复颠倒
'bi'gan'bu'de'han 鼻干不得汗
'bi'guo'er'su 必果而速
'bi'hai'song'tang'ru'shi'qing 比还送汤如食顷
'bi'huang'hu'xin'luan 必恍惚心乱
'bi'jie'xiong'ye 必结胸也
'bi'jing'kuang 必惊狂
'bi'jing'ye 必惊也
'bi'kou'shang'lan'chi 必口伤烂赤
'bi'ku'li'ji'ye 必苦里急也
'bi'ku'tou'tong 必苦头痛
'bi'li 必利
'bi'liang'xie'ju'ji 必两胁拘急
'bi'ming'gan'ou'zhe 鼻鸣干呕者
'bi'nan'wei'li 必难为力
'bi'nan'zhi 必难治
'bi'nei'li'ye 必内栗也
'bi'neng'shi'ye 必能食也
'bi'nv'ye 必衄也
'bi'qing'nong'xue 必清脓血
'bi'qing'xue 必清血
'bi'qiu'zhi'fen 彼秋之忿
'bi'se'er'fan 鼻塞而烦
'bi'shu'geng'yi 必数更衣
'bi'si 必死
'bi'tu'hui 必吐蛔
'bi'tu'xia'bu'zhi 必吐下不止
'bi'xi'bi'han 鼻息必鼾
'bi'xia'li 必下利
'bi'xia'ru'wu'ni'er'si 必下如污泥而死
'bi'xia'xue 必下血
'bi'xia'zhong'bian'nong'xue 必下重便脓血
'bi'xian'zhen'li 必先振栗
'bi'xiao'bian'nan 必小便难
'bi'xie're'er'bian'nong'xue'ye 必胁热而便脓血也
'bi'xin'xia'ji 必心下悸
'bi'xin'xia'ying 必心下硬
'bi'xiong'xia'jie'ying 必胸下结硬
'bi'yan'tong 必咽痛
'bi'yan'zao'tuo'xue 必咽燥唾血
'bi'ying'bao'zhen 必婴暴疹
'bi'you'biao 必有表
'bi'you'chu'xue 必有畜血
'bi'yu 必愈
'bi'yu'jie'ye 必欲解也
'bi'yu'li'ye 必欲利也
'bi'yu'mao 必郁冒
'bi'yu'ou 必欲呕
'bi'yu'ou'ye 必欲呕也
'bi'ze'bu'ren 臂则不仁
'bi'zhang'man 必胀满
'bi'zhang'man'bu'neng'shi'ye 必胀满不能食也
'bi'zhen'han 必振寒
'bi'zheng'zheng'er'zhen 必蒸蒸而振
'bi'zhi'san'yin'san'yang'pian'zhong 比之三阴三阳篇中
'bi'zhong'ti'chu 鼻中涕出
'bi'zi'xia'li 必自下利
'bi'zi'yu 必自愈
'bi'zi'zhi 必自止
'bi'zuo'jie'xiong 必作结胸
'bi'zuo'li'ye 必作利也
'bian'bi'ying 便必硬
'bian'bu'ke'fa'han'bing'mai'zheng'bing'zhi'di'shi'wu 辨不可发汗病脉证并治第十五
'bian'bu'ke'xia'bing'mai'zheng'bing'zhi'di'er'shi 辨不可下病脉证并治第二十
'bian'cheng'wen'nue 变成温疟
'bian'dang'zao'yan 便当早言
'bian'fa'han'hou'bing'mai'zheng'bing'zhi'di'shi'qi 辨发汗后病脉证并治第十七
'bian'fa'han'tu'xia'hou'mai'zheng'bing'zhi'di'er'shi'er 辨发汗吐下后脉证并治第二十二
'bian'fa're'er'li 便发热而利
'bian'geng'yu'ren'zuo'bing'ye 便更与人作病也
'bian'hua'xiang'cheng 变化相乘
'bian'huo'luan'bing'mai'zheng'bing'zhi'di'shi'san 辨霍乱病脉证并治第十三
'bian'jing'shi'ye'mai'zheng'di'si 辨痉湿暍脉证第四
'bian'jue'yin'bing'mai'zheng'bing'zhi'di'shi'er 辨厥阴病脉证并治第十二
'bian'ke'fa'han'mai'zheng'bing'zhi'di'shi'liu 辨可发汗脉证并治第十六
'bian'ke'tu'di'shi'jiu 辨可吐第十九
'bian'ke'xia'bing'mai'zheng'bing'zhi'di'er'shi'yi 辨可下病脉证并治第二十一
'bian'mai'fa'di'yi 辨脉法第一
'bian'niao'wang'chu 便溺妄出
'bian'nong'xue'zhe 便脓血者
'bian'shao'yang'bing'mai'zheng'bing'zhi'di'jiu 辨少阳病脉证并治第九
'bian'shao'yin'bing'mai'zheng'bing'zhi'di'shi'yi 辨少阴病脉证并治第十一
'bian'shen 遍身
'bian'tai'yang'bing'mai'zheng'bing'zhi'fa'shang'di'wu 辨太阳病脉证并治法上第五
'bian'tai'yang'bing'mai'zheng'bing'zhi'xia'di'qi 辨太阳病脉证并治下第七
