'bian'wen'xu'ru'zi'suo'zai 便问徐孺子所在
'che'bu'ting'gui 车不停轨
'chen'yue 陈曰
'chen'zhong'ju 陈仲举
'cheng'qing 澄清
'cheng'zhi'bu'qing 澄之不清
'de'xing 德行
'deng'che'lan'pei 登车揽辔
'di'yi 第一
'gao'zi'biao'chi 高自标持
'guo'lin'zong'zhi'ru'nan 郭林宗至汝南
'hou'jin'zhi'shi 后进之士
'jie'yi'wei'deng'long 皆以为登龙
'li'yuan'li'feng'ge'xiu'zheng 李元礼风格秀整
'lin'zong'yue 林宗曰
'luan'bu'chuo'e 鸾不辍轭
'nai'mi'ri'xin'su 乃弥日信宿
'nan'ce'liang'ye 难测量也
'qi'qi'shen'guang 其器深广
'qun'qing 群情
'rao'zhi'bu'zhuo 扰之不浊
'ren'wen'qi'gu 人问其故
'shu'du'wang'wang'ru'wan'qing'zhi'bei 叔度汪汪如万顷之陂
'tian'xia'zhi'zhi 天下之志
'wei'yu'zhang'tai'shou 为豫章太守
'wu'shi'yue'bu'jian'huang'shu'du 吾时月不见黄叔度
'wu'wang'shi'shang'rong'zhi'lv 武王式商容之闾
'wu'zhi'li'xian 吾之礼贤
'xi'bu'xia'nuan 席不暇暖
'xian'ru'xie 先入廨
'xing'wei'shi'fan 行为世范
'yan'wei'shi'ze 言为士则
'yi'huang'shu'du 诣黄叔度
'you'he'bu'ke 有何不可
'you'sheng'qi'tang'zhe 有升其堂者
'yu'fu'jun 欲府君
'yu'xian'kan'zhi 欲先看之
'yu'yi'tian'xia'ming'jiao'shi'fei'wei'ji'ren 欲以天下名教是非为己任
'zao'yuan'feng'gao 造袁奉高
'ze'bi'lin'zhi'xin'yi'fu'sheng'yi 则鄙吝之心已复生矣
'zhou'zi'ju'chang'yun 周子居常云
'zhu'bo 主薄
