'ai'la'bo'ke 哀拉伯克
'ai'rui'li'er 艾瑞丽尔
'bao'er'si 鲍尔斯
'bei'li'jia'de 贝利嘉德
'ben'yuan'tai'le'si 本原泰勒斯
'cai'zui'mo'jian'sai'ze'si 裁罪魔剪塞泽丝
'dai'bo'bo 呆啵啵
'de'la'mo'si 德拉莫斯
'di'duo 蒂朵
'ha'luo'lan'te 哈洛兰特
'hei'bo'bo 黑啵啵
'hong'bo'bo 红啵啵
'hu'ye'ye 呼叶叶
'hua'yin 花寅
'huan'ge 环格
'huan'mei'ling'hu'su'li 幻魅灵狐苏璃
'ji'zhan'a'er'si'lan 极战阿尔斯兰
'jie'te'luo 杰特洛
'ka'nuo 卡诺
'ka'si'po 卡斯珀
'ka'tuo'na 卡托娜
'kan'pu'rui'ya 坎普瑞亚
'ku'bo'bo 酷啵啵
'ku'le'ba 库乐芭
'ku'te'lang 库特朗
'kuang'sha'zhi'zhu'sa'te 狂沙之主萨特
'lan'bo'bo 蓝啵啵
'lin'feng'jian'xin 凛风剑心
'long'yan 龙焉
'luo'ji 洛基
'lv'ji'ju'mo 绿棘巨魔
'ma'si'ke 玛斯克
'mai'ge'mu 麦格姆
'mi'ou 米欧
'na'ao'mi'ya 娜奥米亚
'ni'ke'si 倪克斯
'ning'jue 凝绝
'pa'tu 帕图
'pan'ke'duo'si 潘克多斯
'pu'la'wei'an 普拉薇安
'qing'ti 青啼
'rong'qian'xie 熔钳蟹
'seng'xing 僧行
'shen'pan'zhi'hun 审判之魂
'sheng'xin'nv'huang'ka'tuo'na 圣心女皇卡托娜
'sheng'yu'zhi'feng'lan 圣谕之风岚
'si'ke'er 斯科尔
'song'niao 松茑
'tian'tian 田田
'wo'luo'ke 沃罗科
'xi'zhi'men'ji'lu 隙之门基卢
'xiao'chu 小雏
'xin'xin'zi 辛辛子
'xing'li 星礼
'xuan'ji 玄玑
'ya'shi'lai'mu 芽史莱姆
'yi'mi 伊米
'yi'ta'ji'ya 伊塔吉雅
'you'li'mi'te 尤莉米特
'zhi'xu'sheng'hua 至序圣华
'zhong'mo'da'tian'shi 终末大天使
