'an'shi'liao'fa 安氏疗法
'bian'mi 便秘
'bian'xie 便血
'di'gu'qian'lou 骶骨前瘘
'di'wei'bu'lou 低尾部瘘
'dian'zi'gang'men'jing 电子肛门镜
'dian'zi'jie'chang'jing 电子结肠镜
'gan'ran 感染
'gang'dou'yan 肛窦炎
'gang'lie 肛裂
'gang'lou 肛瘘
'gang'men'shu'ying'jie 肛门梳硬结
'gang'ru'tou'fei'da 肛乳头肥大
'gang'zhou'nong'zhong 肛周脓肿
'gang'zhou'pi'xia'nong'zhong 肛周皮下脓肿
'gu'pen'zhi'chang'wo'nong'zhong 骨盆直肠窝脓肿
'hua'nong'xing'han'xian'lou 化脓性汗腺楼
'huai'si 坏死
'hui'yin'niao'dao'lou 会阴尿道瘘
'hun'he'zhi 混合痔
'jie'di'zu'zhi'wai'zhi 结缔组织外痔
'jie'he'xing'gang'lou 结核性肛瘘
'jie'he'xing'gang'men'zhi'chang'nong'zhong 结核性肛门直肠脓肿
'jing'mai'qu'zhang'xing'wai'zhi 静脉曲张性外痔
'kui'yang 溃疡
'lie'zhi 裂痔
'nian'ye'liu'chu 粘液流出
'pin'xue 贫血
'qian'dun 嵌顿
'qian'xing'lou'guan 潜性瘘管
'sao'yang 瘙痒
'suo'xing'kui'yang 梭形溃疡
'teng'tong 疼痛
'tuo'chu 脱出
'xian'tian'xing'lou 先天性瘘
'xian'tian'xing'zhi'chang'lou 先天性直肠瘘
'xue'shuan'xing'wai'zhi 血栓性外痔
'yan'xing'wai'zhi 炎性外痔
'ying'jie'huo'ban'hen 硬结或瘢痕
'zhi'chang'ai 直肠癌
'zhi'chang'hou'nong'zhong 直肠后脓肿
'zhi'chang'nian'mo'xia'nong'zhong 直肠粘膜下脓肿
'zhi'chang'tuo'chui 直肠脱垂
'zhi'chuang 痔疮
'zu'geng 阻梗
'zuo'gu'zhi'chang'wo'nong'zhong 坐骨直肠窝脓肿
