'an'qu 暗区
'ba'huan'zheng 靶环征
'ban'dian'zhuang'hui'sheng 斑点状回声
'ban'kuai 斑块
'ban'kuai'hui'sheng 斑块回声
'ban'mo 瓣膜
'ban'pian'zhuang 斑片状
'ban'pian'zhuang'hui'sheng 班片状回声
'ban'sheng'ying 伴声影
'bao'mo 包膜
'bao'mo'bu'guang'hua 包膜不光滑
'bao'mo'guang'hua 包膜光滑
'bao'mo'wan'zheng 包膜完整
'bi'bo 壁薄
'bi'li'jie'jie'zheng 壁立结节征
'bian'dong'ti'wei'ke'yi'dong 变动体位可移动
'bian'jie 边界
'bian'jie'bu'qing 边界不清
'bian'jie'gui'zheng 边界规整
'bian'jie'hui'sheng 边界回声
'bian'jie'mo'hu 边界模糊
'bian'jie'qian'qing 边界欠清
'bian'jie'qian'qing'xi 边界欠清晰
'bian'jie'qing 边界清
'bian'jie'qing'chu 边界清楚
'bian'jie'shang'qing'xi 边界尚清晰
'bian'ping'xing 扁平形
'bian'yuan'bu'gui'ze 边缘不规则
'bian'yuan'bu'gui'zheng 边缘不规整
'bian'yuan'bu'zheng 边缘不整
'bian'yuan'guang'hua 边缘光滑
'bian'yuan'gui'ze 边缘规则
'bian'yuan'gui'zheng 边缘规整
'bian'yuan'mo'hu 边缘模糊
'bian'yuan'qian'guang'hua 边缘欠光滑
'bian'yuan'rui'li 边缘锐利
'bian'zhai 变窄
'biao'mian'bu'ping 表面不平
'biao'mian'guang'hua 表面光滑
'bo'dong'zhi'shu 搏动指数
'bo'fu'zheng'chang 波幅正常
'bo'lang'zhuang 波浪状
'bu'fen'chong'tian'guan'qiang'nei 部分充填管腔内
'bu'fen'hou'ban'sheng'ying 部分后伴声影
'bu'fen'tu'ru'pang'guang 部分突入膀胱
'bu'gui'ze 不规则
'bu'gui'ze'deng'hui'sheng'tuan'kuai 不规则等回声团块
'bu'gui'ze'kuo'zhang 不规则扩张
'bu'gui'ze'xing'tuan'kuai 不规则形团块
'bu'jia 不佳
'bu'jun'yun'fen'bu 不均匀分布
'bu'jun'zhi 不均质
'bu'jun'zhi'hui'sheng 不均质回声
'bu'neng'xian'shi 不能显示
'bu'quan'liu'chan 不全流产
'bu'wei 部位
'bu'yi'dong 不移动
'cai'hua'yang'qiang'hui'sheng 菜花样强回声
'cai'se'duo'pu'le 彩色多普勒
'cai'se'duo'pu'le'chao'sheng 彩色多普勒超声
'cai'se'xue'liu'xin'hao'que'sun 彩色血流信号缺损
'can'hou'dan'nang'bu'xian'shi 餐后胆囊不显示
'can'hou'dan'nang'shou'suo 餐后胆囊收缩
'ce'bi'sheng'ying 侧壁声影
'ce'bian'sheng'ying 侧边声影
'ce'fang'sheng'ying 侧方声影
'ce'nao'shi 侧脑室
'ceng'ci'jie'gou'qing'xi 层次结构清晰
'chang'xi'mo'lin'ba'jie 肠系膜淋巴结
'chang'xi'mo'shang'dong'mai 肠系膜上动脉
'chang'xi'mo'shang'jing'mai 肠系膜上静脉
'chang'xi'mo'xia'dong'mai 肠系膜下动脉
'chang'xi'mo'xia'jing'mai 肠系膜下静脉
'chao'sheng 超声
'chao'sheng'bo 超声波
'chao'sheng'yi'xue 超声医学
'chao'sheng'zao'ying 超声造影
'chen'ji'wu 沉积物
'cheng'an'xing 呈鞍形
'cheng'fen'ye'zhuang 呈分叶状
'cheng'feng'wo'zhuang 呈蜂窝状
'cheng'ju'chi'zhuang 呈锯齿状
'cheng'mi'man'fen'bu'za'luan'guang'dian 呈弥漫分布杂乱光点
'cheng'ni'xiang'yun'dong 呈逆向运动
'cheng'ru'tou'zhuang 呈乳头状
'cheng'shuang'ceng'zheng 呈双层征
'chi'gu'lian'he'shang 耻骨联合上
'chong'ying'que'sun 充盈缺损
'cu'cao'dian'zhuang'hui'sheng 粗糙点状回声
'cu'da 粗大
'cu'da'bu'jun'yun 粗大不均匀
'cuo'gou'liu 错构瘤
'da'nao'hou'dong'mai 大脑后动脉
'da'nao'qian'dong'mai 大脑前动脉
'da'nao'zhong'dong'mai 大脑中动脉
'da'xiao 大小
'da'xiao'bu'yi 大小不一
'da'xiao'ji'xing'tai'zheng'chang 大小及形态正常
'da'yin'jing'mai 大隐静脉
'dan'fa 单发
'dan'nang'bi'guang'hua 胆囊壁光滑
'dan'nang'bi'zeng'hou 胆囊壁增厚
'dan'nang'bu'xian'shi 胆囊不显示
'dan'nang'chong'man'xing'jie'shi 胆囊充满型结石
'dan'nang'da'xiao 胆囊大小
'dan'nang'jie'shi 胆囊结石
'dan'nang'nei'jian'duo'mei'qiang'hui'sheng'tuan 胆囊内见多枚强回声团
'dan'nang'nei'wei'tan'ji'yi'chang'hui'sheng 胆囊内未探及异常回声
'dan'nang'ni'sha'yang'jie'shi'bing'man'xing'dan'nang'yan 胆囊泥砂样结石并慢性胆囊炎
'dan'nang'xi'rou 胆囊息肉
'dan'nang'xi'yang'yang'bing'bian 胆囊息样样病变
'dan'nang'yan 胆囊炎
'dan'nang'zhong'da 胆囊肿大
'dan'ni 胆泥
'dan'zhi'tou'sheng'cha 胆汁透声差
'dan'zhi'tou'sheng'hao 胆汁透声好
'dan'zhi'yu'ji 胆汁淤积
'dan'zong'guan 胆总管
'dan'zong'guan'kuo'zhang 胆总管扩张
'dan'zong'guan'nei'jing 胆总管内径
'di'hui'sheng 低回声
'di'hui'sheng'bao'kuai 低回声包块
'di'hui'sheng'guang'ban 低回声光斑
'di'hui'sheng'huan'bao'rao 低回声环包绕
'di'hui'sheng'kuai'zhuang'wu 低回声块状物
'di'hui'sheng'yun'zheng 低回声晕征
'di'hui'sheng'zhong'kuai 低回声肿块
'di'mi'du'qu 低密度区
'di'shui'ping'hui'sheng 低水平回声
'dian'zhuang'hui'sheng 点状回声
'dian'zhuang'pei'ya'zu'zhi 点状胚芽组织
'duo'fa 多发
'duo'fang'xing'zhong'kuai 多房性肿块
'duo'ge'di'hui'sheng'wei'zhu'de'bao'kuai 多个低回声为主的包块
'duo'mei'sha'li'da'xiao 多枚砂粒大小
'duo'nang'gan 多囊肝
'duo'nang'pi 多囊脾
'duo'nang'shen 多囊肾
'duo'nang'yi 多囊胰
'duo'pu'le'chao'sheng 多普勒超声
'er'jian'ban'fan'liu 二尖瓣返流
'er'jian'ban'guan'bi'bu'quan 二尖瓣关闭不全
'er'jian'ban'qing'du'fan'liu 二尖瓣轻度返流
'er'lou 二漏
'er'zhai 二窄
'fa'yue'shi'si'lian'zheng 法乐氏四联症
'fan'liu 返流
'fan'wei 范围
'fang'jian'ge 房间隔
'fang'jian'ge'lian'xu'wan'zheng 房间隔连续完整
'fang'jian'ge'zhong 房间隔中
'fang'que 房缺
'fang'shi'bu'da 房室不大
'fang'shi'jian'ge 房室间隔
'fei'dong'mai 肺动脉
'fei'dong'mai'ban 肺动脉瓣
'fei'dong'mai'ban'fan'liu 肺动脉瓣返流
'fei'dong'mai'zhu'gan 肺动脉主干
'fei'jun'zhi'xing 非均质性
'fen'bu'bu'jun 分布不均
'fen'bu'bu'jun'yun 分布不均匀
'fen'bu'jun'yun 分布均匀
'fen'bu'qian'jun'yun 分布欠均匀
'fen'li 分离
'fen'ye'zhuang 分叶状
'feng'zhi'liu'su 峰值流速
'fu'mo'hou 腹膜后
'fu'qiang'ji'ye 腹腔积液
'fu'qiang'nei'wei'jian'ye'an'qu 腹腔内未见液暗区
'fu'zhu'dong'mai 腹主动脉
'fu'zhuo'nang'bi 附着囊壁
'gai'bian'ti'wei 改变体位
'gai'bian'ti'wei'huan'man'yi'dong 改变体位缓慢移动
'gai'hua 钙化
'gan'ai 肝癌
'gan'bao'mo 肝包膜
'gan'dan'pi'yi'wei'jian'yi'chang 肝胆脾胰未见异常
'gan'duo'fa'nang'zhong 肝多发囊肿
'gan'guan 肝管
'gan'jing'mai'bian'xi 肝静脉变细
'gan'nang'zhong 肝囊肿
'gan'nei 肝内
'gan'nei'dan'guan 肝内胆管
'gan'nei'dan'guan'wei'jian'kuo'zhang 肝内胆管未见扩张
'gan'nei'fen'zhi'kuo'zhang'cheng'ku'zhi'zhuang 肝内分支扩张呈枯枝状
'gan'nei'guan'dao'xi'tong'shou'ya'wan'qu 肝内管道系统受压弯曲
'gan'nei'wai'dan'guan'wu'kuo'zhang 肝内外胆管无扩张
'gan'nei'xue'guan'xian'shi'shang'qing'xi 肝内血管显示尚清晰
'gan'nei'zhi'fang'chen'ji 肝内脂肪沉积
'gan'nei'zhi'zhi'chen'ji 肝内脂质沉积
'gan'pian'da 肝偏大
'gan'qu'hui'sheng'zeng'qiang 肝区回声增强
'gan'qu'zhi'fang'chen'ji 肝区脂肪沉积
'gan'qu'zhi'zhi'chen'ji 肝区脂质沉积
'gan'shen'jian'xi 肝肾间隙
'gan'shen'yin'wo 肝肾隐窝
'gan'shi'zhi'hui'sheng'jun'yun 肝实质回声均匀
'gan'shi'zhi'hui'sheng'xi'mi 肝实质回声细密
'gan'xing'tai'zheng'chang 肝形态正常
'gan'xue'guan'liu 肝血管瘤
'gan'yi'zhi'jian 肝胰之间
'gan'ying'hua 肝硬化
'gan'you'hou'ye 肝右后叶
'gan'you'jing'mai 肝右静脉
'gan'zhong'jing'mai 肝中静脉
'gan'zong'guan'kuo'zhang 肝总管扩张
'gan'zuo'jing'mai 肝左静脉
'gan'zuo'ye'hou 肝左叶厚
'gao'di'bu'yi 高低不一
'gao'hui'sheng'tuan'kuai 高回声团块
'gao'shui'ping'hui'sheng 高水平回声
'gao'wan'chang'jing 睾丸长径
'gao'wan'zhong'liu 睾丸肿瘤
'ge'di'hui'sheng'tuan'kuai 个低回声团块
'ge'xia 膈下
'gong'di 宫底
'gong'di'heng'jing'jiao'kuan 宫底横径较宽
'gong'nei'jian'er'ge'tai'er 宫内见二个胎儿
'gong'qiang 宫腔
'gong'qiang'nei'ji'xue 宫腔内积血
'gong'qiang'xian 宫腔线
'gong'qiang'xian'ju'zhong 宫腔线居中
'gong'qiang'xian'zhi'gong'jing'chu'rong'he'luan'chao'nang'zhong 宫腔线至宫颈处融合卵巢囊肿
'gu'gu'zhang 股骨长
'gu'qian'dong'mai 股浅动脉
'gu'qian'jing'mai 股浅静脉
'gu'shen'dong'mai 股深动脉
'gu'shen'jing'mai 股深静脉
'gu'zong'dong'mai 股总动脉
'gu'zong'jing'mai 股总静脉
'guan'bi'bu'quan 关闭不全
'guan'bi'qian'jia 关闭欠佳
'guan'dao'jiao'tong 管道交通
'guan'jing 管径
'guan'jing'xia'zhai 管径狭窄
'guan'jing'zuo'you'dui'chen 管径左右对称
'guan'qiang 管腔
'guan'qiang'cheng'wu'hui'sheng'an'qu 管腔呈无回声暗区
'guang'ban 光斑
'guang'ban'hui'sheng 光斑回声
'guang'dai 光带
'guang'dai'fen'ge 光带分隔
'guang'dian 光点
'guang'dian'fen'bu'jun'yun 光点分布均匀
'guang'dian'mi'ji 光点密集
'guang'hua 光滑
'guang'huan 光环
'guang'huan'wan'zheng 光环完整
'guang'tuan 光团
'guang'tuan'hui'sheng 光团回声
'gui'ze 规则
'guo'dong'mai 腘动脉
'guo'jing'mai 腘静脉
'han'ye'xing 含液性
'heng'bu 横部
'hou'ban'sheng'ying 后伴声影
'hou'fang'ban 后方伴
'hou'fang'ban'sheng'ying 后方伴声影
'hou'fang'hui'sheng 后方回声
'hou'fang'hui'sheng'wu'zeng'qiang 后方回声无增强
'hou'fang'hui'sheng'zeng'qiang 后方回声增强
'hou'fang'hui'sheng'zeng'qiang'xiao'ying 后方回声增强效应
'hou'fang'sheng'shuai'jian 后方声衰减
'hou'fang'wu'sheng'ying 后方无声影
'hou'fang'you'zeng'qiang'xiao'ying 后方有增强效应
'hou'jing 厚径
'hou'yuan'fan'she'zeng'qiang 后缘反射增强
'hu'xing'qiang'hui'sheng 弧形强回声
'huan'zhuang'qiang'hui'sheng 环状强回声
'hui'sheng'cu'cao 回声粗糙
'hui'sheng'jun'yun 回声均匀
'hui'sheng'shuai'jian 回声衰减
'hui'sheng'xi'mi 回声细密
'hui'sheng'zeng'qiang 回声增强
'hui'xing'wei'zheng 慧星尾征
'hun'he'hui'sheng 混合回声
'hun'he'xing'hui'sheng 混合性回声
'hun'he'xing'zhong'kuai 混合性肿块
'huo'dong'hao 活动好
'huo'dong'zheng'chang 活动正常
'huo'tai 活胎
'ji'bi 肌壁
'ji'bi'hui'sheng'jun'yun 肌壁回声均匀
'ji'ceng 肌层
'ji'di'dong'mai 基底动脉
'ji'di'kuan 基底宽
'ji'fa'dan'nang'ai 继发胆囊癌
'ji'gao'su'xue'liu 及高速血流
'ji'he'xi'tong 集合系统
'ji'xing'yan'zheng 急性炎症
'ji'zhu 脊柱
'jia'shen'zheng 假肾征
'jia'xing'nang'zhong 假性囊肿
'jia'zhuang'xian'wei'jian'yi'chang 甲状腺未见异常
'jia'zhuang'xian'xian'liu 甲状腺腺瘤
'jia'zhuang'xian'zhong'da 甲状腺肿大
'jian'xi 间隙
'jian'yi'ge'gao'hui'sheng'tuan'kuai 见一个高回声团块
'jiang'zhu'dong'mai 降主动脉
'jiao'cu 较粗
'jiao'jia 较佳
'jiao'mi'ji 较密集
'jie'xian 界限
'jin'chang'zeng'qiang 近场增强
'jin'run'ji'ceng 浸润肌层
'jing'bu'wei 颈部未
'jing'bu'zhong'da'lin'ba'jie'ying 颈部肿大淋巴结影
'jing'dong'mai'wei'jian'yi'chang 颈动脉未见异常
'jing'dong'mai'ying'hua 颈动脉硬化
'jing'hou'dong'mai 胫后动脉
'jing'hou'jing'mai 胫后静脉
'jing'jing'mai'shou'ya'ao'xian 颈静脉受压凹陷
'jing'lu'duo'pu'le'chao'sheng 经颅多普勒超声
'jing'nei'dong'mai 颈内动脉
'jing'qian'dong'mai 胫前动脉
'jing'qian'jing'mai 胫前静脉
'jing'shi'dao 经食道
'jing'shi'dao'chao'sheng 经食道超声
'jing'wai'dong'mai 颈外动脉
'jing'yin'dao 经阴道
'jing'yin'dao'chao'sheng 经阴道超声
'jing'zhi'chang 经直肠
'jing'zhi'chang'qian'lie'xian 经直肠前列腺
'jing'zhi'chang'qian'lie'xian'chao'sheng 经直肠前列腺超声
'jing'zong'dong'mai 颈总动脉
'ju'bu'jie'jie'zhuang'zeng'sheng 局部结节状增生
'ju'chi'zhuang 锯齿状
'ju'xian'xing 局限性
'ju'xian'xing'dan'nang'bi'zeng'hou 局限性胆囊壁增厚
'ju'xian'xing'ji'ye 局限性积液
'ju'xian'xing'zeng'da 局限性增大
'ju'xian'xing'zhi'fang'gan'dai'chu'wai 局限性脂肪肝待除外
'ju'zhong 居中
'jun'yun'fen'bu 均匀分布
'jun'yun'xing'kuo'zhang 均匀性扩张
'jun'zhi'xing 均质性
'kai'fang'shou'xian 开放受限
'ke'jian'gai'guang'tuan'zai'niao'ye'zhong'huang'dong 可见该光团在尿液中晃动
'ke'yi 可疑
'kuan'jing 宽径
'kuo'zhang 扩张
'lei'ge'jiao 肋膈角
'lei'jian 肋间
'lian'xu'wan'zheng 连续完整
'lian'xu'xing'cha 连续性差
'lian'xu'xing'hao 连续性好
'lian'xu'zhong'duan 连续中断
'liang'ce 两侧
'lin'ba'jie'zhong'da 淋巴结肿大
'liu'shuan 瘤栓
'liu'ti 瘤体
'lu'gu'yuan'xing'guang'huan 颅骨圆形光环
'luan'chao 卵巢
'luan'chao'duo'nang'yang'gai'bian 卵巢多囊样改变
'luan'chao'ji'tai'liu 卵巢畸胎瘤
'luan'pao 卵泡
'lun'kuo 轮廓
'lun'kuo'bu'qing 轮廓不清
'lun'kuo'cu'cao 轮廓粗糙
'lun'kuo'guang'hua 轮廓光滑
'lun'kuo'qing'xi 轮廓清晰
'ma'ti'shen 马蹄肾
'mai'chong'duo'pu'le 脉冲多普勒
'man'xing'gan'bing 慢性肝病
'mao'cao 毛糙
'men'jing'mai'zhu'gan'nei'jing 门静脉主干内径
'men'jing'mai'zhu'gan'wei'jian'yi'chang 门静脉主干未见异常
'men'jing'mai'zuo'zhi 门静脉左支
'men'mai'nei 门脉内
'mi'ji 密集
'mi'man'xing 弥漫性
'mian'bao'quan'zheng 面包圈征
'mian'bao'zheng 面包征
'ming'liang'hui'sheng 明亮回声
'mo'hu 模糊
'mo'zhou'bu 膜周部
'nang'bi'guang'hua 囊壁光滑
'nang'bi'mao'cao 囊壁毛糙
'nang'bi'xiang'nang'qiang'nei'tu'chu 囊壁向囊腔内突出
'nang'bi'zeng'hou 囊壁增厚
'nang'dai'zhuang 囊袋状
'nang'nei'jian 囊内见
'nang'shi'xing'zhong'kuai 囊实性肿块
'nang'xian'liu 囊腺瘤
'nang'xing 囊性
'nei'bu'guang'dian'fen'bu'jun'yun 内部光点分布均匀
'nei'bu'hui'sheng 内部回声
'nei'bu'hui'sheng'bu'jun'yun 内部回声不均匀
'nei'bu'hui'sheng'cheng'shai'wang'zhuang 内部回声呈筛网状
'nei'bu'hui'sheng'xi'xiao'jun'yun 内部回声细小均匀
