'bei'ding'zhong'yuan 北定中原
'bi'neng'bi'bu'que'lou 必能裨补阙漏
'bi'neng'shi'hang'zhen'he'mu 必能使行阵和睦
'bi'xia'yi'yi'zi'mou 陛下亦宜自谋
'bing'jia'yi'zu 兵甲已足
'bu'qiu'wen'da'yu'zhu'hou 不求闻达于诸侯
'bu'xiao'ze'zhi'chen'zhi'zui 不效则治臣之罪
'bu'yi'pian'si 不宜偏私
'bu'yi'wang'zi'fei'bo 不宜妄自菲薄
'bu'yi'yi'tong 不宜异同
'bu'zhi'suo'yan 不知所言
'cha'na'ya'yan 察纳雅言
'chen'ben'bu'yi 臣本布衣
'chen'bu'sheng'shou'en'gan'ji 臣不胜受恩感激
'cheng'yi'kai'zhang'sheng'ting 诚宜开张圣听
'ci'cheng'wei'ji'cun'wang'zhi'qiu'ye 此诚危急存亡之秋也
'ci'hou'han'suo'yi'qing'tui'ye 此后汉所以倾颓也
'ci'jie'liang'shi 此皆良实
'ci'xi'zhen'liang'si'jie'zhi'chen 此悉贞良死节之臣
'ci'xian'han'suo'yi'xing'long'ye 此先汉所以兴隆也
'dang'jiang'lv'san'jun 当奖率三军
'er'lai'er'shi'you'yi'nian'yi 尔来二十有一年矣
'er'zhong'dao'beng'cu 而中道崩殂
'feng'ming'yu'wei'nan'zhi'jian 奉命于危难之间
'gai'zhui'xian'di'zhi'shu'yu 盖追先帝之殊遇
'gong'geng'yu'nan'yang 躬耕于南阳
'gong'zhong'fu'zhong 宫中府中
'gou'quan'xing'ming'yu'luan'shi 苟全性命于乱世
'gu'lin'beng'ji'chen'yi'da'shi'ye 故临崩寄臣以大事也
'gu'wu'yue'du'lu 故五月渡泸
'hou'zhi'qing'fu 后值倾覆
'huan'yu'jiu'du 还于旧都
'hui'hong'zhi'shi'zhi'qi 恢弘志士之气
'ji'wei'zhong'shan'zhe 及为忠善者
'jiang'jun'xiang'chong 将军向宠
'jin'dang'yuan'li 今当远离
'jin'jin'zhong'yan 进尽忠言
'jin'nan'fang'yi'ding 今南方已定
'jin'tian'xia'san'fen 今天下三分
'ju'wei'yi'ti 俱为一体
'ke'ji'ri'er'dai'ye 可计日而待也
'kong'tuo'fu'bu'xiao 恐托付不效
'lin'biao'ti'ling 临表涕零
'mei'yu'chen'lun'ci'shi 每与臣论此事
'qin'xian'chen 亲贤臣
'qin'xiao'ren 亲小人
'ran'hou'shi'xing 然后施行
'ran'shi'wei'zhi'chen'bu'xie'yu'nei 然侍卫之臣不懈于内
'rang'chu'jian'xiong 攘除奸凶
'ruo'wu'xing'de'zhi'yan 若无兴德之言
'ruo'you'zuo'jian'fan'ke 若有作奸犯科
'san'gu'chen'yu'cao'lu'zhi'zhong 三顾臣于草庐之中
'shen'ru'bu'mao 深入不毛
'shen'zhui'xian'di'yi'zhao 深追先帝遗诏
'shi'nei'wai'yi'fa'ye 使内外异法也
'shi'wu'da'xiao 事无大小
'shi'yi'xian'di'jian'ba'yi'yi'bi'xia 是以先帝简拔以遗陛下
'shi'yi'zhong'yi'ju'chong'wei'du 是以众议举宠为督
'shi'yong'yu'xi'ri 试用于昔日
'shi'zhong'shang'shu'zhang'shi'can'jun 侍中尚书长史参军
'shi'zhong'shi'lang'guo'you'zhi'fei'yi'dong'yun'deng 侍中侍郎郭攸之费祎董允等
'shou'ming'yi'lai 受命以来
'shou'ren'yu'bai'jun'zhi'ji 受任于败军之际
'shu'jie'nu'dun 庶竭驽钝
'su'ye'you'tan 夙夜忧叹
'sui'xu'xian'di'yi'qu'chi 遂许先帝以驱驰
'wei'chang'bu'tan'xi'tong'hen'yu'huan'ling'ye 未尝不叹息痛恨于桓灵也
'wei'zi'wang'qu 猥自枉屈
'xi'yi'zi'zhi 悉以咨之
'xian'di'bu'yi'chen'bei'bi 先帝不以臣卑鄙
'xian'di'cheng'zhi'yue'neng 先帝称之曰能
'xian'di'chuang'ye'wei'ban 先帝创业未半
'xian'di'zai'shi 先帝在时
'xian'di'zhi'chen'jin'shen 先帝知臣谨慎
'xiao'chang'jun'shi 晓畅军事
'xing'fu'han'shi 兴复汉室
'xing'xing'shu'jun 性行淑均
'yi'fu'you'si'lun'qi'xing'shang 宜付有司论其刑赏
'yi'gao'xian'di'zhi'ling 以告先帝之灵
'yi'guang'xian'di'yi'de 以光先帝遗德
'yi'sai'zhong'jian'zhi'lu'ye 以塞忠谏之路也
'yi'shang'xian'di'zhi'ming 以伤先帝之明
'yi'zhang'qi'jiu 以彰其咎
'yi'zhao'bi'xia'ping'ming'zhi'li 以昭陛下平明之理
'yi'zhou'pi'bi 益州疲弊
'yi'zi'zou'shan'dao 以咨诹善道
'yin'yu'shi'yi 引喻失义
'you'lie'de'suo 优劣得所
'you'shi'gan'ji 由是感激
'you'suo'guang'yi 有所广益
'yu'bao'zhi'yu'bi'xia'ye 欲报之于陛下也
'yu'yi'wei'gong'zhong'zhi'shi 愚以为宫中之事
'yu'yi'wei'ying'zhong'zhi'shi 愚以为营中之事
'yuan'bi'xia'qin'zhi'xin'zhi 愿陛下亲之信之
'yuan'bi'xia'tuo'chen'yi'tao'zei'xing'fu'zhi'xiao 愿陛下托臣以讨贼兴复之效
'yuan'xian'chen 远贤臣
'yuan'xiao'ren 远小人
'ze'han'shi'zhi'long 则汉室之隆
'ze'you'zhi'yi'yun'zhi'ren'ye 则攸之祎允之任也
'ze'ze'you'zhi'yi'yun'deng'zhi'man 则责攸之祎允等之慢
'zhi'fa'zang'pi 陟罚臧否
'zhi'lv'zhong'chun 志虑忠纯
'zhi'yu'zhen'zhuo'sun'yi 至于斟酌损益
'zhong'zhi'zhi'shi'wang'shen'yu'wai'zhe 忠志之士忘身于外者
'zi'chen'yi'dang'shi'zhi'shi 咨臣以当世之事
