'a'ji'mi'de'wo'gan 阿基米德蜗杆
'an'quan'xi'shu 安全系数
'an'quan'zai'he 安全载荷
'ao'du 凹度
'ao'mian 凹面
'bai'dong'cong'dong'jian 摆动从动件
'bai'dong'cong'dong'jian'tu'lun'ji'gou 摆动从动件凸轮机构
'bai'dong'dao'gan'ji'gou 摆动导杆机构
'bai'gan 摆杆
'bai'xian'chi'lun 摆线齿轮
'bai'xian'chi'xing 摆线齿形
'bai'xian'yun'dong'gui'lv 摆线运动规律
'bai'xian'zhen'lun 摆线针轮
'ban'huang 板簧
'ban'shou 扳手
'ban'yuan'jian 半圆键
'bao'chi'jia 保持架
'bao'jiao 包角
'bei'dui'bei'an'zhuang 背对背安装
'bei'zhui 背锥
'bei'zhui'jiao 背锥角
'bei'zhui'ju 背锥距
'bi'li'chi 比例尺
'bi'lian'ji'gou 闭链机构
'bi're'rong 比热容
'bi'shi'lian 闭式链
'bian'pin'qi 变频器
'bian'pin'tiao'su 变频调速
'bian'su 变速
'bian'su'chi'lun 变速齿轮
'bian'wei'chi'lun 变位齿轮
'bian'wei'xi'shu 变位系数
'bian'xing 变形
'biao'mian'chuan're'xi'shu 表面传热系数
'biao'mian'cu'cao'du 表面粗糙度
'biao'mian'zhi'liang'xi'shu 表面质量系数
'biao'zhun'chi'lun 标准齿轮
'biao'zhun'zhi'chi'lun 标准直齿轮
'bing'lian'ji'gou 并联机构
'bing'lian'shi'zu'he 并联式组合
'bing'lian'zu'he'ji'gou 并联组合机构
'bing'xing'gong'cheng 并行工程
'bing'xing'she'ji 并行设计
'bo'fa'sheng'qi 波发生器
'bo'shu 波数
'bu'chang 补偿
'bu'ping'heng 不平衡
'bu'ping'heng'liang 不平衡量
'bu'ping'heng'xiang'wei 不平衡相位
'bu'wan'quan'chi'lun'ji'gou 不完全齿轮机构
'can'shu'hua'she'ji 参数化设计
'can'yu'ying'li 残余应力
'cao'lun 槽轮
'cao'lun'ji'gou 槽轮机构
'cao'shu 槽数
'cao'tu'lun 槽凸轮
'cao'zong'ji'kong'zhi'zhuang'zhi 操纵及控制装置
'ce'xi 侧隙
'cha'chi'ji 插齿机
'cha'dong'lun'xi 差动轮系
'cha'dong'luo'xuan'ji'gou 差动螺旋机构
'cha'su'qi 差速器
'chang'yong'ji'gou 常用机构
'che'chuang 车床
'cheng'dui'an 成对安
'cheng'zai'liang'xi'shu 承载量系数
'cheng'zai'neng'li 承载能力
'chi'cao 齿槽
'chi'cao'kuan 齿槽宽
'chi'ce'jian'xi 齿侧间隙
'chi'cun'xi'lie 尺寸系列
'chi'ding'gao 齿顶高
'chi'ding'yuan 齿顶圆
'chi'gen'gao 齿根高
'chi'gen'yuan 齿根圆
'chi'hou 齿厚
'chi'ju 齿距
'chi'kuan 齿宽
'chi'kuo 齿廓
'chi'kuo'qu'xian 齿廓曲线
'chi'lun 齿轮
'chi'lun'bian'su'xiang 齿轮变速箱
'chi'lun'cha'dao 齿轮插刀
'chi'lun'chi'tiao'ji'gou 齿轮齿条机构
'chi'lun'chuan'dong'xi 齿轮传动系
'chi'lun'gun'dao 齿轮滚刀
'chi'lun'ji'gou 齿轮机构
'chi'lun'lian'zhou'qi 齿轮联轴器
'chi'lun'lun'pi 齿轮轮坯
'chi'shi'ji'lun'ji'gou 齿式棘轮机构
'chi'shu 齿数
'chi'shu'bi 齿数比
'chi'tiao 齿条
'chi'tiao'cha'dao 齿条插刀
'chi'xing'lian 齿形链
'chi'xing'xi'shu 齿形系数
'chong'chuang 冲床
'chong'he'dian 重合点
'chong'he'du 重合度
'chuan'dong'bi 传动比
'chuan'dong'jiao 传动角
'chuan'dong'xi'tong 传动系统
'chuan'dong'zhou 传动轴
'chuan'dong'zhuang'zhi 传动装置
'chuan'ji'tiao'su 串级调速
'chuan'lian'shi'zu'he 串联式组合
