'ai'zi'bing 艾滋病
'bai'hou 白喉
'bai'xue'bing 白血病
'ban'liu'zhi'yin'shi 半流质饮食
'ban'zhen'shang'han 斑疹伤寒
'bao'hu'xing'ge'li 保护性隔离
'bi'si 鼻饲
'bu'gui'ze're 不规则热
'chan'ming'yang'hu'xi 蝉鸣样呼吸
'chang'dao'ge'li 肠道隔离
'chi'zhang're 弛张热
'chuan'dao 传导
'chuan'di 传递
'dui'liu 对流
'e'kou'chuang 鹅口疮
'fei'dong'mai'ban'xia'zhai 肺动脉瓣狭窄
'fei'dong'mai'gao'ya 肺动脉高压
'fei'dong'mai'guan'bi'bu'quan 肺动脉关闭不全
'fei'jie'he 肺结核
'fu'she 辐射
'gao're 高热
'ge'li'ji'shu 隔离技术
'han'sheng'hu'xi 鼾声呼吸
'hong'mai 洪脉
'hu'xi 呼吸
'hu'xi'dao'ge'li 呼吸道隔离
'huai'si'kui'yang'qi 坏死溃疡期
'huan'mai 缓脉
'hui'gui're 回归热
'hun'mi 昏迷
'huo'luan 霍乱
'ji'liu're 稽留热
'jia'kang 甲亢
'jian'xie're 间歇热
'jie'chu'ge'li 接触隔离
'jin'shi 禁食
'kuang'quan'bing 狂犬病
'kun'chong'ge'li 昆虫隔离
'liu'nao 流脑
'liu'xing'xing'chu'xue're 流行性出血热
'liu'zhi'yin'shi 流质饮食
'ma'zhen 麻疹
'mai'bo 脉搏
'mai'bo'duan'chu 脉搏短绌
'mei'du 梅毒
'mian'se 面色
'mian'yi'que'xian 免疫缺陷
'mie'jun 灭菌
'nei'yuan'xing'gan'ran 内源性感染
'nue'ji 疟疾
'pian'tan 偏瘫
'po'shang'feng 破伤风
'pu'tong'yin'shi 普通饮食
'qi'guan'yi'zhi 器官移植
'qi'xing'huai'ju 气性坏疽
'qian'du'kui'yang'qi 浅度溃疡期
'qing'jie 清洁
'ruan'zhi'yin'shi 软质饮食
'shang'han 伤寒
'shou'shu 手术
'shu'yi 鼠疫
'si'mai 丝脉
'su'mai 速脉
'tan'ju 炭疽
'tan'suan'qing'na 碳酸氢钠
'wai'yuan'xing'gan'ran 外源性感染
'wei'han 畏寒
'wu'er'quan 戊二醛
'wu'jun'ji'shu 无菌技术
'wu'ran'qu 污染区
'xi'jun'xing'li'ji 细菌性痢疾
'xiao'du 消毒
'xiao'du'ye 消毒液
'xu'tuo 虚脱
'yan'mi'ge'li 严密隔离
'yan'xing'jin'run'qi 炎性浸润期
'yi'chun 乙醇
'yi'xing'nao'yan 乙型脑炎
'yi'yuan'gan'ran 医院感染
'yu'xue'hong'run'qi 淤血红润期
'zao'chan'er 早产儿
'zheng'fa 蒸发
'zhu'dong'mai'ban'guan'bi'bu'quan 主动脉瓣关闭不全
'zhu'dong'mai'ban'xia'zhai 主动脉瓣狭窄
