'a'bu'dun 阿部敦
'kong'hai 空海
'ku'bi'huo'la 酷毙火辣
'ku'ta 库塔
'la'la'dui'da'huo'yue 啦啦队大活跃
'la'mi'la 拉米拉
'lan'tian'shi'cong 蓝天侍从
'li'mo 璃茉
'li'mo'jie'kai'xin'ling'zhi'suo 璃茉解开心灵之锁
'li'xiang'de'zi'ji 理想的自己
'lian'ai 恋爱
'lian'ai'mao'xian'lei'you'xi 恋爱冒险类游戏
'ling'mu 铃木
'lu'lu'tang'mo'lu'si'lu 露露堂莫鲁斯露
'mei'qi 美琪
'mei'you'cun'zai'yi'yi'de'dong'xi 没有存在意义的东西
'mi'gong 迷宫
'mi'gong'hu'die 迷宫蝴蝶
'mi'tang'qian'hua 蜜糖嵌花
'mi'ye 弥耶
'mu'tian'liao 木天寥
'na'na 娜娜
'nei'xin'de'guang'mang 内心的光芒
'niao'ju'mei'dong 鸟居美冬
'pei'tai 胚胎
'pi'pi 皮皮
'piao'fu'de 飘浮的
'piao'liang'de'bao'bao'da'sao'dong 漂亮的宝宝大骚动
'ping'heng'chao'ping'heng 平衡超平衡
'pu'da'di'qiu 仆达地球
'qi'ji 奇迹
'qi'teng'you'mi 斉藤悠弥
'qian'ye'sha'zi 千叶纱子
'qin'ai'bao'bei 亲爱宝贝
'qing'jiao'gei'xiao'si 请交给小丝
'ri'nai'sen'fang 日奈森纺
'ri'nai'sen'lv 日奈森绿
'ri'nai'sen'ya'meng 日奈森亚梦
'ri'nai'sen'ya'shi 日奈森亚实
'ruo'cai 若菜
'san'tiao'hai'li 三条海里
'san'tiao'xiao'jie 三条小姐
'san'tiao'you'jia'li 三条由加里
'san'zhai'hua'ye 三宅华也
'san'zhi'cai'dan'yu'lian'ai'wang'pai 三只彩蛋与恋爱王牌
'shan'chui'sha'ling 山吹沙绫
'shan'dian'jian 闪电剑
'shan'shuo'sha'li 闪烁沙砾
'she'men 射门
'shen'sheng'wang'guan 神圣王冠
'shen'sheng'wang'guan'te'bie'ban 神圣王冠特别版
'shen'tian'zhu'wei 神田朱未
'sheng'suo'wu'zhe 绳索舞者
'sheng'ye'xue'yuan 圣夜学园
'shi'tian'zhang 石田彰
'shi'zuo'sha'you'li 矢作纱友里
'shou'hu'e'mo 守护恶魔
'shou'hu'fang'kuai 守护方块
'shou'hu'hei'tao 守护黑桃
'shou'hu'hong'tao 守护红桃
'shou'hu'san'ye'cao 守护三叶草
'shou'hu'tian'shi 守护天使
'shou'hu'tian'xin 守护甜心
'shou'hu'tian'xin'bei'you'guai 守护甜心被诱拐
'shou'hu'tian'xin'dan'sheng 守护甜心诞生
'shou'hu'tian'xin'jiu'chu'da'zuo'zhan 守护甜心救出大作战
'shou'hu'zhe 守护者
'shou'ju 手鞠
'shua'shua'de 刷刷的
'shui'shu'nai 水树奈
'si'wang'biao'ji 死亡标记
'song'gei'ni'de'li'wu 送给你的礼物
'teng'xiao'fu'zi 藤咲抚子
'teng'xiao'jia'de'qi'da'bu'ke'si'yi 藤咲家的七大不可思议
'tian'he'si 天河司
'tian'mi'zai'xian 甜蜜再现
'tian'mi'zai'xian'te'bie'ban 甜蜜再现特别版
'tian'shi'yao'lan 天使摇篮
'tian'shi'zha'yan 天使眨眼
'wai'zai'xing'xiang 外在形象
'wei'shi 唯世
'wo'shi'wang'pai 我是王牌
'wu'shi'zhi'hun 武士之魂
'wu'zang 武藏
'xi'chuan'jin 西川进
'xi'xi 嘻嘻
'xiang'ge'ben'dan'yi'yang 像个笨蛋一样
'xiang'ma'kong'hai 相马空海
'xiao'chou'jiang'lin 小丑降临
'xiao'hua'zhi'shen 笑话之神
'xiao'lan 小兰
'xiao'si 小丝
'xiao'xiao'de'dan 小小的蛋
'xiao'ya'zi 小鸭子
'xin'de'shou'hu'zhe'deng'chang 新的守护者登场
'xin'ling'zhi'dan 心灵之蛋
'xin'zhi'xie'sheng 心之写生
'xing'guang'hang'dao 星光航道
'xing'ming'zou'zi 星名奏子
'xing'na'ge'bei 星那歌呗
'xing'xiang'gai'zao 形象改造
'xing'zu'dui'yue'zu 星组对月组
'xiu'lai'ya 修来亚
'xue'bai'jing'shi 雪白净饰
'xue'bei 雪贝
'xue'bei'deng'chang 雪贝登场
'xue'shan'de'xiu'jia 雪山的休假
'xue'yuan'de'da'gong'fang 雪原的大攻防
'ya'meng 亚梦
'ya'meng'de'hong'se'xing'xiang'gai'zao 亚梦的虹色形象改造
'ya'shi 亚实
'yan'jiang'bi'sai'qian'jun'yi'fa 演讲比赛千钧一发
'yan'li'you'sui 岩里祐穂
'yang'tian'mei'mei'zi 羊田美美子
'yao'shi'he'suo'na'jia'huo'he'wo 钥匙和锁那家伙和我
'yi'liu 依琉
'yi'teng'hui 伊藤恵
'you'kong'sen'tong'xue 有空森同学
'you'ling'wu'da'mao'xian 幽灵屋大冒险
'you'mu'liang'xiang 柚木凉香
'yue'yong'ge'bei 月咏歌呗
'yue'yong'huo'dou 月咏或斗
'yue'yong'ji'dou 月咏几斗
'yue'zhi'mei 月之魅
'za'shua'zhi'yan 杂耍之宴
'ze'cheng'mei'xue 泽城美雪
'zhai'he 斎贺
'zhan'xin'de'kai'shi 崭新的开始
'zhen'cheng'li'mo 真城璃茉
'zhen'cheng'li'wu 真城璃舞
'zhen'chuan'wu'xiang 姫川舞香
'zhen'nai'mei 真奈美
'zhen'zheng'de'zi'wo 真正的自我
'zheng'jiu'xue'bei 拯救雪贝
'zhi'tian'you'cheng 织田优成
'zhong'cun'you'yi 中村悠一
'zhong'cun'zhi'zi 中村知子
'zui'zhong'de'jue'zhan 最终的决战
