'bei'lao'shi'qian'song'hui'jia 被老师遣送回家
'bei'lu'guo'de'yi'wei'lao'shi'dang'chang'zhuo'zhu 被路过的一位老师当场捉住
'bian'bai'bai'shou'shuo 便摆摆手说
'bing'bu'zhi'dao'da'jia'de'mu'di'shi'shen'me 并不知道打架的目的是什么
'cai'tan'kou'qi 才叹口气
'da'dao'bie'ren'dou'tao'zou'le 打到别人都逃走了
'dai'wo'qu'xiao'zhang'jia 带我去校长家
'dou'ti'qian'zhi'chu'lai'huan'cheng'jiu'he'cha'ye 都提前支出来换成酒和茶叶
'er'xiao'zhang 而校长
'fu'qin'yi'shi'yi'tou'da'han 父亲已是一头大汗
'hui'jing'de'ta'wei'wei'yi'zheng 会惊得他微微一怔
'jiang'gei'wo'zan'hao'de'xia'xue'qi'de'suo'you'fei'yong 将给我攒好的下学期的所有费用
'na'nian'wo'du'gao'er 那年我读高二
'ni'hui'jia'qu'ba 你回家去吧
'ni'zai'jia'xian'xue'xi 你在家先学习
'niu'song'dao'xiao'zhang'shi'qu 扭送到校长室去
'ou'er'wo'qing'ke'yi'sheng 偶尔我轻咳一声
'ping'sheng'cong'lai'mei'you'qiu'guo'ren'de'fu'qin 平生从来没有求过人的父亲
'que'bei'fu'qin'tai'tou'jiao'zhu'le 却被父亲抬头叫住了
'que'ding'mei'you'ren'kan'dao 确定没有人看到
'ran'hou'chen'zhe'ye'se 然后趁着夜色
'shi'fu'qin'zou'qi'lu'lai'yu'jia'jian'nan 使父亲走起路来愈加艰难
'sui'ji'pie'jian'di'tou'suo'zai'hou'mian'de'wo 随即瞥见低头缩在后面的我
'sui'ji'xiao'xin'yi'yi'di'si'xia'zhang'wang'yi'fan 随即小心翼翼地四下张望一番
'ta'cai'ji'xu'liu'zhe'qiang'gen'qian'xing 他才继续溜着墙根前行
'ta'kan'le'xu'jiu 他看了许久
'ta'ming'xian'you'xie'jin'zhang 他明显有些紧张
'wan'shang'gen'wo'qu'xiao'zhang'jia'zuo'yi'zuo 晚上跟我去校长家坐一坐
'wo'gen'zai'fu'qin'de'shen'hou 我跟在父亲的身后
'wo'jiu'zhe'yang'shen'si'huang'hu'di'shou'shi'le'shu'bao 我就这样神思恍惚地收拾了书包
'wo'tu'ran'xiang'yao'tao'diao 我突然想要逃掉
'wo'wu'yi'zhong'can'yu'le'yi'chang'qun'jia 我无意中参与了一场群架
'xian'shi'yi'leng 先是一愣
'xiao'zhang'kai'men'kan'dao'shen'qing'qian'bei'de'fu'qin 校长开门看到神情谦卑的父亲
'yi'hou'bu'bi'zai'lai'le 以后不必再来了
'zai'hun'an'de'lou'dao'li'wang'shang'pa'de'shi'hou 在昏暗的楼道里往上爬的时候
'zai'yi'ci'che'huo'zhong'bei'zhuang'que'de'you'tui 在一次车祸中被撞瘸的右腿
'zhe'cai'ming'bai'guo'lai 这才明白过来
'zhe'shi'fu'qin'di'yi'ci'gei'ren'song'li 这是父亲第一次给人送礼
'zheng'shi'xu'yao'jia'su'de'shi'hou 正是需要加速的时候
'zhi'zhi'dao'fa'xie'shi'de'chong'shang'qu'luan'da 只知道发泄似的冲上去乱打
'zhong'yu'qiao'kai'xiao'zhang'jia'men'de'shi'hou 终于敲开校长家门的时候
'zou'dao'men'kou'de'shi'hou 走到门口的时候
