'an'hong'se 暗红色
'bai'se 白色
'ban'liu'zhi'yin'shi 半流质饮食
'ban'wo'wei 半卧位
'bei'ji'guan'chang 钡剂灌肠
'bian'xie 便血
'bing'zhen'jiang'wen 冰枕降温
'bo'dong'liang'hao 搏动良好
'bu'ye 补液
'cai'chao 彩超
'cao'lv'se 草绿色
'chai'xian 拆线
'chang'jing 肠镜
'chong'tian'shi 充填式
'chu'han 出汗
'chuang'shang'huo'dong 床上活动
'da'bian'ci'shu 大便次数
'da'bian'ci'shu'zeng'jia 大便次数增加
'da'bian'xing'zhuang'bian'xi 大便形状变细
'dai'dong'liang'hao 带动良好
'dan'hong'se 淡红色
'dan'huang'se 淡黄色
'di'cong'ma 骶丛麻
'di'fen 滴分
'di'yan'yin'shi 低盐饮食
'di'zhi'di'yan'yin'shi 低脂低盐饮食
'di'zhi'yin'shi 低脂饮食
'dian'nao'xi'chang 电脑洗肠
'dou'xing'xin'lv 窦性心律
'dui'da'bu'qie'ti 对答不切题
'dui'da'qie'ti 对答切题
'dui'zheng 对症
'e'xin'gan 恶心感
'er'ji'hu'li 二级护理
'fa'li 乏力
'fa'yin'zheng'chang 发音正常
'fan'shen'pai'bei 翻身拍背
'fang'chan'xin'lv 房颤心率
'fu'gu'gou 腹股沟
'fu'qiang'yin'liu'guan 腹腔引流管
'fu'qiang'yin'liu'ye 腹腔引流液
'fu'tong 腹痛
'fu'zhang 腹胀
'gang'zhou 肛周
'gao're 高热
'guan'chang 灌肠
'guang'liang 光亮
'he'se 褐色
'hei'bian 黑便
'hu'xi'cu 呼吸促
'hu'xi'ping'wen 呼吸平稳
'huan'zhe 患者
'huan'zhe'biao'shi'li'jie 患者表示理解
'huan'zhe'neng'pei'he 患者能配合
'huan'zhi'zhi'dong 患肢制动
'huang'he'se 黄褐色
'huang'lv'se 黄绿色
'huang'se 黄色
'huang'se'shui'yang'bian 黄色水样便
'huang'se'xi'bian 黄色稀便
'ji'chu'dai'xie'lv 基础代谢率
'ji'xing'tong'ku'mian'rong 急性痛苦面容
'jia'ya'bao'za 加压包扎
'jiang'tang 降糖
'jiang'ya 降压
'jiao'tong 绞痛
'jin'huang'se 金黄色
'jin'shi'shui 禁食水
'jing'bu'wu'zhong'da 颈部无肿大
'jing'bu'yin'liu'guan 颈部引流管
'jing'bu'yin'liu'ye 颈部引流液
'jing'fu'qiang'jing'xia 经腹腔镜下
'jing'guo'shen'ti'wei 颈过伸体位
'jing'shen'zhuang'tai'liang'hao 精神状态良好
'jing'xiang'qiang'zhi 颈项强直
'ju'jie'qiang'jiu 拒接抢救
'juan'dai 倦怠
'jue'dui'wo'chuang'xiu'xi 绝对卧床休息
'kang'yan 抗炎
'ke'sou'ke'tan 咳嗽咳痰
'kuo'rong 扩容
'liu'zhi'wei'guan 留置胃管
'liu'zhi'yin'shi 流质饮食
'lv'bu'qi 律不齐
'lv'qi 律齐
'ma'mu'gan 麻木感
'mei'xiao'shi'niao'liang 每小时尿量
'men'ji 扪及
'men'zhen 门诊
'men'zhen'sui'fang 门诊随访
'mian'se'cang'bai 面色苍白
'mian'zhao'xi'yang 面罩吸氧
'mu'di 目的
'nian'chou 粘稠
'nian'fa'yin 捻发音
'niao'chu'liu 尿储留
'niao'guan 尿管
'niao'se'huang 尿色黄
'ou'tu 呕吐
'pai'qi 排气
'pai'qi'pai'bian 排气排便
'pen'qiang'yin'liu'guan 盆腔引流管
'pen'qiang'yin'liu'ye 盆腔引流液
'pi'fu'qing'jie'gan'zao 皮肤清洁干燥
'pi'wo'yin'liu'guan 脾窝引流管
'pi'wo'yin'liu'ye 脾窝引流液
'ping'wo'wei 平卧位
'pu'shi 普食
'qi'bo'xin'lv 起搏心率
'qiang'xin'li'niao 强心利尿
'qie'kou'fu'liao'gan'zao 切口敷料干燥
'qie'kou'sha'dai'ya'po 切口沙袋压迫
'qing'jie'xi'chang 清洁洗肠
'qing'shui'yang'bian 清水样便
'qiu'yin'zhuang 蚯蚓状
'qu'zhen'ping'wo'wei 去枕平卧位
'quan'ma 全麻
'quan'ma'yi'qing'xing 全麻已清醒
'quan'shen'pi'fu'gong'mo'huang'ran 全身皮肤巩膜黄染
'ruan'shi 软食
'san'ji'hu'li 三级护理
'shen'zhi'qing'chu 神志清楚
'sheng'fen 升分
'sheng'ya 升压
'shi'yu'ji'er'bian'zheng'chang 食欲及二便正常
