'ai'jing'zhi'bi'gu 爱敬治彼故
'ai'nian'bu'jiu'cun 爱念不久存
'ai'nian'bu'jiu'zhu 爱念不久住
'ai'tu'zhong'bu'xi 爱土终不息
'an'le'fei'heng'chang 安乐非恒常
'an'le'ju'yin'yuan 安乐俱因缘
'an'le'you'ta'qi 安乐由他起
'bang'zhu'fa'wei'wu 谤诸法为无
'bei'kuang'zhong'wu'yi 被诳终无已
'bi'bu'cheng'wei'zong 彼不成为宗
'bi'bu'wen'zi'qu 彼不问自去
'bi'bu'ying'ming'jing 彼不应名净
'bi'chu'ji'wu'guo 彼处即无果
'bi'deng'ji'ming'xian 彼等极明显
'bi'deng'yu'san'you 彼等于三有
'bi'dou'wu'suo'sheng 彼都无所生
'bi'he'neng'jian'se 彼何能见色
'bi'hou'he'zeng'zhang 彼后何增长
'bi'ji'shuo'hai'mie 彼即说还灭
'bi'ji'shuo'liu'zhuan 彼即说流转
'bi'ji'wu'cha'bie 彼即无差别
'bi'ji'wu'zi'zai 彼即无自在
'bi'jing'bu'neng'shen 毕竟不能申
'bi'jing'bu'ying'li 毕竟不应理
'bi'jing'wu'bian'ji 毕竟无边际
'bi'jing'wu'you'si 毕竟无有思
'bi'jing'yi'wei'e 彼境亦为恶
'bi'ju'shan'ye'zhe 彼具善业者
'bi'le'wei'he'deng 彼乐为何等
'bi'po'shuo'wei'le 逼迫说为乐
'bi'qi'jing'ji'mie 彼岂敬寂灭
'bi'shi'yi'wu'sheng 彼时亦无生
'bi'yi'she'tan'gu 彼已舍贪故
'bi'ying'cheng'ji'yi 必应成己义
'bi'you'an'ran'shui 彼犹安然睡
'bi'you'bi'sheng'xi 彼由彼生喜
'bi'you'dong'fang'fen 必有东方分
'bi'you'zhong'jian'gu 彼有中间故
'bi'yu'bi'zi'ti 彼于彼自体
'bi'ze'bu'ru'shi 彼则不如是
'bi'ze'bu'xu'fa 彼则不需法
'bi'zhong'you'jing'xing 彼中有净性
'bian'hua'meng'huan'shi 变化梦幻事
'bian'shi'wei'lai'wu 便是未来无
'bian'si'wo'chang'zhe 便思我常者
'bian'tong'wu'suo'you 便同无所有
'bian'wei'wo'wei'chang 便谓我为常
'bian'yan'jian'yi'qie 便言见一切
'bian'zhi'fei'bian'zhi 遍智非遍智
'bian'zhi'yi'fu'ran 遍知亦复然
'bian'zhu'yi'qie'fen 遍诸一切分
'biao'tan'bu'jian'gu 表贪不坚固
'bie'chu'jian'yu'si 别处见于思
'bo'fu'yu'ci'fa 薄福于此法
'bu'ai'zhi'bi'gu 不爱治彼故
'bu'bian'shuo'zhe'de 不变说者德
'bu'cheng'wei'zheng'fa 不成为正法
'bu'cong'xian'shi'qi 不从现世起
'bu'gu'sheng'ming'jin 不顾生命尽
'bu'hai'sheng'ren'tian 不害生人天
'bu'hui'gu'tan'ku 不会故贪苦
'bu'jian'chang'shi'li 不见长时离
'bu'jian'ku'zeng'zhang 不见苦增长
'bu'jian'nie'pan'zhe 不见涅槃者
'bu'jian'she'qi'guo 不见舍弃过
'bu'jian'you'fu'deng 不见有福等
'bu'jian'you'zhu'fa 不见有诸法
'bu'jian'yu'guo'shi 不见欲过失
'bu'jian'yu'ren'lei 不见于人类
'bu'jian'yu'se'yin 不见于色因
'bu'jian'yu'yan'xing 不见于眼性
'bu'jing'suo'cong'chu 不净所从出
'bu'jue'ding'zhu'gu 不决定住故
'bu'ke'he'wei'ping 不可合为瓶
'bu'ke'shuo'bi'you 不可说彼有
'bu'kong'guo'yi'ming 不空过已明
'bu'kong'yi'ji'cheng 不空义即成
'bu'ku'fu'he'wei 布苦复何为
'bu'le'zi'qing'jing 不乐自清净
'bu'neng'chang'yu'he 不能常与合
'bu'neng'cheng'le'ti 不能成乐体
'bu'neng'chu'jia'zhe 不能出家者
'bu'neng'da'nan'zhe 不能答难者
'bu'neng'da'yu'ku 不能大于苦
'bu'neng'de'nie'pan 不能得涅槃
'bu'neng'fen'zui'e 不能分罪恶
'bu'neng'mie'fei'fu 不能灭非福
'bu'neng'qu'nie'pan 不能趣涅槃
'bu'neng'qu'sheng'dao 不能趣胜道
'bu'neng'she'shi'jian 不能摄世间
'bu'sun'huai'zheng'jian 不损坏正见
'bu'tan'zhe'wu'le 不贪者无乐
'bu'xi'ta'pin'zhe 不喜他品者
'bu'yi'yu'ping'deng 不异于瓶等
'bu'ying'chen'shuo'zhe 不应嗔说者
'bu'ying'si'wu'wo 不应思无我
'bu'ying'you'cha'bie 不应有差别
'bu'yu'zan'bei'min 不欲赞悲愍
'bu'zhi'she'fang'bian 不知舍方便
'bu'zhi'wu'bu'wei 不知无怖畏
'bu'zhi'zi'xing'xiang 不知子行相
'bu'zui'xi'you'fa 怖最希有法
'bu'zuo'sheng'shi'ti 不作生时体
'cha'na'deng'zhu'shi 刹那等诸时
'chang'er'shi'you'dui 常而是有对
'chang'fa'fei'ke'nao 常法非可恼
'chang'hao'ge'wu'deng 常好歌舞等
'chang'ju'zu'wu'tong 常具足五通
'chang'shi'wei'yi'sheng 常时为异生
'chang'xu'fang'hu'ta 常须防护他
'chang'yi'shi'zhang'zhu 常依师长住
'chang'ying'fang'wai'yuan 常应防外缘
'chang'ying'fang'zui'e 常应防罪恶
'chang'ying'xiu'shang'zhe 常应修上者
'chang'zhu'li'bu'ran 常住理不然
'chen'hui'ji'jian'gu 嗔恚极坚固
'chen'hui'ze'bu'qi 嗔恚则不起
'chen'wei'ling'lei'ruo 嗔唯凌羸弱
'chen'ye'qi'dou'zheng 嗔业起斗争
'cheng'ru'wei'zhi'zhe 称汝为智者
'cheng'zhe'ji'xi'shao 成者极稀少
'chi'bian'yi'qie'zhu 痴遍一切住
'chi'ye'neng'zeng'zhang 痴业能增长
'chi'zhong'zui'xia'zhe 痴中最下者
'chou'mi'wu'cha'yi 稠密无差异
'chu'qi'mie'yi'sheng 初起灭已生
'chu'ren'bu'jing'qi 除人不净器
'chu'ruo'you'zhu'zhe 初若有住者
'chu'shi'yu'chi'sheng 初时愚痴生
'chu'si'er'qu'wai 除斯二趣外
'chu'xin'ze'xing'deng 除心则行等
'chu'yin'bu'ke'jian 初因不可见
'chu'zhong'hou'san'wei 初中后三位
'ci'bi'shi'wu'sheng 此彼时无生
'ci'dao'qi'bu'neng 此道岂不能
'ci'ding'bu'ying'li 此定不应理
