'a'zi'wu'sheng'zhi'fa'men 阿字无生之法门
'an'li'shuang'yun'guo'zhong'guan 安立双运果中观
'an'li'you'wu'er'cheng'ren 安立有无二承认
'an'zhu'wu'ji'da'kong'zhong 安住无基大空中
'an'zhu'yu'bi'jing'jie'zhong 安住于彼境界中
'ba'zi'xian'xian'sheng'yi'men 巴字显现胜义门
'bai'ban'guan'cha'ren'tou'shang 百般观察人头上
'bai'ban'po'li'yi'bu'jie 百般破立亦不解
'bai'wan'fo'zi'ke'zheng'dao 百万佛子可证道
'bang'shuo'ji'dao'guo'zhu'xian 谤说基道果诸现
'bao'lu'di'chu'zhi'ben'xiang 暴露抵触之本相
'ben'fei'qing'jing'jia'guan'jing 本非清净假观净
'ben'ji'yi'qie'jun'bu'cheng 本基一切均不成
'ben'jing'zi'cheng'shuang'yun'zhi 本净自成双运智
'ben'lai'fei'wei'qing'jing'xing 本来非为清净性
'ben'lai'yi'zhi'guang'ming'xing 本来义之光明性
'ben'ti'jie'wei'qing'jing'xing 本体皆为清净性
'ben'yi'he'zhe'jun'bu'cheng 本义何者均不成
'bi'cheng'xu'yi'jiang'cheng'li 彼承许亦将成立
'bi'dao'jin'shi'dao'xing'xiang 彼道仅是道形象
'bi'dao'pian'duo'yu'er'di 彼道偏堕于二谛
'bi'deng'jie'wei'xi'qi'xian 彼等皆为习气现
'bi'deng'jun'shi'yan'si'jing 彼等均是言思境
'bi'deng'xi'jie'bu'cheng'li 彼等悉皆不成立
'bi'deng'yi'jing'xian'jian'gu 彼等已经现见故
'bi'deng'zhi'hui'yi'lun'fan 彼等智慧以轮番
'bi'deng'zhi'zhe'shang'yu'ci 彼等智者尚于此
'bi'ding'mie'jin'jian'li'xi 必定灭尽见离戏
'bi'ding'yuan'man'er'zheng'wu 必定圆满而证悟
'bi'er'fei'yi'yi'ti'gu 彼二非一异体故
'bi'er'heng'liang'ping'deng'shi 彼二衡量瓶等时
'bi'er'li'liang'yong'xiang'tong 彼二力量永相同
'bi'er'tong'guo'wen'da'shi 彼二通过问答式
'bi'fei'yan'ci'fen'bie'jing 彼非言词分别境
'bi'guo'shuang'yun'zhi'zhi'hui 彼果双运之智慧
'bi'qian'you'wu'xiang'wei'gu 彼前有无相违故
'bi'san'he'zhe'jun'fei'liang 彼三何者均非量
'bi'wei'qing'jing'tian'zun'xiang 彼为清净天尊相
'bi'xian'ben'ti'kong'xing'gu 彼现本体空性故
'bi'xin'fei'you'fei'wu'zhe 彼心非有非无者
'bi'xu'duan'ding'shi'kong'yi 必须断定实空义
'bi'xu'jiu'jing'ying'cheng'jian 必须究竟应成见
'bi'xu'shen'shen'er'sheng'qi 必须深深而生起
'bi'xu'tong'guo'xiu'wu'wo 必须通过修无我
'bi'xu'zheng'wu'yun'deng'kong 必须证悟蕴等空
'bi'yi'bu'neng'du'zi'cheng 彼一不能独自成
'bi'yi'du'zi'bu'neng'cheng 彼一独自不能成
'bi'yi'zi'xu'yi'zheng'wu 彼亦自诩已证悟
'bi'yin'er'di'yi'wei'xing 彼引二谛一味性
'bi'yu'bu'ke'si'yi'wo 彼与不可思议我
'bi'yu'ping'deng'chu'kong'ji 彼与瓶等除空基
'bi'zhi'bu'de'xian'fen'gu 彼执不得现分故
'bi'zhi'ding'jie'cheng'jian'jie 彼之定解称见解
'bi'zhi'wu'shi'bu'cun'zai 彼之无实不存在
'bian'bie'bing'qie'zhi'zhuo'bi 辨别并且执著彼
'bian'bie'hou'de'dao'zhong'guan 辨别后得道中观
'biao'mian'ci'ju'sui'xiang'wei 表面词句虽相违
'biao'mian'si'hu'cheng'xiang'wei 表面似乎成相违
'bing'cheng'kan'wei'guan'cha'xing 并成堪为观察性
'bing'fei'cheng'li'wei'xian'ji 并非成立为现基
'bing'fei'jiu'jing'zhi'yi'yi 并非究竟之意义
'bing'fei'sheng'yi'zuo'zi'zong 并非胜义作自宗
'bing'fei'wei'you'guan'cha'sheng 并非唯由观察生
'bing'fei'yi'liang'ke'cheng'li 并非以量可成立
'bu'bi'fen'xi'yi'yi'ti 不必分析一异体
'bu'cha'an'zhu'er'xiu'xing 不察安住而修行
'bu'cheng'ren'he'zhi'shi'fa 不成任何之实法
'bu'cheng'shuang'yun'guo'zhong'guan 不成双运果中观
'bu'cheng'you'fa'yu'fa'xing 不成有法与法性
'bu'duo'ren'he'yi'bian'gu 不堕任何一边故
'bu'huai'zhi'hui'zhi'ming'dian 不坏智慧之明点
'bu'hui'bu'xian'bu'jing'fa 不会不现不净法
'bu'jie'shen'yi'ru'di'zang 不解深义如地藏
'bu'jin'gong'jing'gan'tan'yan 不禁恭敬感叹言
'bu'ju'sheng'yi'zhi'que'xin 不具胜义之确信
'bu'kan'guan'cha'zhong'yi'zhi 不堪观察终一致
'bu'ke'neng'jian'chu'sheng'jiao 不可能见畜生角
'bu'ke'neng'xian'bu'tong'gu 不可能现不同故
'bu'ke'si'yi'ji'fa'jie 不可思议基法界
'bu'ke'si'yi'zhi'fa'xing 不可思议之法性
'bu'ke'yan'shuo'zuo'suo'shuo 不可言说作所说
'bu'kong'ping'zi'zhi'wai'fa 不空瓶子之外法
'bu'li'ding'jie'er'xiu'xing 不离定解而修行
'bu'mie'zhen'shi'er'cun'zai 不灭真实而存在
'bu'mie'zhi'zhong'ke'xian'xian 不灭之中可显现
'bu'neng'duan'ding'you'cheng'ren 不能断定有承认
'bu'neng'gu'ding'er'an'li 不能固定而安立
'bu'neng'huo'de'jie'tuo'guo 不能获得解脱果
'bu'neng'jian'li'ji'dao'guo 不能建立基道果
'bu'neng'jue'ding'shi'zheng'liang 不能决定是正量
'bu'neng'liao'wu'shuang'yun'yi 不能了悟双运义
'bu'neng'pian'mian'er'jian'li 不能片面而建立
'bu'neng'qu'fen'xu'gao'di 不能区分续高低
'bu'neng'ru'shi'jian'zhen'yi 不能如实见真义
'bu'pian'er'di'hou'de'hui 不偏二谛后得慧
'bu'qing'jing'zhi'fen'bie'xin 不清净之分别心
'bu'san'yi'yuan'er'xiu'chi 不散一缘而修持
'bu'sui'ming'xiang'zhi'ren'shi 不随名相之人士
'bu'sui'ta'zhuan'er'zhen'ru 不随他转而真入
'bu'xian'neng'po'suo'po'xiang 不现能破所破相
'bu'xiang'guan'dai'du'bu'cheng 不相观待独不成
'bu'xu'shi'xiang'yu'xian'xiang 不许实相与现相
'bu'yi'guan'cha'er'xiu'xing 不以观察而修行
'bu'yi'lai'yu'qi'ta'fa 不依赖于其他法
'bu'yi'shi'su'sheng'yi'di 不依世俗胜义谛
'bu'yi'suo'cha'zhi'you'shi 不依所察之有实
'bu'ying'ting'liu'guan'cha'shang 不应停留观察上
'bu'yuan'xian'kong'shuang'yun'xing 不缘现空双运性
'bu'zhi'kong'xing'wei'shi'you 不执空性为实有
'bu'zhi'yi'qie'e'jian'zhe 不执一切恶见者
'bu'zhu'you'ji'da'zhi'hui 不住有寂大智慧
'cang'di'rong'suo'qiu'sang'zun 藏地荣索秋桑尊
'cha'na'bu'zhu'dong'yao'xin 刹那不住动摇心
'cha'na'yi'neng'xian'shu'jie 刹那亦能现数劫
'chang'jiu'jing'qin'suo'zheng'yi 长久精勤所证义
'chao'li'si'wei'zhi'jing'jie 超离思维之境界
'chao'li'yan'shuo'si'wei'gu 超离言说思维故
'chao'li'yan'si'zhi'ru'ding 超离言思之入定
'chao'li'you'wu'zhi'ben'yi 超离有无之本义
'chao'sheng'da'shou'yin'deng'fa 超胜大手印等法
'chao'yue'shi'fei'li'yan'si 超越是非离言思
'che'di'le'da'zi'zhi'xin 彻底了达自之心
'che'di'liao'wu'shi'kong'hou 彻底了悟实空后
'che'jian'shuang'yun'da'deng'xing 彻见双运大等性
'che'jian'zhen'yi'wu'qian'bian 彻见真义无迁变
'cheng'bai'jiao'li'shou'shu'dao 成百教理手术刀
'cheng'fo'zhi'shi'ta'zhong'qian 成佛之时他众前
'cheng'kan'sheng'yi'li'guan'cha 成堪胜义理观察
'cheng'ken'qi'dao'wen'shu'zun 诚恳祈祷文殊尊
'cheng'li'jiu'jing'wei'yi'cheng 成立究竟唯一乘
'cheng'li'shang'shu'ci'yi'li 成立上述此义理
'cheng'li'xian'ji'bu'neng'wu 成立现基不能无
'cheng'li'you'ci'er'cheng'ren 成立有此二承认
'cheng'li'zhi'yi'yi'jue'ze 成立之义已抉择
'cheng'li'zi'zhi'jue'xing'jie 成立自之觉性界
'cheng'mie'fa'yin'yi'you'guo 成灭法因亦有过
'cheng'ren'yi'li'wu'hai'gu 承认以理无害故
'cheng'shu'jian'ding'bu'yi'hui 成熟坚定不移慧
'cheng'shu'shang'shi'jia'chi'li 成熟上师加持力
'cheng'wei'wu'shang'jin'gang'cheng 称为无上金刚乘
'cheng'xin'bu'jing'xian'zi'jie 诚信不净现自解
'cheng'xu'san'cheng'jian'dao'tong 承许三乘见道同
'cheng'xu'wu'you'nong'xian'xian 成许无有脓显现
'cheng'xu'zhu'fa'da'jing'deng 承许诸法大净等
'chi'ming'chuan'cheng'zhi'yan'jiao 持明传承之言教
'chu'ci'cun'zai'ming'fen'wai 除此存在明分外
'chu'ci'er'qu'mi'xian'wai 除此二取迷现外
'chu'ci'ta'fa'bu'neng'xian 除此他法不能现
'chu'ci'zhi'wai'fei'zi'zong 除此之外非自宗
'chu'ci'zhi'wai'jia'li'fa 除此之外假立法
'chu'ci'zhi'wai'qi'ta'fa 除此之外其他法
'chu'ci'zhi'wai'ru'he'zheng 除此之外如何证
'chu'shui'deng'wai'bu'tong'ti 除水等外不同体
'chu'si'bian'wai'wu'zhi'xiang 除四边外无执相
'chu'zhang'fang'jian'zhen'shui'gu 除障方见真水故
'chuan'xi'shi'jian'hei'an'zhong 串习世间黑暗中
'ci'bu'neng'quan'bu'ke'yan 此不能诠不可言
'ci'deng'ben'zhu'jing'fa'shen 此等本住净法身
'ci'deng'liu'men'mei'yi'men 此等六门每一门
'ci'deng'xian'xian'wei'kong'xing 此等显现为空性
'ci'er'chu'xue'zhe'mian'qian 此二初学者面前
'ci'er'fang'bian'fang'bian'sheng 此二方便方便生
'ci'er'jin'shi'xin'jia'li 此二仅是心假立
'ci'fa'ben'lai'ji'qing'jing 此法本来即清净
'ci'hou'ru'shi'shi'ci'li 此后如实释此理
'ci'jing'jie'zhong'de'jian'di 此境界中得坚地
'ci'jiu'zhong'cheng'zhi'shu'liang 此九种乘之数量
'ci'lei'xian'xiang'qi'neng'you 此类现象岂能有
'ci'li'jian'jing'ming'yan'liang 此立见境名言量
'ci'nai'jing'xu'yu'qiao'jue 此乃经续与窍诀
'ci'nai'qi'tu'wei'xian'da 此乃歧途危险大
'ci'nai'xi'you'zhi'shan'shuo 此乃稀有之善说
'ci'nai'yi'qie'chu'xue'zhe 此乃一切初学者
'ci'nai'zhu'cheng'zhi'gui'su 此乃诸乘之归宿
'ci'nai'zi'ran'wu'lou'zhi 此乃自然无漏智
'ci'nai'zi'ta'suo'gong'xu 此乃自他所共许
'ci'shang'wei'li'wu'xi'lun 此尚未离无戏论
'ci'shi'san'zhe'fei'ju'he 此时三者非聚合
'ci'shi'wu'wu'er'xian'jian 此时无误而现见
'ci'shuo'bu'fu'sheng'jiao'yi 此说不符圣教义
'ci'shuo'you'zuo'he'jie'shi 此说又作何解释
'ci'tong'yi'yi'ru'tian'di 词同义异如天地
'ci'wai'kong'wu'bian'chu'zhong 此外空无边处众
'ci'wai'wu'you'bu'jing'gu 此外无有不净故
'ci'wai'wu'you'geng'sheng'jian 此外无有更胜见
'ci'wei'yin'guo'cheng'jing'hua 此为因果乘精华
'ci'xian'ci'kong'yong'bu'de 此现此空永不得
'ci'xian'ru'he'er'xian'xian 此现如何而显现
'ci'yi'fa'li'shi'cheng'li 此一法理实成立
