'bao'er'jing'zhi 保而敬之
'bao'hu'nan'nv 保护男女
'bao'jian'jin'juan'shu'an'ning 保见今眷属安宁
'bao'ming'yan'nian 保命延年
'bei'chen'chui'xiang 北辰垂象
'bei'dou'ben'ming'jing'jue 北斗本命经诀
'bei'dou'di'ba 北斗第八
'bei'dou'di'er 北斗第二
'bei'dou'di'jiu 北斗第九
'bei'dou'di'liu 北斗第六
'bei'dou'di'qi 北斗第七
'bei'dou'di'san 北斗第三
'bei'dou'di'si 北斗第四
'bei'dou'di'wu 北斗第五
'bei'dou'di'yi 北斗第一
'bei'dou'jiu'chen 北斗九辰
'bei'dou'xia'ri 北斗下日
'bei'dou'zhen'jun 北斗真君
'bei'ji'wu'qu'ji'xing'jun 北极武曲纪星君
'ben'ming'jiang'zhen'ling 本命降真灵
'ben'ming'shen'jiang 本命神将
'ben'ming'sheng'chen 本命生辰
'ben'ming'suo'shu'xing'jun 本命所属星君
'ben'ming'xian'qi 本命限期
'ben'ming'zhen'guan'jiang'jia 本命真官降驾
'ben'su'xing'guan 本宿星官
'bu'duan'ren'zhi'gen'ben 不断人之根本
'bu'gui'ren'shen 不贵人身
'bu'ke'de'wen 不可得闻
'bu'ke'jin'shu 不可尽述
'bu'ke'ju'chen 不可具陈
'bu'ru'xie'jian 不入邪见
'bu'she'zhai'jiao 不设斋醮
'bu'sheng'wu'dao'zhi'xiang 不生无道之乡
'bu'wei'zhen'xing 不违真性
'bu'xiu'xiang'huo 不修香火
'bu'zhi'jie'xie'zhi'men 不知解谢之门
'bu'zhi'shen'shu'bei'dou 不知身属北斗
'bu'zhi'zheng'dao 不知正道
'bu'zi'zhi'jue 不自知觉
'cai'wu'bu'xu'hao 财物不虚耗
'chan'zui'xiao'zai 忏罪消灾
'chang'bao'heng'li'zhen 长保亨利贞
'chang'chi'song'qi'yuan'zhen'jun 常持诵七元真君
'chang'chui'yin'you 常垂荫佑
'chang'sheng'chao'ba'nan 长生超八难
'chang'sheng'ren'dao 长生人道
'chao'chu'ku'zhong'sheng 超出苦众生
'chao'sheng'cheng'dao 超升成道
'chi'ci'zhen'wen'zhe 持此真文者
'chi'jing'zhi'ren 持经之人
'chi'song'bao'an'ping 持诵保安平
'chu'li'sheng'si 出离生死
'chu'qun'mi'jing 出群迷径
'chu'you'ru'wu 出有入无
'ci'wei'qing'sheng'mi'ben 此为轻生迷本
'ci'wen'suo'zai'zhi'chu 此文所在之处
'da'kui'tan'lang 大魁贪狼
'da'sheng'bei'dou 大圣北斗
'da'sheng'bei'dou'qi'yuan'jun 大圣北斗七元君
'da'sheng'bei'dou'qi'yuan'zhen'jun'ming'hao 大圣北斗七元真君名号
'da'sheng'rong'jie 达生荣界
'da'sheng'shan'tong'ling 大圣善通灵
'da'zhou'tian'jie 大周天界
'dan'yuan'lian'zhen'gang'xing'jun 丹元廉贞罡星君
'dang'de'zui'ye'xiao'chu 当得罪业消除
'dao'xin'kai'fa 道心开发
'de'dao'xiao'yao 得道逍遥
'de'wen'chi'song 得闻持诵
'di'shen'yong'chu 地神涌出
'ding'li'gong'jing 顶礼恭敬
'dong'ming'wai'fu'xing'jun 洞明外辅星君
'duo'chen'di'yu 多沉地狱
'duo'hao'qun'qing 多好群情
'duo'mi'zhen'dao 多迷真道
'duo'ru'xie'zong 多入邪宗
'duo'shi'ren'shen 多失人身
'duo'si'qiao'zha 多肆巧诈
'duo'yu'di'yu 堕于地狱
'duo'zhi'yao'sang 多致夭丧
'duo'zhong'zui'gen 多种罪根
'duo'zi'yin'sha 多恣淫杀
'duo'zong'tan'chen 多纵贪嗔
'er'shi 尔时
