'chan'yu'chu'lie 单于出猎
'chan'yu'shi'wei'lv'zhi'qi'shi 单于使卫律治其事
'chan'yu'yi'jiao 单于益骄
'chan'yu'zi'di'fa'bing'yu'zhan 单于子弟发兵与战
'chang'neng'wei'han'fu'nu'she'sha'zhi 常能为汉伏弩射杀之
'ci'bi'ji'wo 此必及我
'da'qi'shan'yi 答其善意
'du'yan'zhi'zi'di'zai 独阏氏子弟在
'fang'yu'fa'shi'song'wu'deng 方欲发使送武等
'fei'han'suo'wang'ye 非汉所望也
'gou'wang'deng'jie'si 缑王等皆死
'gou'wang'zhe 缑王者
'hou'sui'zhuo'ye'hou'mei'hu'zhong 后随浞野侯没胡中
'hui'gou'wang'yu'chang'shui'yu'chang'deng 会缑王与长水虞常等
'hui'wu'deng'zhi'xiong'nu 会武等至匈奴
'ji'wei'lv'suo'jiang'jiang'zhe 及卫律所将降者
'ji'zhi'xiong'nu 既至匈奴
'jian'fan'nai'si 见犯乃死
'jie'chan'yu'mu'yan'zhi'gui'han 劫单于母阏氏归汉
'kong'qian'yu'fa 恐前语发
'kun'xie'wang'zi'zi'ye 昆邪王姊子也
'qi'yi'ren'ye'wang'gao'zhi 其一人夜亡告之
'si'hou'sheng'yue 私候胜曰
'su'yu'fu'zhang'sheng'xiang'zhi 素与副张胜相知
'wen'han'tian'zi'shen'yuan'wei'lv 闻汉天子甚怨卫律
'wu'di'jia'qi'yi 武帝嘉其义
'wu'mu'yu'di'zai'han 吾母与弟在汉
'wu'yu'fu'zhong'lang'jiang 武与副中郎将
'xing'meng'qi'shang'ci 幸蒙其赏赐
'yi'zhuang'yu'wu 以状语武
'yin'hou'lu'chan'yu 因厚赂单于
'yin'xiang'yu'mou 阴相与谋
'yu'chang'deng'qi'shi'yu'ren'yu'fa 虞常等七十余人欲发
'yu'chang'sheng'de 虞常生得
'yu'chang'zai'han'shi 虞常在汉时
'yu'kun'xie'wang'ju'jiang'han 与昆邪王俱降汉
'zhang'sheng'wen'zhi 张胜闻之
'zhi'bi'yi'dan 置币遗单
'zhong'fu'guo 重负国
