'an'zhuang'tiao'shi 安装调试
'an'zhuang'tiao'shi'shi'jian 安装调试时间
'bai'sha'xian 白沙县
'bao'ting'xian 保亭县
'bei'shou'quan'ren'qian'zi 被授权人签字
'biao'shu'shou'jia 标书售价
'cai'gou'dai'li'ji'gou 采购代理机构
'cai'gou'he'tong 采购合同
'cai'gou'ren 采购人
'cai'gou'xin'xi'cha'yue 采购信息查阅
'cai'gou'xu'qiu 采购需求
'chan'quan'jiao'yi 产权交易
'chang'jiang'xian 昌江县
'cheng'jiao'gong'gao 成交公告
'cheng'mai'xian 澄迈县
'chu'bu'shen'cha'biao 初步审查表
'dan'yi'lai'yuan 单一来源
'dan'zhou'shi 儋州市
'di'dian 地点
'ding'an'xian 定安县
'ding'biao'yuan'ze 定标原则
'dong'fang'shi 东方市
'fa'ding'dai'biao'ren 法定代表人
'fa'ding'dai'biao'ren'qian'zi 法定代表人签字
'fa'ding'dai'biao'ren'shou'quan'shu 法定代表人授权书
'fan'wei 范围
'fei'biao 废标
'fu'jian 附件
'geng'zheng 更正
'gong'kai'zhao'biao 公开招标
'gong'si'jian'jie 公司简介
'gong'ying'shang'zi'ge'yao'qiu 供应商资格要求
'gou'mai'biao'shu 购买标书
'gou'mai'biao'shu'shi'jian 购买标书时间
'guan'yu'zi'ge'sheng'ming'han 关于资格声明函
'gui'ge'xiang'ying'biao 规格响应表
'guo'chan'yi'qi'she'bei 国产仪器设备
'hai'kou'shi 海口市
'hai'kou'shi'fang'wu'zheng'shou'ju 海口市房屋征收局
'hai'kou'shi'shi'zheng'guan'li'ju 海口市市政管理局
'hai'nan'sheng'cai'shui'xue'xiao 海南省财税学校
'hai'nan'sheng'cai'zheng'ting 海南省财政厅
'hai'nan'sheng'gong'gong'zi'yuan'jiao'yi'wang 海南省公共资源交易网
'hai'nan'sheng'hua'qiao'shang'ye'xue'xiao 海南省华侨商业学校
'hai'nan'sheng'jiao'tong'xue'xiao 海南省交通学校
'hai'nan'sheng'nong'ken'hai'kou'zhong'zhuan'xue'xiao 海南省农垦海口中专学校
'hai'nan'sheng'ren'min'zheng'fu 海南省人民政府
'hai'nan'sheng'yin'hang'xue'xiao 海南省银行学校
'he'tong 合同
'he'tong'tiao'kuan'ji'ge'shi 合同条款及格式
'jiao'bao'zheng'jin'yin'hang'zhang'hu 交保证金银行账户
'jiao'huo'di'dian 交货地点
'jiao'huo'ji'an'zhuang'tiao'shi'shi'jian 交货及安装调试时间
'jin'kou'yi'qi'she'bei 进口仪器设备
'jing'zheng'xing'cuo'shang 竞争性磋商
'jing'zheng'xing'tan'pan 竞争性谈判
'kai'biao'di'dian 开标地点
'kai'biao'shi'jian 开标时间
'kai'biao'yi'lan'biao 开标一览表
'le'dong'xian 乐东县
'lin'gao'xian 临高县
'ling'shui'xian 陵水县
'liu'biao 流标
'ping'biao'zhuan'jia 评标专家
'qi'ta'fu'wu'cheng'nuo 其他服务承诺
'qi'ta'gong'gao 其他公告
'qiong'hai'shi 琼海市
'qiong'zhong'xian 琼中县
'san'sha'shi 三沙市
'san'ya'shi 三亚市
'san'ya'shi'shui'wu'ju 三亚市水务局
'she'bei'bao'jia 设备报价
'she'bei'ming'cheng 设备名称
'sheng'ben'ji 省本级
'shou'hou'fu'wu'ji'hua 售后服务计划
'tou'biao'bao'zheng'jin 投标保证金
'tou'biao'ren'xu'zhi 投标人须知
'tou'biao'ren'zi'ge'sheng'ming 投标人资格声明
'tou'biao'shu 投标书
'tou'biao'yao'qing'han 投标邀请函
'tou'biao'yi'lan'biao 投标一览表
'tu'di'kuang'ye 土地矿业
'tun'chang'xian 屯昌县
'wan'ning'shi 万宁市
'wei'xiu'fu'wu'shou'fei'biao'zhun 维修服务收费标准
'wei'xiu'ji'shu'ren'yuan'qing'kuang 维修技术人员情况
'wen'chang'shi 文昌市
'wen'chang'shi'cai'zheng'ju 文昌市财政局
'wu'zhi'shan'shi 五指山市
'xiang'mu 项目
'xiang'mu'ming'cheng 项目名称
'xiang'mu'yu'suan 项目预算
'xiang'mu'zong'yu'suan 项目总预算
'xie'yi'gong'huo 协议供货
'xun'jia'cai'gou 询价采购
'xun'jia'cai'gou'yao'qing'han 询价采购邀请函
'yang'pu 洋浦
'yao'qing'zhao'biao 邀请招标
'ye'zhu'zhi'ding'di'dian 业主指定地点
'yi'qi'she'bei'jiao'fu'shi'jian 仪器设备交付时间
'yi'zuo'gong'cheng'jian'jie 已做工程简介
'ying'ji'wei'xiu'shi'jian'an'pai 应急维修时间安排
'ying'ye'zhi'zhao 营业执照
'zhao'biao'bian'hao 招标编号
'zhao'biao'wen'jian'shuo'ming 招标文件说明
'zhao'biao'xiang'mu 招标项目
'zhao'biao'xiang'mu'xu'qiu 招标项目需求
'zhao'biao'xiang'mu'yao'qiu 招标项目要求
'zhao'biao'zhong'xin 招标中心
'zheng'fu'cai'gou 政府采购
'zhi'liang'bao'zheng 质量保证
'zhong'biao'fu'wu'fei 中标服务费
'zhong'biao'fu'wu'fei'cheng'nuo'shu 中标服务费承诺书
'zhong'biao'gong'gao 中标公告
'zhong'guo'hai'nan'zheng'fu'cai'gou'wang 中国海南政府采购网
'zhu'yao'ling'pei'jian'jia'ge 主要零配件价格
'zhuan'jia 专家
'zi'ge'sheng'ming'han 资格声明函
'zi'ge'yu'shen 资格预审
'zi'ge'zheng'ming'wen'jian 资格证明文件
