'a'di'sen'shi'bing 阿狄森氏病
'bai'hou 白喉
'bian'ying'xing'guan'jie'yan 变应性关节炎
'bing'du'xing'nao'mo'yan 病毒性脑膜炎
'bing'du'xing'nao'yan 病毒性脑炎
'bing'xing'gan'yan'hou'gan'ying'hua'shi'dai'chang'qi 丙型肝炎后肝硬化失代偿期
'chen'jiu'xing'xin'ji'geng'si 陈旧性心肌梗死
'chuan'ran'xing'dan'he'xi'bao'zeng'duo'zheng 传染性单核细胞增多症
'chui'ti'liu 垂体瘤
'da'bian'shi'jin 大便失禁
'dai'xie'xing'suan'zhong'du 代谢性酸中毒
'dan'bai'niao 蛋白尿
'dan'nang'jie'shi'ban'dan'nang'yan 胆囊结石伴胆囊炎
'dan'nang'qie'chu'shu'hou 胆囊切除术后
'dan'zhi'xue'zheng 氮质血症
'di'jia'xing'ma'bi 低钾性麻痹
'dong'mai'liu 动脉瘤
'dou'xing'xin'lv'shi'chang 窦性心律失常
'fang'she'xing'ji'sui'bing 放射性脊髓病
'fei'dong'mai'gao'ya 肺动脉高压
'fei'gu'gu'zhe 腓骨骨折
'fei'han'tie'xue'huang'su'chen'zhuo'zheng 肺含铁血黄素沉着症
'fei'yin'qiu'jun'bing 肺隐球菌病
'fu'fa'xing'jia'zhuang'xian'ai 复发性甲状腺癌
'fu'zhong 浮肿
'gan'ai'shu'hou'zhuang'tai 肝癌术后状态
'gan'ran'xing'xiu'ke 感染性休克
'gao'xue'ya 高血压
'gao'xue'ya'xing'shen'bing 高血压性肾病
'gu'gu'tou'wu'jun'xing'huai'si 股骨头无菌性坏死
'huai'gu'guan'jie'bing 踝骨关节病
'hui'chong'bing 蛔虫病
'ji'fa'xing'xue'xiao'ban'zeng'duo'zheng 继发性血小板增多症
'ji'xing'chu'xie'huai'si'xing'yi'xian'yan 急性出血坏死性胰腺炎
'ji'xing'nao'xue'guan'bing 急性脑血管病
'ji'xing'qi'guan'yan 急性气管炎
'ji'xing'sai'xian'yan 急性腮腺炎
'ji'xing'shen'xiao'qiu'shen'yan 急性肾小球肾炎
'ji'zhu'gu'zhe'ban'jie'tan 脊柱骨折伴截瘫
'jiao'lv'xing'yi'yu'zheng 焦虑性抑郁症
'jiao'mo'bai'ban 角膜白斑
'jing'gu'cheng'gu'rou'liu 胫骨成骨肉瘤
