'a'ba'ke 阿巴克
'a'ba'ni'si 阿巴尼斯
'a'bei'duo 阿贝多
'a'bei'liang'jiu 阿倍良久
'a'ben 阿笨
'a'bu 阿卜
'a'bu 阿部
'a'chuang 阿创
'a'duo'ni'si 阿多尼斯
'a'fen'di 阿芬迪
'a'fu 阿釜
'a'fu'ta 阿夫塔
'a'fu'xin 阿夫辛
'a'gui 阿桂
'a'han'ge'er 阿汉格尔
'a'hao 阿昊
'a'huang 阿晃
'a'jing 阿敬
'a'jiu 阿鸠
'a'kou 阿扣
'a'kuan 阿宽
'a'la'bi 阿拉比
'a'la'mi 阿拉米
'a'lian'zuo 阿莲佐
'a'ma'zi'ya 阿玛兹亚
'a'mao 阿茂
'a'mi 阿米
'a'mi'er 阿米尔
'a'nan'de 阿南德
'a'ni'sa 阿妮萨
'a'ru'cun 阿如村
'a'se'er 阿瑟尔
'a'shan'po 阿山婆
'a'shen'pa'qi 阿什帕齐
'a'shen'sha'bu 阿什莎布
'a'shen'ya 阿什亚
'a'shou 阿守
'a'si'fa'de 阿斯法德
'a'tai 阿泰
'a'tuo 阿托
'a'wang 阿望
'a'xing 阿幸
'a'xu 阿旭
'a'yi 阿义
'a'you 阿佑
'a'zhi 阿直
'a'zhi 阿芷
'a'zuo 阿佐
'ai'bo'te 艾伯特
'ai'de'lin 爱德琳
'ai'di'si'bo'shi 艾迪丝博士
'ai'er'fei 艾尔菲
'ai'ke 艾珂
'ai'la'ma'si'ke 艾拉马斯克
'ai'lin 艾琳
'ai'lun 艾伦
'ai'luo'yi 埃洛伊
'ai'si'te'er 艾斯特尔
'ai'yi'man 艾依曼
'ai'ze 埃泽
'an'bai 安柏
'an'de'lie 安德烈
'an'dong 安东
'an'dong'ni 安东尼
'an'na 安娜
'an'teng 安藤
'an'tian 安田
'an'zhen 安贞
'ao'jie'zhong 奥诘众
'ao'la'fu 奥拉夫
'ao'lei'wu'si 奥雷乌斯
'ao'te 奥特
'ao'wu'zi 奥乌兹
'ba'ba'la 芭芭拉
'ba'chong'shen'zi 八重神子
'ba'chong'tang 八重堂
'ba'dun 巴顿
'ba'ha'la'ke 巴哈拉克
'ba'lan 巴兰
'bai'du'ren 摆渡人
'bai'he'hua 百合华
'bai'huo'qi'huo 百货奇货
'bai'huo'shang'dian 百货商店
'bai'jing 白井
'bai'shi 百识
'bai'wen 百闻
'bai'xiao 百晓
'bai'yi 拜伊
'ban'ka 班卡
'ban'mu'bai'bing'wei 斑目百兵卫
'ban'ni'te 班尼特
'ban'yun'gong 搬运工
'bao'biao 保镖
'bei'dou 北斗
'bei'guo'yin'hang 北国银行
'bei'ha'mu 贝哈姆
'bei'hai'mu 贝海姆
'bei'la'te 贝拉特
'bei'lu'zi 贝鲁兹
'ben'lei'shou'qin'shi'fu 奔雷手秦师傅
'bi'bo 碧波
'bi'luo'meng'men 比螺梦门
'bi'ta 比塔
'bian'ji 编辑
'biao'shi 镖师
'bo'er'tuo 波尔托
'bo'heng'zi 伯恒子
'bo'lai 博来
'bo'te'lan 伯特兰
'bo'xing 博行
'bo'yan 博彦
'bu'bu'lu'yao'shi 不卜庐药师
'bu'lan'qi 布兰琪
'bu'lao'en 卜劳恩
'bu'lu'si 布鲁斯
'bu'luo'ke 布洛克
'bu'te'luo'si 布特罗斯
'bu'yun 步云
'cai'cai'zi 菜菜子
'cai'cang 才藏
'cai'le 蔡乐
'cai'xun 蔡寻
'cai'yao'ren 采药人
'cang'ku'guan'li'yuan 仓库管理员
'ceng'yan'ju'yuan'an'quan'ji'shu'yuan 层岩巨渊安全技术员
'ceng'yan'ju'yuan'kuang'gong 层岩巨渊矿工
'cha'er'si 查尔斯
'cha'shui'tan'tan'zhu 茶水摊摊主
'cha'ye'wei'qi 查耶维奇
'chai'men'er'lang 柴门二郎
'chai'men'hui'li 柴门惠理
'chai'men'ke'si 柴门克巳
'chai'ran 柴染
'chai'tian 柴田
'chang'chang 畅畅
'chang'gang'xiu'man 长冈秀满
'chang'gu'chuan 长谷川
'chang'hu 昌虎
'chang'jiu'ye 常九爷
'chang'shun 长顺
'chang'ye'yuan'long'zhi'jie 长野原龙之介
'chao'cang 朝仓
'chao'nan 朝南
'chao'xi 潮汐
'chen'xiang 沉香
'chi'tian'zong'si'lang 池田总四郎
'chu'po'po 楚婆婆
'chu'shi 厨师
'chu'yi 楚仪
'chu'yu'shang'hang 楚瑜商行
'chuan'chang'gong'ren 船厂工人
'chuan'fu 船夫
'chuan'gong 船工
'chuan'jiang 船匠
'chuan'ju'zhu'guan 船局主管
'chuan'yi 船医
'chuan'zhu 船主
'chun'xiang'yao 春香窑
'cong'long'zhi'yuan 葱茏之愿
'cui'er 翠儿
'cui'yu'yan'da'xia 翠钰岩大侠
'cun'shang 村上
'cun'tian 村田
'cun'zhang 村长
'da'cang 大仓
'da'chu 大厨
'da'da'li'ya 达达利亚
'da'dao 大岛
'da'dao'chun'ping 大岛纯平
'da'fa'ming'jia 大发明家
'da'fu 大副
'da'he'tian 大和田
'da'he'yuan'wu'you'wei'men 大河原五右卫门
