'an'zi'duan'dian'dao'le 案子断颠倒了
'ba'du'bian 巴独便
'ba'hao'tui'shen'gei'ta'yi 把好腿伸给他医
'ba'tu'di'zhu'he'zhang'en 巴吐地主和章恩
'ba'yi'de'yan'ji 巴依的眼疾
'bai'da'le'xiu'li'fei 白搭了修理费
'bai'tian'neng'kan'dao'xing'xing'ma 白天能看到星星吗
'ban'bai'lao'weng 半百老翁
'ban'jia 搬家
'bao'shi'zhong'ri 饱食终日
'bei'shi'tou 背石头
'bei'zhe'mo'pan'qi'lv 背着磨盘骑驴
'bi'guo'wang'zao'si'liang'tian 比国王早死两天
'bi'zei 避贼
'bie'ren'you'ming'wo'wu'ming 别人有命我无命
'bu'gan'shu'ma 不敢属马
'bu'gao'yu'shao'bing 布告与烧饼
'bu'hui'diu'de 不会丢的
'bu'hui'mo'mo 不会磨墨
'bu'ren'shu 不认输
'bu'yao'kong'shou'hui'jia 不要空手回家
'bu'yao'ming 不要命
'bu'yi'dong'tu 不宜动土
'bu'zhi'xiu 不知羞
'cai'mi'chong 财迷虫
'cai'zhu'fu'yan 财主赴宴
'cai'zhu'shi'mao 财主拾帽
'cai'zi 才子
'cang'zai'huai'li'de'dong'xi 藏在怀里的东西
'cao'di'mu'niu'tu 草地牧牛图
'cao'zi'da'wang 草字大王
'ce'li 厕吏
'chan'gui 馋鬼
'cheng'chuan 撑船
'chi'shao'bing 吃烧饼
'chi'yi'sheng'mi'he'yi'sheng'bao'gu 吃一升米和一升苞谷
'chi'you'zha'ba 吃油炸粑
'chu'lai'pa'gou'yao'li 出来怕狗咬哩
'chuan'dan 串蛋
'chui'niu'de'da'zui 吹牛的大嘴
'chun'di'zhu 蠢地主
'ci'ku'bu'po 此裤不破
'cong'ming'de'ban'fa 聪明的办法
'cu'yue 粗月
'cui'mian'yao 催眠药
'da'du 打赌
'da'gou'shou 打狗手
'da'guo'xi'huo 打锅熄火
'da'lao'ye'cha'huang 大老爷查荒
'da'mo 打磨
'da'san'jin 打三斤
'da'sheng'he'xiao'sheng 大声和小声
'da'zhang'fu 大丈夫
'da'zhe'deng'long'zhao'bu'dao 打着灯笼找不到
