'ba'wu'jian'dao'shi'er'si 八无间道十二思
'ba'zhong'bu'te'jia'luo'ye 八种补特伽罗也
'bao'ji'ran'deng'pi'shi'fo 宝髻燃灯毗尸佛
'bei'ju'lu'zhou'er'huang'men 北俱卢洲二黄门
'bei'ju'lu'zhou'you'san'zhong 北俱卢洲有三种
'ben'xing'xiang'ying'yu'suo'yuan 本性相应与所缘
'bi'deng'bi'ding'shi'yi'lei 彼等必定是一类
'bi'deng'ju'er'san'san'guo 彼等具二三三果
'bi'deng'long'tong'er'gui'na 彼等笼统而归纳
'bi'deng'yi'ti'bu'xiang'wei 彼等异体不相违
'bi'deng'you'biao'wu'biao'ye 彼等有表无表业
'bi'ding'gan'shou'yi'shu'guo 必定感受异熟果
'bi'fen'si'ye'si'zuo'ye 彼分思业思作业
'bi'guo'ju'zu'da'shou'yong 彼果具足大受用
'bi'qiu'jian'xing'ju'jie'zhe 比丘见行具戒者
'bi'shi'ru'tong'ye'dao'ye 彼事如同业道也
'bi'yi'ba'zhe'yi'shang'cheng 彼以八者以上成
'bi'you'ye'zhi'yi'shu'sheng 彼由业之异熟生
'bi'you'yi'shu'ye'suo'sheng 彼由异熟业所生
'bi'yu'po'zhe'zhen'shi'ju 彼与破者真实具
'bi'yu'suo'po'seng'zhong'ju 彼与所破僧众具
'bi'zhi'shu'sheng'wei'shi'zhu 彼之殊胜为施主
'bi'zhi'zui'ye'wei'wang'yu 彼之罪业为妄语
'bian'xing'sha'zhi'yi'fan'zui 变性杀之亦犯罪
'bing'fei'shi'zhi'xing'ta'jing 并非是指行他境
'bing'fei'yu'zhu'xiang'xu'li 并非于诸相续离
'bu'dong'yao'ye'shang'jie'sheng 不动摇业上界生
'bu'ju'guo'qu'wu'biao'se 不具过去无表色
'bu'pei'zhuang'shi'ming'chen'qian 不佩装饰明晨前
'bu'shan'hei'ye'se'shan'bai 不善黑业色善白
'bu'shan'ye'sheng'shan'fa'deng 不善业生善法等
'bu'shan'yu'jie'zhong'cun'zai 不善欲界中存在
'bu'tui'bi'ji'shan'zhou'nan 不退彼即赡洲男
'bu'xu'huang'men'deng'ju'you 不许黄门等具有
'bu'yu'qu'yi'li'an'qie 不予取以力暗窃
'bu'zao'shun'ci'sheng'shou'ye 不造顺次生受业
'cha'na'da'zhong'zhong'chan'sheng 刹那大种中产生
'chan'ding'jie'yi'ding'di'de 禅定戒依定地得
'chan'ding'jie'yu'wu'lou'jie 禅定戒与无漏戒
'chan'ding'suo'she'zhi'shan'fa 禅定所摄之善法
'chang'yang'tong'ti'zhong'chan'sheng 长养同体中产生
'cheng'er'suo'qu'chen'wu'you 成二所取尘无有
'cheng'nuo'gong'jing'er'huo'de 承诺恭敬而获得
'cheng'nuo'ji'wei'ju'shi'gu 承诺即为居士故
'cheng'wei'e'jie'ji'e'xing 称为恶戒及恶行
'cheng'wei'huan'xi'ji'rou'nen 成为欢喜极柔嫩
'cheng'wei'ji'zhong'zhi'zhang'ai 成为极重之障碍
'cheng'xu'bi'wei'zui'zhong'zui 承许彼为最重罪
'cheng'xu'ci'deng'wei'san'zhang 承许此等为三障
'cheng'xu'ming'wei'san'e'xing 承许名为三恶行
'cheng'xu'yi'qie'jun'chan'sheng 承许一切均产生
'chu'bei'ju'zhou'ju'tan'you 除北俱洲具贪有
'chu'ju'zhong'jie'wu'biao'se 初具中戒无表色
'chu'ming'cheng'wai'wu'bian'gu 除名称外无变故
'chu'mo'er'da'zun'zhe'qian 初末二大尊者前
'chu'xian'liang'xing'duan'shan'gen 出现两性断善根
'chu'xian'liang'xing'er'she'qi 出现两性而舍弃
'chu'xin'shan'deng'zheng'xin'san 初心善等正心三
'chu'zhe'you'biao'wu'biao'se 初者有表无表色
'chuan'shuo'bi'wu'ci'shou'fa 传说彼无此受法
'chuan'wen'shou'bi'er'de'ming 传闻守彼而得名
'ci'deng'ji'jin'wu'jian'zui 此等即近无间罪
'ci'deng'ran'wu'fa'yi'ming 此等染污法异名
'ci'di'nai'wei'shu'zi'yin 次第乃为书字印
'ci'di'shuo'jian'wen'zhi'jue 次第说见闻知觉
'ci'di'si'wei'jie'lv'zhi 次第四为戒律支
'ci'di'wei'er'si'yu'san 次第为二四与三
'ci'di'you'si'er'san'guo 次第有四二三果
'ci'di'you'yi'san'er'guo 次第有一三二果
'ci'hou'ju'er'wu'biao'se 此后具二无表色
'ci'wu'liang'xin'yu'jian'dao 慈无量心与见道
'ci'yi'ming'xian'bei'le'zhi 词义明显被了知
'cong'xiu'miao'xiang'zhi'ye'qi 从修妙相之业起
'cu'yu'ze'zhi'ci'er'yu 粗语则指刺耳语
'da'zhong'ze'shi'wu'zhi'shou 大种则是无执受
'de'guo'xiu'tui'she'sheng'jie 得果修退舍圣戒
