'bai'xue'de'pu'bu 白雪的瀑布
'bing'rong'ru'chun'xia'qiu'dong 并融入春夏秋冬
'chun'zhi'hua'cao 春之花草
'de'jue'mei'jing'se'zhi'zhong 的绝美景色之中
'dong'zhi'bai'xue 冬之白雪
'du'juan'zai'ming'li'de 杜鹃在明丽的
'er'zhe'yi'qie 而这一切
'gao'yuan'shen'chu 高原深处
'gao'yuan'yang'guang'zhong 高原阳光中
'jing'se'ge'yi 景色各异
'jiu'zhai'si'shi 九寨四时
'neng'gou'ting'jian 能够听见
'qi'gan'shou'shi 其感受是
'qiu'zhi'hong'ye 秋之红叶
'ren'de'xin'tiao'de'jing'tu 人的心跳的净土
'ren'he'yu'yan'dou'nan'yi'biao'da'de 任何语言都难以表达的
'wu'bu'ling'ren'wei'zhi'jiao'jue 无不令人为之叫绝
'xia'chu'man'shan'bian'ye'de 夏初漫山遍野的
'xia'qiu'de'jing'se'geng'jia'feng'fu 夏秋的景色更加丰富
'xia'zhi'liu'pu 夏之流瀑
'xiang'bi'zhi'xia 相比之下
'xuan'gua'zai'hua'cong'zhi'zhong 悬挂在花丛之中
'you'shen'ju'yu 又深居于
'yuan'li'chen'shi'de 远离尘世的
'zai'na'pian'ning'jing'de 在那片宁静得
