'a'lai'ye'shi 阿赖耶识
'an'mo'luo'guo 庵摩罗果
'an'mo'mo 暗默默
'ba'hai'bian'jian 八还辨见
'ba'ren'ba'zhi 八忍八智
'bang'fa 谤法
'bang'he 棒喝
'bao'ti'zhen'jing 宝体真精
'bei'fang'duo'wen'tian'wang 北方多闻天王
'bei'jue'he'chen 背觉合尘
'ben'lai'qing'jing 本来清净
'ben'qi'yin'di 本起因地
'ben'yuan 本元
'bi'xiu'xiang 鼻嗅香
'bian'jie 遍界
'bo're'wei'dao 般若为导
'bu'ding'fang 不定方
'bu'dong'ke 不动科
'bu'hai'ke 不还科
'bu'mie'ke 不灭科
'bu'za'ke 不杂科
'cang'shi'hai 藏识海
'chang'ji 常寂
'chang'xing'zhi'jue'chu'xing 尝性知觉触性
'chang'zhu 常住
'chen'jing 尘境
'chen'sha'huo 尘沙惑
'cheng'ji'lian'fen 澄霁敛氛
'chuan'zi'de'cheng 船子德诚
'cuo'mo 撮摩
'da'cheng'qi'xin'lun 大乘起信论
'da'fo'ding'ru'lai'mi'yin'xiu'zheng'le'yi 大佛顶如来密因修正了义
'da'mo'xue'mai'lun 达摩血脉轮
'da'zhong 大众
'dai'wang'jian'jing 带妄见精
'dao'wu 道吾
'de'cheng 德诚
'deng'yi'fa'lao 瞪以发劳
'deng'ying 灯影
'dian'dao 颠倒
'diao'jin'jiang'bo 钓尽江波
'ding'fang 定方
'dong'fang'chi'guo'tian'wang 东方持国天王
'dou'luo'mian'wang'xiang'guang'shou 兜罗绵网相光手
'du'tou'yi'shi 独头意识
'dui'jing 对境
'dun'che'xu'ling 顿彻虚灵
'er'shou'zhang 二手掌
'er'wen'sheng 耳闻声
'fa'cai 法财
'fa'chen 法尘
'fa'ren 法忍
'fa'yin 法音
'fa'zhuang 法幢
'fan'guan 反观
'fan'guan'zi'xing 反观自性
'fang'bian'pu'ti 方便菩提
'fang'kong 方空
'fang'qi 方器
'fen'bie'fa'zhi 分别法执
'fu'ou 浮沤
'gan'ying'dao'jiao 感应道交
'hui'mei 晦昧
'hun'chen 昏尘
'huo'dao 惑道
'ji'chang 寂常
'ji'ming'zi'xiang 计名字相
'ji'su'lv'ting 寄宿旅亭
'ji'wei 基位
'ji'zhu'da'zhong 及诸大众
