'bai'lu'bu'xia 白露不下
'bao'yu'shu'qi 暴雨数起
'bei'fa'huan'xing 被发缓形
'bi'dai'ri'guang 必待日光
'bu'ming'xie'hai'kong'qiao 不明邪害空窍
'bu'shi'ze'ming'mu'duo'si 不施则名木多死
'bu'yi'wan'hu 不亦晚乎
'bu'zhi'yi'luan'zhi'wei'luan 不治已乱治未乱
'cang'de'bu'zhi 藏德不止
'chun'san'yue'ci'wei'fa'chen 春三月此谓发陈
'chun'wei'wei'jue 春为痿厥
'ci'chun'qi'zhi'ying 此春气之应
'ci'dong'qi'zhi'ying 此冬气之应
'ci'qiu'qi'zhi'ying 此秋气之应
'ci'xia'qi'zhi'ying 此夏气之应
'cong'yin'yang'ze'sheng 从阴阳则生
'cong'zhi'ze'ke'ji'bu'qi 从之则苛疾不起
'cong'zhi'ze'zhi 从之则治
'di'qi'yi'ming 地气以明
'di'qi'zhe'mao'ming 地气者冒明
'dong'san'yue'ci'wei'bi'cang 冬三月此谓闭藏
'dong'wei'sun'xie 冬为飧泄
'dong'zhi'zhong'bing 冬至重病
'dou'er'zhu'zhui 斗而铸锥
'e'qi'bu'fa 恶气不发
'fan'shun'wei'ni 反顺为逆
'fei'qi'jiao'man 肺气焦满
'feng'cang'zhe'shao 奉藏者少
'feng'sheng'zhe'shao 奉生者少
'feng'shou'zhe'shao 奉收者少
'feng'yu'bu'jie 风雨不节
'feng'zhang'zhe'shao 奉长者少
'fu'bing'yi'cheng'er'hou'yao'zhi 夫病已成而后药之
'fu'si'shi'yin'yang'zhe 夫四时阴阳者
'gan'qi'nei'bian 肝气内变
'gu'bu'xia'ye 故不下也
'gu'shen'wu'qi'bing 故身无奇病
'gu'yin'yang'si'shi'zhe 故阴阳四时者
'guang'bu'yu'ting 广步于庭
'huai'qi'zhen'yi 坏其真矣
'jiao'tong'bu'biao 交通不表
'luan'yi'cheng'er'hou'zhi'zhi 乱已成而后治之
'ni'chun'qi'ze'shao'yang'bu'sheng 逆春气则少阳不生
'ni'dong'qi'ze'shao'yin'bu'cang 逆冬气则少阴不藏
'ni'qi'gen'ze'fa'qi'ben 逆其根则伐其本
'ni'qiu'qi'ze'tai'yin'bu'shou 逆秋气则太阴不收
'ni'xia'qi'ze'tai'yang'bu'chang 逆夏气则太阳不长
'ni'zhi'ze'luan 逆之则乱
'ni'zhi'ze'shang'fei 逆之则伤肺
'ni'zhi'ze'shang'gan 逆之则伤肝
'ni'zhi'ze'shang'shen 逆之则伤肾
'ni'zhi'ze'shang'xin 逆之则伤心
'ni'zhi'ze'si 逆之则死
'ni'zhi'ze'zai'hai'sheng 逆之则灾害生
'pi'you'ke'er'chuan'jing 譬犹渴而穿井
'qiu'san'yue'ci'wei'rong'ping 秋三月此谓容平
'qiu'wei'jie'nue 秋为痎疟
'qu'han'jiu'wen 去寒就温
'ruo'suo'ai'zai'wai 若所爱在外
'ruo'yi'you'de 若已有得
'ruo'you'si'yi 若有私意
'shang'er'wu'fa 赏而勿罚
'shen'qi'du'chen 肾气独沉
'sheng'er'wu'sha 生而勿杀
'sheng'qi'bu'jie 生气不竭
'sheng'ren'bu'zhi'yi'bing'zhi'wei'bing 圣人不治已病治未病
