'bao'feng'ji'yu'bu'ru'gua'fu'zhi'men 暴风疾雨不入寡妇之门
'bi'gan'sui'hui'bu'neng'zi'mian'qi'shen 比干虽惠不能自勉其身
'bo'na'shan'chuan'kuan'ze'de'zhong'min'ze'you'gong 博纳山川宽则得众敏则有功
'bu'huan'ren'bu'zhi'ji'wei'huan'ji'bu'zhi'ren 不患人不知己唯患己不知人
'ci'fu'bu'ai'wu'li'zhi'zi'zhi'ai'you'li'zhi'nu 慈父不爱无力之子只爱有力之奴
'dao'jian'sui'li'bu'xiu'yang'qing'jie'ren'shi 刀剑虽利不休养清杰人士
'dao'zhi'yi'de'qi'zhi'yi'li 道之以德齐之以礼
'di'ba'zhang 第八章
'di'er'zhang 第二章
'di'liu'zhang 第六章
'di'qi'zhang 第七章
'di'san'zhang 第三章
'di'si'zhang 第四章
'di'wu'zhang 第五章
'di'yi'zhang 第一章
'duo'yan'bu'yi'qi'ti'ri'shi'bu'fang'qi'shen 多言不益其体日使不妨其身
'fa'bu'hua'yu'jun'zi'li'bu'zhi'yu'xiao'ren 法不化于君子礼不知于小人
'fan'ren'bu'ke'mao'xiang'hai'shui'bu'ke'dou'liang 凡人不可貌相海水不可斗量
'fei'zai'heng'huo'bu'ru'shen'zhe'zhi'men 非灾横祸不入慎者之门
'gua'tian'bu'zheng'lv'li'xia'bu'zheng'guan 瓜田不整履李下不整冠
'ji'cai'qian'wan'bu'zhi'ming'jie'yi'jing 积财千万不知明解一经
'ji'han'zai'shen'bu'xiu'qi'shi'zhi'chi 饥寒在身不羞乞食之耻
'jiao'long'sui'meng'bu'sha'an'shang'zhi'ren 蛟龙虽猛不杀岸上之人
'jun'zhuo'ze'yong'wu'jun'qing'ze'yong'wen 君浊则用武君清则用文
'jun'zi'zhi'huai'you'ru'da'hai 君子之怀有如大海
'liang'tian'qian'qing'bu'ru'bo'yi'sui'shen 良田千顷不如薄艺随身
'luo'lan'sui'xi'bu'neng'zhi'wu'shi'zhi'ren 罗兰虽细不能执无事之人
'meng'mu'san'yi'wei'zi'ze'lin 孟母三移为子择邻
'nv'wu'ji'jing'bu'zhi'mian'shang'jing'li 女无圾镜不知面上精丽
'pin'ren'duo'li'qin'geng'zhi'ren'bi'shi'qin'jia'zhi'ren 贫人多力勤耕之人必食勤家之人
'qian'ren'pai'men'bu'ru'yi'ren'ba'kai 千人排门不如一人拔开
'qin'shi'wu'jia'zhi'bao'xue'shi'ming'mu'shen'zhu 勤是无价之宝学是明目神珠
'qing'qing'zhi'shi'wei'sa'suo'shang 清清之事为洒所伤
'qu'e'zhi'ren'bu'xiu'zhi'bian'zhi'shi 屈厄之人不羞执鞭之事
'ren'wu'yuan'lv'bi'you'jin'you 人无远虑必有近忧
'ri'yue'sui'ming'bu'neng'pen'fu'zhi'xia 日月虽明不能盆覆之下
'san'ren'xing'bi'you'wo'shi'yan 三人行必有我师焉
'shang'ren'zhi'yu'hai'shi'zi'shang 伤人之语还是自伤
'shao'wei'ren'zi'chang'wei'ren'fu'chu'ze'lian'rong 少为人子长为人父出则敛容
'shen'shi'hu'shen'zhi'fu'qian'shi'bai'hang'zhi'ben 慎是护身之符谦是百行之本
'sheng'jun'sui'ke'bu'yin'dao'quan'zhi'shui 圣君虽渴不饮盗泉之水
'sheng'ren'bi'qi'jiu'ke'jun'zi'kong'qi'jiu'shi 圣人避其酒客君子恐其酒失
'shi'gu'yong'tan'bi'duan'mi'shi'yi'chang 是故用谈彼短靡恃已长
'shi'qi'wen'li'yu'zhi'qi'ren'xian'shi'nu'bi 视其文理欲知其人先视奴婢
'shi'yi'ren'xiang'zhi'yu'dao'heng'yu'xiang'wang'yu'jiang'hu 是以人相知于道行鱼相望于江湖
'ta'nu'mo'yu'yu'ta'bi'mo'yu'yan 他奴莫与语他婢莫与言
'tang'yu'sui'sheng'bu'neng'hua'qi'ming'zhu 唐虞虽圣不能化其明主
'wei'zi'sui'xian'bu'neng'jian'qi'an'jun 微子虽贤不能谏其暗君
'xiang'er'zhi'xia'bi'you'si'gou'zhi'yu 香饵之下必有丝钩之鱼
'xiao'ren'wei'cai'xiang'sha'jun'zi'yi'de'xiang'zhi 小人为财相杀君子以德相知
'xiao'zi'bu'yin'qing'yu'jun 孝子不隐情于君
'xie'pi'huai'yu'liang'chan'yan'bai'yu'shan 邪僻坏于良谗言败于善
'yang'tang'zhi'fei'bu'ru'qu'xin 扬汤止沸不如去薪
'ying'ji'sui'xun'bu'neng'kuai'yu'feng'yu 鹰鸡虽迅不能快于风雨
'you'gong'zhe'ke'shang'you'guo'zhe'ke'zhu 有功者可赏有过者可诛
'yu'zhe'zhi'zi'duo'huan'xiao'ren'zhi'guo 愚者之子多患小人之过
'ze'qi'shan'zhe'er'cong'zhi'qi'bu'shan'zhe'er'gai'zhi 择其善者而从之其不善者而改之
'ze'xiong'shi'zhi'wu'nian'yi'wai'ze'jian'sui'zhi 则兄事之五年以外则肩随之
'zhi'zhe'zhi'zi'duo'huan'bu'jian'zhi'guo 知者之子多患不见之过
'zhong'shang'zhi'xia'bi'you'yong'li'zhi'ren 重赏之下必有勇力之人
'zhong'shen'wu'jiu 终身无咎
'zhuang'tong'zhu'gou 状同猪狗
