'bu'ru'wu'wen'er'yao'zhi'ye 不如吾闻而药之也
'bu'ru'xiao'jue'shi'dao 不如小决使道
'bu'wen'zuo'wei'yi'fang'yuan 不闻作威以防怨
'da'jue'suo'fan 大决所犯
'fu'ren'zhao'xi'tui'er'you'yan 夫人朝夕退而游焉
'he'ru 何如
'he'wei 何为
'hui'xiang'xiao 毁乡校
'mie'ye'jin'er'hou'zhi'wu'zi'zhi'xin'ke'shi'ye 蔑也今而后知吾子之信可事也
'qi'bu'ju'zhi 岂不遽止
'qi'suo'e'zhe 其所恶者
'qi'suo'shan'zhe 其所善者
'qi'wei'er'san'chen 岂唯二三臣
'qi'zheng'guo'shi'lai'zhi 其郑国实赖之
'ran'ming'wei'zi'chan'yue 然明谓子产曰
'ran'ming'yue 然明曰
'ran'you'fang'chuan'ye 然犹防川也
'ren'wei'zi'chan'bu'ren 人谓子产不仁
'ruo'guo'xing'ci 若果行此
'ruo'zhi'he'hui'zhi 若之何毁之
'shang'ren'bi'duo 伤人必多
'shi'wu'shi'ye 是吾师也
'wo'wen'zhong'shan'yi'sun'yuan 我闻忠善以损怨
'wu'bu'ke'jiu'ye 吾不克救也
'wu'bu'xin'ye 吾不信也
'wu'ze'gai'zhi 吾则改之
'wu'ze'xing'zhi 吾则行之
'xiao'ren'shi'bu'cai 小人实不才
'yi'lun'zhi'zheng 以论执政
'yi'shi'guan'zhi 以是观之
'yi'yi'zhi'zheng'zhi'shan'fou 以议执政之善否
'zheng'ren'you'yu'xiang'xiao 郑人游于乡校
'zhong'ni'wen'shi'yu'ye 仲尼闻是语也
'zi'chan'yue 子产曰
