'ai'shi'zu 爱士卒
'an'de'guang'sha'qian'wan'jian 安得广厦千万间
'an'ling'jun'bu'ting'gua'ren 安陵君不听寡人
'an'ling'jun'qi'xu'gua'ren 安陵君其许寡人
'an'ling'jun'shou'di'yu'xian'wang'er'shou'zhi 安陵君受地于先王而守之
'an'ling'jun'yin'shi'tang'ju'shi'yu'qin 安陵君因使唐雎使于秦
'an'ling'jun'yue'da'wang'jia'hui 安陵君曰大王加惠
'an'zhi'ting'lan 岸芷汀兰
'an'zhi'wo'bu'zhi'yu'zhi'le 安知我不知鱼之乐
'an'zhi'yu'zhi'le 安知鱼之乐
'ba'bai'li'fen'hui'xia'zhi 八百里分麾下炙
'ba'jian'si'gu'xin'mang'ran 拔剑四顾心茫然
'ba'jiu'lin'feng'qi'xi'yang'yang'zhe'yi 把酒临风其喜洋洋者矣
'ba'jiu'wen'qing'tian 把酒问青天
'ba'shan'chu'shui'qi'liang'de 巴山楚水凄凉地
'ba'yue'qiu'gao'feng'nu'hao 八月秋高风怒号
'bai'fei'ju'xing 百废具兴
'bai'hong'guan'ri 白虹贯日
'bai'ju'yi 白居易
'bai'li'xi'ju'yu'shi 百里奚举于市
'bai'xing'duo'wen'qi'xian 百姓多闻其贤
'bai'xing'shu'gan'bu'dan'han'hu'jiang 百姓孰敢不箪含壶浆
'bai'xue'ge'song'wu'pan'guan'gui'jing 白雪歌送武判官归京
'ban'ye'liang'chu'tou 半夜凉初透
'bao'qi'yan'zu 保其岩阻
'bao'zi'zai'qi'pang 抱子在其旁
'bei'ding'zhong'yuan 北定中原
'bei'dou'lan'gan'nan'dou'xie 北斗阑干南斗斜
'bei'fang'you'wu'chen'zhe 北方有侮臣者
'bei'feng'juan'di'bai'cao'zhe 北风卷地白草折
'bei'zhuo'yan'tian'guang 背灼炎天光
'bi'neng'bi'bu'que'lou 必能裨补阙漏
'bi'neng'shi'hang'zhen'he'mu 必能使行阵和睦
'bi'qu'song 必取宋
'bi'wei'you'qie'ji'yi 必为有窃疾矣
'bi'xia'yi'yi'zi'mou 陛下亦宜自谋
'bi'xian'ku'qi'xin'zhi 必先苦其心志
'bi'you'de'tian'shi'zhe'yi 必有得天时者矣
'bi'zhi'chen 比至陈
'bian'que'chu 扁鹊出
'bian'que'fu'jian 扁鹊复见
'bian'que'jian'cai'huan'gong 扁鹊见蔡桓公
'bian'que'wang'huan'hou'er'hai'zou 扁鹊望桓侯而还走
'bian'que'yue 扁鹊曰
'bian'que'yue'ji'zai'cou'li 扁鹊曰疾在腠理
'bian'xin'ran'wang'shi 便欣然忘食
'bin'wei'shuang 鬓微霜
'bing'chen'zhong'qiu 丙辰中秋
'bing'ge'fei'bu'jian'li'ye 兵革非不坚利也
'bing'ge'ji'wei'xi 兵革既未息
'bing'jia'yi'zu 兵甲已足
'bing'pi'shi'jie 冰皮始解
'bing'sha'liang'wei 并杀两尉
'bing'shu'qian'tou'wan'mu'chun 病树前头万木春
'bo'lan'bu'jing 波澜不惊
'bo'mu'ming'ming 薄暮冥冥
'bo'se'zha'ming 波色乍明
'bo'tao'ru'nu 波涛如怒
'bo'wu'nong'yun'chou'yong'zhou 薄雾浓云愁永昼
'bo'zhe'zhi'qi'zhi'yi 卜者知其指意
'bu'bi'feng'ri 不蔽风日
'bu'bi'ruo'yu'zhi'shou'lu 不必若余之手录
'bu'dang'li 不当立
'bu'gan'chu'yi'yan'yi'fu 不敢出一言以复
'bu'gan'xiao'yu'yue 不敢销逾约
'bu'guo'yu'sha'chen 不过欲杀臣
'bu'ji'ji'yu'fu'gui 不汲汲于富贵
'bu'jin'chang'jiang'gun'gun'liu 不尽长江滚滚流
'bu'ke'jiu'ju 不可久居
'bu'ke'qu'zhi'ye 不可屈致也
'bu'ke'wei'qiang 不可谓强
'bu'ke'wei'ren 不可谓仁
'bu'ke'wei'zhi 不可谓智
'bu'ke'wei'zhi'lei 不可谓知类
'bu'ke'wei'zhong 不可谓忠
'bu'ke'zhi'qi'yuan 不可知其源
'bu'mu'rong'li 不慕荣利
'bu'neng'chang'de 不能常得
'bu'neng'jue'ye 不能绝也
'bu'qi'qi'yu'pin'jian 不戚戚于贫贱
'bu'qin'duo'nian'leng'si'tie 布衾多年冷似铁
'bu'qiu'shen'jie 不求甚解
'bu'qiu'wen'da'yu'zhu'hou 不求闻达于诸侯
'bu'suan'zi'yong'mei 卜算子咏梅
'bu'xiao'ze'zhi'chen'zhi'zui 不效则治臣之罪
'bu'yi'ji'bei 不以己悲
'bu'yi'pian'si 不宜偏私
'bu'yi'wang'zi'fei'bo 不宜妄自菲薄
'bu'yi'wu'xi 不以物喜
'bu'yi'yi'tong 不宜异同
'bu'yi'zhi'nu 布衣之怒
'bu'ying'you'hen 不应有恨
'bu'zhi'jiang'kong'shen 不治将恐深
'bu'zhi'jiang'yi'shen 不治将益深
'bu'zhi'kou'ti'zhi'feng'bu'ruo'ren'ye 不知口体之奉不若人也
'bu'zhi'qi'neng'qian'li'er'shi'ye 不知其能千里而食也
'bu'zhi'suo'yan 不知所言
'bu'zhi'tian'shang'gong'que 不知天上宫阙
'cai'ju'dong'li'xia 采菊东篱下
'cai'mei'bu'wai'jian 才美不外见
'cai'sang'jing'li'feng'ying 采桑径里逢迎
'cang'ran'bai'fa 苍然白发
'cang'ying'ji'yu'dian'shang 仓鹰击于殿上
'cao'cao'bi'yu'yuan'shao 曹操比于袁绍
'cao'liu 曹刘
'ce'zhi'bu'yi'qi'dao 策之不以其道
'cen'ci'pi'fu 参差披拂
'cen'shen 岑参
'ceng'bu'lin'qing'qu'liu 曾不吝情去留
'ceng'bu'shi'nong'sang 曾不事农桑
'ceng'yi'qi'suo'bu'neng 曾益其所不能
'cha'na'ya'yan 察纳雅言
'chan'ze'qian'zhuan'bu'qiong 蝉则千转不穷
'chang'duan'bai'ping'zhou 肠断白苹洲
'chang'feng'po'lang'hui'you'shi 长风破浪会有时
'chang'gui'er'xie'zhi'yue 长跪而谢之曰
'chang'hen'jiu'zhi 怅恨久之
'chang'qu'bai'li'wai'cong'xiang'zhi'xian'da'zhi'jing'kou'wen 尝趋百里外从乡之先达执经叩问
'chang'yan'luo'ri'gu'cheng'bi 长烟落日孤城闭
'chang'ye'zhan'shi'he'you'che 长夜沾湿何由彻
'chang'yu'ren'yong'geng 尝与人佣耕
