'an'mo 按摩
'an'shi'liao'fa 暗示疗法
'bei'dong'yun'dong 被动运动
'ben'ren'can'yu 本人参与
'bing'fa'zheng 并发症
'bing'shang'can'zhe 病伤残者
'bu'ke'ni 不可逆
'can'cun'gong'neng 残存功能
'can'ji'zhe 残疾者
'can'zhang'zhe 残障者
'cheng'xiang'yi'liao'wei'sheng'wang 城乡医疗卫生网
'chong'fan'she'hui 重返社会
'chong'jian 重建
'cu'jin'gong'neng'hui'fu 促进功能恢复
'cui'mian'liao'fa 催眠疗法
'da'nao'fa'yu'chi'huan 大脑发育迟缓
'dan'yin'ci'ji 单音刺激
'du'li'sheng'huo 独立生活
'du'zi'lian'xi 读字练习
'duo'ke'xing 多科性
'duo'xue'ke'xiang'pei'tao 多学科相配套
'er'ji'yu'fang 二级预防
'er'tong'nao'xing'tan'huan 儿童脑性瘫痪
'er'tong'ting'li'ji'yu'yan'zhang'ai 儿童听力及语言障碍
'fa'yin'qi'guan'lian'xi 发音器官练习
'fang'zhi'yong'jiu'xing'can'ji 防止永久性残疾
'fu'wu'nei'rong 服务内容
'fu'yuan 复原
'fu'zhu'qi 辅助器
'gai'shan'gong'neng 改善功能
'gan'guan'ji'zhi'li'can'ji 感官及智力残疾
'gao'ji'shen'jing'gong'neng'zhang'ai 高级神经功能障碍
'ge'ti'neng'li'zhang'ai 个体能力障碍
'ge'ti'shui'ping 个体水平
'gong'neng'xing'dian'ci'ji 功能性电刺激
'gong'neng'zhang'ai 功能障碍
'gong'neng'zhuang'bei'jiao'xing'qi 功能装备矫形器
'gou'yin'ji'gou'lian'xi 构音机构练习
'gou'yin'yi'chang 构音异常
'gu'gan'kang'fu'yi'liao'ji'gou 骨干康复医疗机构
'gu'guan'jie'ji'rou'ji'bing'he'shang'can 骨关节肌肉疾病和伤残
'guan'jie'yan 关节炎
'guan'jie'zhi'huan'shu'hou 关节置换术后
'guan'xin'bing 冠心病
'guan'zhuang'dong'mai'da'qiao'shu'hou 冠状动脉搭桥术后
'guang'fan'xing 广泛性
'guo'ji'can'sun'can'ji'can'zhang'fen'lei 国际残损残疾残障分类
'hou'yi'zheng 后遗症
'hui'fu 恢复
'hui'fu'huan'zhe'gong'neng 恢复患者功能
'hui'gui'she'hui 回归社会
'hui'hua'lian'xi 会话练习
'ji'ben'ren'wu 基本任务
'ji'ceng'kang'fu 基层康复
'ji'fa'zheng 继发症
'ji'ji'jiao'zhi 积极矫治
'ji'sui'sun'shang 脊髓损伤
'ji'zhu'ce'wan 脊柱侧弯
'jia'zhi 假肢
'jia'zhi'yu'jiao'xing'qi'shi 假肢与矫形器师
'jiao'yu'kang'fu 教育康复
'jie'shou'kang'fu'fu'wu 接受康复服务
'jie'tan 截瘫
'jie'zhi'duan'zhi'zai'zhi'shu'hou 截肢断肢再植术后
'jin'xing'xing'ji'wei'suo 进行性肌萎缩
'jing'pi'shen'jing'dian'ci'ji 经皮神经电刺激
'jing'shen'bing 精神病
'jing'shen'can'ji 精神残疾
'jing'shen'shen'jing'zheng 精神神经症
'jing'shen'zhi'chi'liao'fa 精神支持疗法
'jing'zhui'bing 颈椎病
'ju'bu'leng'liao 局部冷疗
'ju'ti'mu'biao 具体目标
'kang'fu 康复
'kang'fu'chuan'tong 康复传统
'kang'fu'dui'ce 康复对策
'kang'fu'fu'wu'fang'shi 康复服务方式
'kang'fu'fu'wu'ji'hua 康复服务计划
'kang'fu'gai'nian 康复概念
'kang'fu'gong'cheng 康复工程
'kang'fu'gong'zuo 康复工作
'kang'fu'hu'li 康复护理
'kang'fu'ji'gou 康复机构
'kang'fu'ji'gou'de'kang'fu 康复机构的康复
'kang'fu'jie'ru 康复介入
'kang'fu'ke 康复科
