'ai'er'bu'chou 哀而不愁
'ai'er'bu'lie 隘而不列
'ai'gong'shu'duan 爱共叔段
'ai'guan'gua 哀鳏寡
'ai'min'ru'chi'zi 爱民如赤子
'ai'qi'er'mao 爱其二毛
'ai'qi'mu 爱其母
'ai'qi'qiong'er'yun'zhuan'zhi 哀其穷而运转之
'ai'qi'zi 爱其子
'ai'shi'xi 爱是溪
'ai'shi'zhe 爱施者
'ai'shu'ren'zhi'shen 爱蜀人之深
'ai'si'mu'zhi'tu'you'qi'shi'ye 哀斯墓之徒有其石也
'ai'wu'sheng'zhi'xu'yu 哀吾生之须臾
'an'bu'yi'dang'che 安步以当车
'an'de'bu'yun'er'hu 安得不云尔乎
'an'ding'shan'gu'zhi'jian 安定山谷之间
'an'er'shi'jia 安尔室家
'an'gan'bu'jin'yu'jun'hou'zai 安敢不尽于君侯哉
'an'gui 安归
'an'ju'shu'shi 庵居蔬食
'an'ling'jun'bu'ting'gua'ren 安陵君不听寡人
'an'ling'jun'qi'xu'gua'ren 安陵君其许寡人
'an'ling'jun'shou'di'yu'xian'wang'er'shou 安陵君受地于先王而守
'an'ling'jun'yin'shi'tang'ju'shi'yu'qin 安陵君因使唐雎使于秦
'an'ling'jun'yue 安陵君曰
'an'neng'jian'wu'yi'zhi'zhu'zai 安能间无疑之主哉
'an'neng'kong'qi'qun'xie 安能空其群邪
'an'neng'qu'hao'jie'zhi'liu 安能屈豪杰之流
'an'neng'zi'jin 安能自矜
'an'qi'su 安其俗
'an'qi'tu'ji 按其图记
'an'qiu'qi'neng'qian'li'ye 安求其能千里也
'an'sheng'xie'qi'wen'yi'shu'qian'yan 安生携其文亦数千言
'an'shou'qi'jin 安受其烬
'an'suo'tao'qi'huan 安所逃其患
'an'tu'ji 按图籍
'an'wei'chu'qi'xi'nu 安危出其喜怒
'an'xi'can'cui 黯兮惨悴
'an'you'jin'zhong'xin'er'qu'que'xia'zhe 安有尽忠信而趋阙下者
'an'you'li'tan'zhi'jian 安有立谈之间
'an'you'shuo'ren'zhu'bu'neng'chu'qi'jin 安有说人主不能出其金
'an'yu'ting'he'wei'zhe'zai 庵与亭何为者哉
'an'zai 安在
'an'zai'qi'bu'ru'ye 安在其不辱也
'an'zai'wu'tu'bu'wang 安在无土不王
'an'zhi'qi'bu'xue'cang'hu'hao'yu'wu 安知其不穴藏狐貉与鼯
'an'zhi'ting'lan 岸芷汀兰
'an'zhu'wu'ren 按诛五人
'an'zuo'er'guang'di 安坐而广地
'an'zuo'er'shi 安坐而食
'an'zuo'yu'qi'pang 安坐于其旁
'ang'ang'hu'miao'tang'zhi'qi'ye 昂昂乎庙堂之器也
'ao'bai'shi 傲百氏
'ao'bi'wang 傲必亡
'ao'wu'ze'gu'rou'wei'xing'lu 傲物则骨肉为行路
'ao'xiang'hu'yao'ming'zhi'shang 翱翔乎杳冥之上
'ao'zhi'song'yan'hou'ye 媪之送燕后也
'ba'bing'qu 罢兵去
'ba'feng'ping 八风平
'ba'guo'zhi'yu'jiao'er'zhou'sheng'zhi'yi 霸国之余教而骤胜之遗
'ba'jian'er'qi 拔剑而起
'ba'jiu'lin'feng 把酒临风
'ba'lv'shan'chuan 跋履山川
'ba'nian 八年
'ba'qi'you 拔其尤
'ba'qian'zhi'hou 跋前疐后
'ba'qu'xiong'xie 拔去凶邪
'ba'san'chuan'zhi'di 拔三川之地
'ba'she'shan'lin'yi'shi'tian'zi 跋涉山林以事天子
'ba'yue 八月
'ba'ze'wu'suo'yu'gui 罢则无所于归
'ba'zhu'hou 霸诸侯
'bai'bi'bai'shuang 白璧百双
'bai'chen'lang'zhong 拜臣郎中
'bai'dai'zhi'guo'ke 百代之过客
'bai'di'ji'jun'tong'zhou 白狄及君同州
'bai'er'qi'bei 百尔器备
'bai'er'shi'cheng 百二十城
'bai'fa'luan'zheng 败法乱正
'bai'fei'ju'xing 百废具兴
'bai'fu'jue'shi 百夫决拾
'bai'gong'jian 百工谏
'bai'gong'yu'jun'men 拜公于军门
'bai'guan'ge'yi'wu'zhi 百官各以物至
'bai'guan'huang'luan 百官荒乱
'bai'guan'xiang'zhi 百官象之
'bai'guan'yu'shi'hu'jie'ju 百官于是乎戒惧
'bai'guan'zhi'shu'ge'zhan'qi'wu 百官之属各展其物
'bai'gui'xian'yu'zhong'shan 白圭显于中山
'bai'gui'zhan'wang'liu'cheng 白圭战亡六城
'bai'hong'guan'ri 白虹贯日
'bai'li'bu'yuan'wai'lang 拜礼部员外郎
'bai'li'fan'niu 百里饭牛
'bai'lu'heng'jiang 白露横江
'bai'lu'shi'qiu 百禄是遒
'bai'mei'guan'qi'xian'en'fu'gong 白每观其衔恩抚躬
'bai'mo'you'chou'hua 白谟猷筹画
'bai'mu'zhi'shou'bu'guo'bai'shi 百亩之收不过百石
'bai'nian'zhi'jian 百年之间
'bai'ren'jiao'xi'bao'dao'zhe 白刃交兮宝刀折
'bai'sheng 百乘
'bai'shi'er'xia 百世而下
'bai'shi'zhi'shu 百氏之书
'bai'shou'shu'li'yu'men'nei 拜受书礼于门内
'bai'shou'zhen'kong 百兽震恐
'bai'wan'zhi'zhong 百万之众
'bai'wan'zhi'zhong'zhe'yu'wai 百万之众折于外
'bai'wen'tian'xia'tan'shi'xiang'ju'er'yan 白闻天下谈士相聚而言
'bai'wu'er'wei'zhi'bei 百物而为之备
'bai'xing'ban'liu'zhi'bu'neng'de 百姓扳留之不能得
'bai'xing'bu'zu 百姓不足
'bai'xing'le'yong 百姓乐用
'bai'yi'ci'gan'ji 白以此感激
'bai'yi'wei'qi'dou'shao'yin 白以为其都少尹
'bai'yong'bi'fan 白涌碧翻
'bai'you'gan'qi'xin 百忧感其心
'bai'you'yu'nian'yi 百有余年矣
'bai'you'yu'zai 百有余载
'bai'yue'zhi'jun'fu'shou'xi'jing 百越之君俛首系颈
'bai'yun'shui'lv 白云谁侣
'ban'sheng'dong'er'bei'feng'qi 班声动而北风起
'ban'yuan'ya'bi 扳援崖壁
'bang'guo'jiao'chou'zhi 邦国交仇之
'bang'jia'zhi'ji 邦家之基
'bang'liang'ren'ku'zhi'ai 傍两人哭之哀
'bang'nei'dian'fu 邦内甸服
'bang'wai'hou'fu 邦外侯服
'bang'yi'ren'zuo'ku 傍一人坐哭
'bao'chan'shan'yi'wei'zhi'hua'shan 褒禅山亦谓之华山
'bao'en'yu'guo'zhu'er 报恩于国主耳
'bao'fen'er'zu 抱愤而卒
'bao'gua'xie'ruo'er'yi 暴寡胁弱而已
'bao'hu'tian'di'zhi'wai 包乎天地之外
'bao'hui'zong'shu'yue 报会宗书曰
'bao'ji'fu 暴肌肤
'bao'jiang'xiang'zhi'ju 抱将相之具
'bao'jiu'yi 包九夷
'bao'ke'yue 报客曰
'bao'li'zi'sui 暴戾恣睢
'bao'liu'yi'zhang'shu 报刘一丈书
'bao'liu'zhi'ri'duan'ye 报刘之日短也
'bao'lu'guo'zhi'xiu 报鲁国之羞
'bao'ming'yue'er'chang'zhong 抱明月而长终
'bao'qi'san'shi 褒其三世
'bao'qi'yu'jie'shi 暴鬐于碣石
'bao'quan'zhi'zong 保全智宗
'bao'ren'an'shu 报任安书
'bao'shu'bu'yi'wo'wei'bu'xiao 鲍叔不以我为不肖
'bao'shu'bu'yi'wo'wei'qie 鲍叔不以我为怯
'bao'shu'bu'yi'wo'wei'tan 鲍叔不以我为贪
'bao'shu'bu'yi'wo'wei'wu'chi 鲍叔不以我为无耻
'bao'shu'bu'yi'wo'wei'yu 鲍叔不以我为愚
'bao'shu'ji'jin'guan'zhong 鲍叔既进管仲
'bao'shu'sui'jin'guan'zhong 鲍叔遂进管仲
'bao'shu'zhi'qi'xian 鲍叔知其贤
'bao'shu'zhong'shan'yu'zhi 鲍叔终善遇之
'bao'sun'hui'zong'shu 报孙会宗书
'bao'tian'zi'zhi'chong'ming 保天子之宠命
'bao'xi 豹舄
'bao'xian'wang'zhi'chou 报先王之仇
'bao'you'wu'yue 保有吴越
'bao'yuan'shi 宝元时
'bao'zhi'lu'zhong'ye 褒之庐冢也
'bao'zhi'xiang'teng 枹止响腾
'bao'zhi'yu'wei'ran 保治于未然
'bao'zhou'shi 褒周室
'bao'zui'li'ye 报槜李也
'bei'bu'ji'shi 悲不几时
'bei'cheng'jie'yi 背城借一
'bei'chou'gan'fen 悲愁感愤
'bei'ding'zhong'yuan 北定中原
'bei'fa'er'wei'kuang 被发而为狂
'bei'fa'xing'yin'ze'pan 被发行吟泽畔
'bei'fu 悲夫
'bei'fu'wei'shui 北俯潍水
'bei'gong'zhi'nv'ying'er'zi'wu'yang'ye 北宫之女婴兒子无恙耶
'bei'gu'huang'he'zhi'ben'liu 北顾黄河之奔流
'bei'guo'zhuo'lu 北过涿鹿
'bei'hai'sui'she 北海虽赊
'bei'he'chang'yi 被鹤氅衣
'bei'he'han'mian 北合汉沔
'bei'hu'shan'zhi'guan'er'xing'sang'ma'zhi 背湖山之观而行桑麻之
'bei'jin'san'he 北尽三河
'bei'liang'qi'chuang 悲凉凄怆
'bei'ling'hu'wu'shan 北陵乎巫山
'bei'long'teng'xiao 北陇腾笑
'bei'meng'bai'yue 背盟败约
'bei'mian'zai'bai'qi'shou 北面再拜稽首
'bei'ming'zhi'zhu'er'xi'ying 悲鸣踯躅而吚嘤
'bei'mo'tong'yu'shang'xin 悲莫痛于伤心
'bei'pan 被磻
'bei'pan'lang'ji 杯盘狼藉
'bei'qi'meng'shi 背弃盟誓
'bei'qi'suo'ke'wei 备其所可畏
'bei'qi'zhi 悲其志
'bei'shan'yi'wen 北山移文
'bei'shou'shang'jun 北收上郡
'bei'shui'han 备水旱
'bei'tong'zhi'ci'ye 悲痛之辞也
'bei'wu'ren'yi'fu'diao 悲无人以赴吊
'bei'xiang'zheng'si'di'zhe 北向争死敌者
'bei'xing'zhi'tu'bi'jian'er'li 被刑之徒比肩而立
'bei'yi 惫矣
'bei'yin'qing'yue 北音清越
'bei'you'hu'hao'dai'ma'zhi'yong 北有胡貉代马之用
'bei'yu'shi 悖于事
'bei'yu'zong'miao'zhi'sui 被于宗庙之祟
'bei'yuan'er'quan'shen'zhe 备员而全身者
'bei'yuan'jiang'du 备员讲读
'bei'zai 悲哉
'bei'zhi'kong'yan'er'bu'gan'ci 被之空言而不敢辞
'bei'zhi'tai'yuan 北至太原
'bei'zhi'yu'wu'di 北至于无棣
'ben'chu 奔出
'ben'jian'er'cao'mu'jie'jie 本见而草木节解
'ben'qing'yi'zheng'bao'bian 本情以正褒贬
'ben'shi'shu'li'yue'zhi'ji 本诗书礼乐之际
'ben'tu'huan'da 本图宦达
'ben'yu'shi'qi'yong 贲育失其勇
'ben'yu'zhi'yong'er'si 奔育之勇而死
'ben'zou'bu'xia 奔走不暇
'ben'zou'er'gui'zhi 奔走而归之
'ben'zou'hai'han 奔走骇汗
'ben'zou'yu'xing'shi'zhi'tu 奔走于形势之途
'bi'an'de'bu'zhe'er'ru'yu'qin'zai 彼安得不折而入于秦哉
'bi'bao'chou 必报仇
'bi'bao'de 必报德
'bi'ben'yu'ren'qing 必本于人情
'bi'bing'lao'zhong'bu'zu'yi'cheng'ming 敝兵劳众不足以成名
'bi'bu'bian'yu'yu 必不便于虞
'bi'bu'feng'qi'shi'er'wei'zhi'ci 必不逢其失而为之辞
'bi'bu'gan'shou'wu'bi 必不敢受吾币
'bi'bu'jie'wu'dao 彼不借吾道
'bi'bu'neng'zi'li'yi'zhi'bi'chuan'yu 必不能自力以致必传于
'bi'bu'shi'shou'zhi'ye 必不使受之也
'bi'bu'xing'yi 必不行矣
'bi'bu'zhi'wo'ye 彼不知我也
'bi'can'ji'er'hou'cheng'zhe'ye 必蚕绩而后成者也
'bi'can'zao'hua 笔参造化
'bi'cang'zhe'tian 彼苍者天
'bi'chao'wei'chou'di 彼朝为仇敌
'bi'chu'yu'ci 必出于此
'bi'chu'yu'qin'ran'hou'ke 必出于秦然后可
'bi'ci'ren'ye 必此人也
'bi'cong'er'cheng'zhi'xie 必从而成之邪
'bi'dai'fei'chang'zhi'ren 必待非常之人
'bi'de'ruan'jiao'bing 比得软脚病
'bi'du'shi'yi'guan'zhong 彼独恃一管仲
'bi'er'sheng'yi'xian'zhe 彼二圣一贤者
'bi'er'you'xiang'xu'jian'gu'ren'zhi'ji 俾尔由庠序践古人之迹
'bi'er'zi'zhi'xia'ju 彼二子之遐举
'bi'gan'yi'si 比干已死
'bi'gao'bu'gu 必告不穀
'bi'gu'luan'ren'guo'zhe 彼固乱人国者
'bi'gu'qi'gen'ben 必固其根本
'bi'gu'you'suo'wu'er'dong'ye 彼固有所侮而动也
'bi'guan'qi'yi 彼观其意
'bi'guan'zhong'zhe 彼管仲者
'bi'hao'you'zhe'shang'bu'neng'shi'yi 比好游者尚不能十一
'bi'ji'ji'yu'ming'zhe 彼汲汲于名者
'bi'ji'qi'de'yi 必积其德义
'bi'ji'yu'wo 必集于我
'bi'ji'ze'da 閟极则达
'bi'jia'chong'xi 必加宠锡
'bi'jiang'bu'yu'wu'xiao 彼将不与吾校
'bi'jiang'duo'qi'suo'wei'bu'xiao 彼将夺其所谓不肖
'bi'jiang'le'qu'gu'er'jiu'pi'ye 彼将乐去固而就圮也
'bi'jiang'qiang'yu'wu'jiao 彼将强与吾角
'bi'jiang'she'qi'shou'yi 彼将舍其手艺
'bi'jiang'you'zhu 必将有主
'bi'jie'wo'ying 彼竭我盈
'bi'jie'wu'zhong'ren'zhi'qiu'er'you'suo 彼皆无众人之求而有所
'bi'jie'yu'qi'ce'zhe 彼介于其侧者
'bi'jin'sha'nai'zhi 必尽杀乃止
'bi'jun'qi'quan'yuan 必浚其泉源
'bi'li'hu'dao'yi 必离乎道矣
'bi'li'meng'chi 薜荔蒙耻
'bi'lin'chun'jie'qi 彼临春结绮
'bi'ling'zai'ru 碧岭再辱
'bi'lou'mo'shi'er'wen'cai'bu'biao'yu 鄙陋没世而文采不表于
'bi'lu'lan'lv'yi'chu'cao'mang 筚路蓝缕以处草莽
'bi'men'xia'zhi'che'ke 比门下之车客
'bi'men'xia'zhi'ke 比门下之客
'bi'meng'shou'e'zhi'ming 必蒙首恶之名
'bi'neng'bi'bu'que'lou 必能裨补阙漏
'bi'neng'fa'sheng'xing'zhi'gao'ming 必能发圣性之高明
'bi'neng'shi 彼能是
'bi'neng'shi'hang'zhen'he'mu 必能使行阵和穆
'bi'neng'xin'yong'qi'min'yi 必能信用其民矣
'bi'qi'chu'zhi'suo'yi'bu'yong'zhe 彼其初之所以不用者
'bi'qi'dai'fu 必祁大夫
'bi'qi'er'jun'chen 必弃而君臣
'bi'qi'lao'xin'zhe'yu 彼其劳心者欤
'bi'qi'neng'you'suo'ren'ye 彼其能有所忍也
'bi'qi'pi'fu'lue'you'tian'xia'zhi'ban 彼其匹夫略有天下之半
'bi'qi'ren'zhi'yu'ye 必其人之与也
'bi'qi'xiao'guo 必弃小国
'bi'qi'yi'fu'gui'yi'yi'qi'xin'zai 彼岂以富贵移易其心哉
'bi'qi'yun'luo'xing 彼齐云落星
'bi'qi'zhi'zhe'yu 彼其智者欤
'bi'qin 彼秦
'bi'qin'guo'zhi'suo'sheng'ran'hou'ke 必秦国之所生然后可
'bi'qin'zhe'jiang'he'wei'zai 彼秦者将何为哉
'bi'quan'liang'li 比权量力
'bi'ran'er'wu'yi'zhe 必然而无疑者
'bi'ren'ye 彼人也
'bi'ren'you'yan'yue 鄙人有言曰
'bi'ren'zhi'zi'ye 嬖人之子也
'bi'ru'er'cheng'fu'yu 璧入而城弗予
'bi'ru'shun'feng'er'hu 比如顺风而呼
'bi'ruo'ci 必若此
'bi'ruo'jie'zhi'yi'gao'yan 必若接之以高宴
'bi'sha'zhi 必杀之
'bi'shen'quan 必身劝
'bi'shen'quan'er'zhu'an 俾身全而主安
'bi'shi'nai'cheng 必世乃成
'bi'shou'yi'xian'qi'xiong'yi 匕首已陷其胸矣
'bi'si'shi'jian 必死是间
'bi'sui'neng'shi 彼虽能是
'bi'sui'shan'shi 彼虽善是
'bi'tian'zi'gu'ran 彼天子固然
'bi'tong'zi'zhi'shi 彼童子之师
'bi'wei'gong'he'ren'ye 彼威公何人也
'bi'wei'gu'ji 必为锢疾
'bi'wei'hu'gu 必违乎古
'bi'wei'tian'xia'zhe'ben'yu'ren 彼为天下者本于人
'bi'wen'qi'ren'zhi'xing'ming'yu'qi'lin 必问其人之姓名与其邻
'bi'wo'hui'gong'yong'neng'feng'si'yu'jin 俾我惠公用能奉祀于晋
'bi'wu'fei'xian'ren 必无废先人
'bi'wu'jie'ran 比屋皆然
'bi'wu'jun'zhe 彼吾君者
'bi'wu'shi'fan 必勿使反
'bi'wu'xiang'lin'zhi'si'ze'yi'hou'yi 比吾乡邻之死则已后矣
'bi'xi'ze'yan'yue 避席择言曰
'bi'xi'zhi'yi'lun 必喜贽议论
'bi'xia'chu'deng'zhi'zun 陛下初登至尊
'bi'xia'shui'dan'er'jiu'bu'wei'ci 陛下谁惮而久不为此
'bi'xia'sui'shen'ju'jiu'chong 陛下虽深居九重
'bi'xia'sui'xian 陛下虽贤
'bi'xia'yi'yi'zi'mou 陛下亦宜自谋
'bi'xia'zhi'chen'sui'you'han'ru'feng'jing 陛下之臣虽有悍如冯敬
'bi'xia'zhi'yu'zhu'gong 陛下之与诸公
'bi'xian'cuan'shi'zhi'zhu'si'zui'zhi'ming 必陷篡弑之诛死罪之名
'bi'xiang'yi'zhi'shi 必相疑之势
'bi'xiang'zhi'cai'ye 彼相之才也
'bi'xie'qi'gao'da'yi'lin'wo 彼挟其高大以临我
'bi'xu'wu'cheng'er'bu'wu'zu'ye 必许吾成而不吾足也
'bi'yao'qi'jing 必摇其精
'bi'ye'shi'wu'song'hu 必也使无讼乎
'bi'yi 敝邑
'bi'yi'ben'fang'ru'qi'shi 笔意奔放如其诗
'bi'yi'chang'an'jun'wei'zhi 必以长安君为质
'bi'yi'fen'ren 必以分人
