'a'kun 阿鲲
'a'man'da 阿曼达
'a'mi 阿米
'a'nu'bi'si 阿努比斯
'a'tu 阿兔
'ai'ze'hong'shi 艾泽红石
'an'du'ma'li 安杜马里
'an'jin'tan'ce'qi 暗金探测器
'an'mu 暗牧
'an'quan'mao 安全帽
'an'ye'shi'zhe 暗夜使者
'an'ying'da'ji 暗影打击
'ba'dao 拔刀
'ba'mu 八目
'bao'ji'lv 暴击率
'bao'ji'shang'hai 暴击伤害
'bao'ji'zhi 暴击值
'bao'ku'shi 宝库石
'bao'shi'chang'xue 宝石长靴
'bao'xiang 宝箱
'bao'xiang'bi'bu'gei'bao 宝箱币补给包
'bei'li'ya'er 贝利亚尔
'bei'ta'he'yan'jiang 贝塔喝岩浆
'bi'an'hong'lian 彼岸红莲
'bi'fu'jian 毕福剑
'bi'hu'dou'peng 庇护斗篷
'bian'fu'wang 蝙蝠王
'bian'zhi 编织
'biao'qing'bi 表情币
'bing'dong 冰冻
'bing'dong'zhuang'jia 冰冻装甲
'bing'fa 冰法
'bing'feng'cheng'zhai 冰风城寨
'bing'gui'fa 冰鬼法
'bing'han'zhi'yao 冰寒之钥
'bing'hen'bao'po 冰痕爆破
'bing'huan 冰缓
'bing'ji 冰姬
'bing'leng'shi'jie 冰冷视界
'bing'lie'jian 冰裂箭
'bing'ling'yu'qi 冰灵雨泣
'bing'long'juan 冰龙卷
'bing'se'feng'mang 冰色锋芒
'bing'shuang'you'long 冰霜幼龙
'bing'xi 冰息
'bing'ya 冰牙
'bing'yu'han'mang 冰域寒芒
'bing'zhan 冰战
'bing'zhi'du'men 冰之杜门
'bing'zhong'yan 冰终焉
'bu'gei'bao 补给包
'cai'liao'bu'gei'bao 材料补给包
'can'po'de'jie'zhi 残破的戒指
'cang'bao'di'gong 藏宝地宫
'cao'ti'jian 草薙剑
'cao'tu 草图
'chan'bu'rao'zhi 缠布绕指
'chan'lei'zhi'huan 缠雷指环
'chang'mao 长矛
'chao'xi'zhi'ling 潮汐之灵
'chao'yue 超越
'chen'tian'yun'ji 沉天陨击
'cheng'jie'zhi'chui 惩戒之锤
'chi'er'e'mo 赤耳恶魔
'chi'yan'feng'mo 炽炎封魔
'chong'neng 充能
'chong'zhuang'nian'ya 重装碾压
'chuan'shuo 传说
'chuan'tou 穿透
'chui'zhan 锤战
'chun'bai'zhi'chen 纯白之尘
'ci'bao'qiang 磁爆枪
'ci'wei 刺猬
'ci'yuan'ji'jia 次元机甲
'cong'lin'wai'tao 丛林外套
'cong'lin'zhi'hun 丛林之魂
'cong'lin'zhi'nu 丛林之怒
'cuan'tian'long 窜天龙
'cui'lv'yu'zan 翠绿玉簪
'da'kong'shi 打孔石
'da'wan'tang'yuan 大碗汤圆
'da'yan 大眼
'da'yan'shi'lai'mu 大眼史莱姆
'da'yang'you'xia 大洋游侠
'dan'dao 蛋刀
'dao'ren'luan'wu 刀刃乱舞
'deng'long 灯笼
'di'di'huo'shan 地底火山
'di'la'xiao 迪拉肖
'di'li'hu'tui 地力护腿
'di'yin'qian'yu 低吟浅语
'di'yu'huo'kao'ji 地狱火烤鸡
'di'zhi'zhu'fu 地之祝福
'dian'chi 电池
'dian'ci'zhuang'jia 电磁装甲
'dian'fa 电法
'dian'ji'qiang 电击枪
'dian'ju 电锯
'dian'ran 点燃
'dian'yu'zhang 典狱长
'diao'qiu 掉球
'dong'bing 冬兵
'dong'cha'zhi'yan 洞察之眼
'du'gou 赌狗
'du'men 杜门
'du'ping'guo 毒苹果
'du'xing'di'lei 毒性地雷
'du'yan'he'tun 独眼河豚
'du'ye'jian'mie'zhe 毒液歼灭者
'du'zhi'zhu 毒蜘蛛
'e'lang'huo'ling 饿狼火灵
'e'lang'wai'yi 饿狼外衣
'e'mo'pi'feng 恶魔披风
'e'yu 鳄鱼
'e'yu'suo'bei'ke 饿鱼索贝克
'er'ge 二蛤
'fa'mu'gong 伐木工
'fa'shi 法师
'fa'shi'man'tou 法师馒头
'fei'cui'lv'shi 翡翠绿石
'fei'hong 绯红
'fei'yi 飞翼
'fen'shao'mian'ju 焚烧面具
'fen'zuan 粉钻
'feng'hou'zhen 蜂后针
'feng'teng'luan'wu 疯藤乱舞
'feng'teng'you'xia 疯藤游侠
'fu'chou'yi'zhi'mei'du'sha 复仇意志美杜莎
'fu'er'gan 伏尔甘
'fu'huo'bi 复活币
'fu'neng 赋能
'fu'shou'xue'fu 斧手雪福
'fu'su'zhi'lu 复苏之颅
