'a'bu'ha 阿布哈
'a'da'hu'mu 阿达胡姆
'a'er'di'ni 阿尔蒂尼
'a'er'ku'ci 阿尔库茨
'a'er'ma'zhi 阿尔玛至
'a'ge'er 阿戈尔
'a'gen'ta 阿根塔
'a'gua'la'rui'er 阿瓜拉瑞尔
'a'ji'ma'mu'er 阿吉玛穆尔
'a'ji'ya 阿吉亚
'a'ke'lan 阿克兰
'a'ke'wa 阿克瓦
'a'ke'zi 阿克兹
'a'la'ke'er 阿拉克尔
'a'la'ni'er 阿拉尼尔
'a'li'ka'la 阿里卡拉
'a'lie'si 阿列斯
'a'luo'se'ya'si 阿罗瑟亚斯
'a'man'fa'er 阿曼法尔
'a'ni'da'zha 阿妮达扎
'a'se'zha'yi 阿瑟扎伊
'a'sha'luo'la 阿沙罗拉
'a'tu'lai'ma 阿图莱玛
'a'wa'cha 阿瓦碴
'a'xi'na'da 阿西纳达
'a'zi'jia'bi 阿兹贾比
'ai'ba'jia'wa 埃巴加瓦
'ai'bai 艾拜
'ai'bi'di 爱毕迪
'ai'da'er 埃达尔
'ai'da'la'bai'er 挨达拉拜尔
'ai'er'la 埃尔拉
'ai'er'mi'ya 艾尔米亚
'ai'er'mo'la 艾尔莫拉
'ai'ge'ha 艾格哈
'ai'ji'lun 埃吉伦
'ai'jia'ao 埃加奥
'ai'jiao'ji'ji 矮脚鸡级
'ai'jie'sen 埃杰森
'ai'ke'la 爱科拉
'ai'ke'la'de 埃克拉德
'ai'ke'luo 埃柯罗
'ai'ke'nuo'yan 艾克诺岩
'ai'ke'nuo'yi'le 埃克诺伊勒
'ai'ke'pu'wen'mu 埃克葡温姆
'ai'ku'la 埃库拉
'ai'la 埃拉
'ai'la'ken 艾拉肯
'ai'le'jin 埃勒金
'ai'ma 艾玛
'ai'ma'da'ling'shi'guan 艾玛达领事馆
'ai'ma'sai'ke 埃马赛克
'ai'mi 艾米
'ai'pu'te'te 爱普忒特
'ai'rui'na 艾瑞纳
'ai'sa'bo'na 埃萨伯纳
'ai'sai'ya'de 艾赛亚德
'ai'se'sa'mei 艾瑟萨美
'ai'sha'ha 艾沙哈
'ai'si'ge'ha'ti'er 埃斯格哈提尔
'ai'si'le'mu 埃斯勒姆
'ai'si'ta'bi'he 埃斯塔比赫
'ai'te'yi'er 埃特依尔
'ai'wa'sa'la'si 埃瓦萨拉斯
'ai'wei'bu 埃维布
'ai'wei'xi'er 埃维希尔
'ai'xin 艾欣
'ai'ze'la'ke'shen 埃泽拉克什
'ai'zhuo'lan'de 埃卓蓝德
'an'bei'ke 安贝克
'an'bu'lie 安布列
'an'ji'na'er'te 安吉纳尔特
'an'jie'ding 安杰丁
'an'jie'er'si 安杰尔斯
'an'ka'de 按卡德
'an'kao'er 安考尔
'an'na'le'si 安纳勒斯
'an'na'luo 安那罗
'an'na'na 安纳娜
'an'ni 安妮
'an'quan'huo'gui 安全货柜
'an'si'la 安斯拉
'an'ta'le'en 安塔勒恩
'an'ti'ya'le'en 安提雅勒恩
'ang'su 昂苏
'ao'ban'lun 奥班伦
'ao'bei'er'shi 奥贝尔石
'ao'duo'dan 奥铎丹
'ao'er'shen'de 奥尔什德
'ao'fa'rui 奥法瑞
'ao'gui 奥贵
'ao'kun'da 奥昆达
'ao'la'long 奥拉隆
'ao'la'ri 奥拉日
'ao'luo'hu'en 奥罗胡恩
'ao'ma'hai'lun 奥马海仑
'ao'miu'er 奥缪尔
'ao'ni'er'wa'na 奥尼尔瓦纳
'ao'ni'ya 奥尼亚
'ao'sa 奥萨
'ao'si'ta 奥斯塔
'ao'ta'fa 奥塔法
'ao'ta'li'si 奥塔里斯
'ao'ta'wa'sa 奥塔瓦萨
'ao'ta'xi'la 奥塔希拉
'ao'tu'xi 奥图西
'ao'wei'er'jin 奥威尔金
'ba'er 巴尔
'ba'er'shi'er 巴尔士尔
'ba'jin'ge'te 巴津格特
'ba'le 巴勒
'ba'si'ji'lin 巴斯基林
'ba'wei'ge'la'de 巴维格拉德
'ba'wei'ya'xi 巴维亚希
'ba'yu'ka 巴宇卡
'bai'meng'ni'er 拜盟尼尔
'bai'zao'fa'sheng'qi 白噪发生器
'bao'jin'wu'he'jin 包金钨合金
'bao'lei'ji 堡垒级
'bei'da'lie'ya 贝达列亚
'bei'er'ta 贝尔塔
'bei'ji'er'duo'de 被吉尔多德
'bei'sa'te'liu'deng 贝萨特琉登
'ben'nu'la'de 本努拉德
'bian'pin'cai'kuang'lei'she 变频采矿镭射
'biao'zhun'huo'gui 标准货柜
'biao'zhun'jing'ti 标准晶体
'bo'di'en 波迪恩
'bo'di'xie 波迪谢
'bo'jin'ji'hua 铂金技化
'bo'ta'ni 波塔尼
'bo'ye'lun 波耶伦
'bo'yi'lai'er 波伊莱尔
'bu'fu'ti'ya 布夫提亚
'bu'la'mei'si'dun 布拉梅斯顿
'bu'zhi 钚质
'cai'kuang'qi 采矿器
'cang'lu'ji 苍鹭级
'cha'mu'mei 查姆梅
'cha'sun'ji 茶隼级
'chang'gui'huo'pao 常规火炮
'chang'zheng'xing'yu 长征星域
'chang'zhi'long'lu 长肢龙鹿
'chao'fu'hua 超氟化
'chao'ou'lian'hui'xian'wei 超偶联会纤维
'chao'shi'kuang 超噬矿
'chao'xin'xing'nuo'ke'shi 超新星诺克石
'chao'zai'zhu'pen'xi'tong 超载注喷系统
'che'lie'en 彻列恩
'chi'da'fu 赤达夫
'chuan'suo'ji 穿梭机
'ci'gu'wa 茨古瓦
'ci'gui'pao 磁轨炮
'ci'hua'fen 瓷化粉
'ci'ke'ji 刺客级
'ci'li'ji 磁力计
'da'bu'li'de 大布里德
'da'huang'ye'xing'yu 大荒野星域
'da'ma'di'er 达马迪尔
'da'sen 达森
'dai'ma'po'yi'ji 代码破译机
'dai'rui'er 戴瑞尔
'dai'sa 戴萨
'dan'bai'shi'wu 蛋白食物
'dan'dao'kong'zhi'xi'tong 弹道控制系统
'dan'ti'shi 单体式
'dan'tu'mi 丹图米
'dao'dan'fa'she'qi 导弹发射器
'dao'dan'fa'she'zhuang'zhi 导弹发射装置
'de'kang 德康
'de'la'dan 德拉丹
'de'li'ke 德里克
'de'li'ke'xing'yu 德里克星域
'di'mei'er 蒂梅尔
'di'sai'er 狄塞尔
'dian'bo'jing'ti 电波晶体
'dian'ci'mai'chong'tan 电磁脉冲弹
'dian'rong'chong'dian'she'bei 电容充电设备
'dian'rong'dian'chi 电容电池
'dian'rong'zeng'xiao'qi 电容增效器
'ding'xiang'deng'li'zi'tan 定向等离子弹
'du'an'ni'si 杜安尼斯
'du'shen'ji 渡神级
'du'xie'ji 毒蝎级
'dui'wu'zhi'yu 对舞之域
'duo'luo'pu 多罗普
'duo'mei 多美
'duo'pu'shi'rao'duan'qi 多普式扰断器
'duo'wo 铎沃
'duo'ze 多泽
'e'er'dai'si 厄尔戴斯
'e'er'gun'ke 厄尔衮克
'e'er'mei 厄尔梅
'e'er'pa'na 厄尔帕纳
'e'er'te'le 厄尔特勒
'e'fo'la'de 厄佛拉德
'e'la'da 厄拉达
'e'mu'la'ya 厄姆拉亚
'e'sa 俄萨
'e'sha'la 厄沙拉
'e'shen'wei'er 厄什威尔
'en'ka 恩咖
'er'peng'yin 二硼银
'fa'er'lun'te 法尔伦特
'fa'mu'zhe'ji 伐木者级
'fa'rui'ya 法瑞亚
'fa'si'pei'la 法斯佩拉
'fa'ta'ni'leng 法塔尼冷
'fa'wei'si 法维斯
'fa'xie'er 法谢尔
'fan'ge'hua 钒镉化
'fan'jing'shi 凡晶石
'fan'yin'shen'mai'chong 反隐身脉冲
'fan'yue'qian'rao'pin'qi 反跃迁扰频器
'fei'er'li'la 费尔利拉
'fei'er'nai're'tie'ge'he'jin 菲尔耐热铁镉合金
'fei'li'zi 镄离子
'fei'li'zi'hua'wu 镄离子化物
'fei'li'zi'hua'wu'leng'ning 镄离子化物冷凝
'fei'lun 费伦
