'an'ji'che'gang 按及车缸
'an'qi'shou'zu'shang 按其手足上
'an'shi'liu'bu'ke'duo'shi 安石榴不可多食
'an'zhi'bu'tong'wei'xu 按之不痛为虚
'an'zhi'bu'yi 按之不移
'an'zhi'fan'se 按之反涩
'an'zhi'ji'tong 按之即痛
'an'zhi'jin'ru'xian 按之紧如弦
'an'zhi'luan'jia'zhuan'wan 按之乱加转丸
'an'zhi'mei'zhi 按之没指
'an'zhi'ru 按之濡
'an'zhi'ru'fu'bei 按之如覆杯
'an'zhi'ru'suo'bu'lai 按之如索不来
'an'zhi'ruo'ru'cong'ye 按之弱如葱叶
'an'zhi'xin'xia'jian'zhe 按之心下坚者
'an'zhi'xin'xia'man'tong'zhe 按之心下满痛者
'an'zhi'xin'xia'ru'zhe 按之心下濡者
'an'zhi'yi'zao'ji'zhe 按之益躁疾者
'an'zhi'ze 按之则
'an'zhong'yi'qi 安中益气
'ba'wei'shen'qi'wan'zhu'zhi 八味肾气丸主之
'ba'yue'jiu'yue'wu'shi'jiang 八月九月勿食姜
'bai'bing'jie'ran 百病皆然
'bai'he'bing 百合病
'bai'he'bing'jian'yu'yin'zhe 百合病见于阴者
'bai'he'bing'yi'yue'bu'jie 百合病一月不解
'bai'he'di'huang'tang'fang 百合地黄汤方
'bai'he'di'huang'tang'zhu'zhi 百合地黄汤主之
'bai'he'hu'huo'yin'yang'du'bing'zheng'zhi'di'san 百合狐惑阴阳毒病证治第三
'bai'he'hua'shi'san'fang 百合滑石散方
'bai'he'hua'shi'san'zhu'zhi 百合滑石散主之
'bai'he'ji'zi'tang'fang 百合鸡子汤方
'bai'he'xi'fang 百合洗方
'bai'he'xi'fang'zhu'zhi 百合洗方主之
'bai'he'zhi'mu'tang'fang 百合知母汤方
'bai'he'zhi'mu'tang'zhu'zhi 百合知母汤主之
'bai'hu'jia'gui'zhi'tang'fang 白虎加桂枝汤方
'bai'hu'jia'gui'zhi'tang'zhu'zhi 白虎加桂枝汤主之
'bai'hu'jia'ren'shen'tang'fang 白虎加人参汤方
'bai'hu'jia'ren'shen'tang'zhu'zhi 白虎加人参汤主之
'bai'jie'teng'tong 百节疼痛
'bai'ju'bu'ke'gong'lao'tong'shi 白苣不可共酪同食
'bai'ma'hei'tou'zhe 白马黑头者
'bai'ma'qing'ti'zhe 白马青蹄者
'bai'mai'yi'zong 百脉一宗
'bai'quan'zi'si 白犬自死
'bai'shu'mi'bu'ke'tong'yi'mi'shi 白黍米不可同饴蜜食
'bai'tou'weng'jia'gan'cao'e'jiao'tang'fang 白头翁加甘草阿胶汤方
'bai'tou'weng'jia'gan'cao'e'jiao'tang'zhu'zhi 白头翁加甘草阿胶汤主之
'bai'tou'weng'tang'fang 白头翁汤方
'bai'tou'weng'tang'zhu'zhi 白头翁汤主之
'bai'yang'hei'tou 白羊黑头
'bai'ye'tang'fang 柏叶汤方
'bai'ye'tang'zhu'zhi 柏叶汤主之
'bai'zhu'fu'zi'tang'fang 白术附子汤方
'bai'zhu'san'fang 白术散方
'bai'zhu'san'zhu'zhi 白术散主之
'ban'xia'gan'jiang'ge'deng'fen 半夏干姜各等分
'ban'xia'gan'jiang'san'fang 半夏干姜散方
'ban'xia'gan'jiang'san'zhu'zhi 半夏干姜散主之
'ban'xia'hou'po'tang'fang'xin'xia'jian 半夏厚朴汤方心下坚
'ban'xia'hou'po'tang'zhu'zhi 半夏厚朴汤主之
'ban'xia'ma'huang'deng'fen 半夏麻黄等分
'ban'xia'ma'huang'wan'fang 半夏麻黄丸方
'ban'xia'ma'huang'wan'zhu'zhi 半夏麻黄丸主之
'ban'xia'xie'xin'tang'fang 半夏泻心汤方
'ban'xia'xie'xin'tang'zhu'zhi 半夏泻心汤主之
'ban'zhu'xiao 半煮消
'bao'fu'zhang'da'zhe 暴腹胀大者
'bao'yin'ru 饱饮乳
'bao'ze'fa'fan'tou'xuan 饱则发烦头眩
'bei'dao'fu'suo'shang 被刀斧所伤
'bei'fan'zhang'zhe 背反张者
'bei'jia'xiong'qiong 倍加芎穷
'bei'qiang 背强
'bei'shang'duo'chen 悲伤多嗔
'bei'shou'ji'fu'di'zhe 北首及伏地者
'bei'tong'che'xin 背痛彻心
'bei'tong'yao'teng 背痛腰疼
'ben'cao'suo'neng'guan 本草所能关
'ben'tun'bing 奔豚病
'ben'tun'qi'bing'mai'zheng'zhi'di'ba 奔豚气病脉证治第八
'ben'tun'qi'shang'chong'xiong 奔豚气上冲胸
'ben'tun'tang'fang 奔豚汤方
'ben'tun'tang'zhu'zhi 奔豚汤主之
'ben'zi'you'han 本自有寒
'ben'zi'you're 本自有热
'bi'bao'chuan'man 必暴喘满
