'a'ha 阿哈
'a'ji'wei'li 阿基维利
'a'lan 阿兰
'ai'si'da 艾丝妲
'ao'bo'luo'si 奥博洛斯
'bai'lu 白露
'bei'dao'ling'ren 悲悼伶人
'bo'shi'xue'hui 博识学会
'bo'shi'zun 博识尊
'bu'luo'ni'ya 布洛妮娅
'bu'xiu 不朽
'cang'gang 苍刚
'chong'qun 虫群
'chun'mei 纯美
'chun'mei'qi'shi'tuan 纯美骑士团
'ci'yu'dian'ya 慈玉典押
'cun'hu 存护
'da'jie'jiang'jun 大捷将军
'dan'ding'si 丹鼎司
'dan'feng 丹枫
'dan'heng 丹恒
'dan'zhu 丹朱
'fan'wu'zhi'jun'tuan 反物质军团
'fan'yu 繁育
'fei'xiao 飞霄
'fen'hua'gong 焚化工
'feng'rao 丰饶
'feng'rao'nie'wu 丰饶孽物
'fu'li 浮黎
'fu'xuan 符玄
'gui'nai'fen 桂乃芬
'han'ya 寒鸦
'hei'ta 黑塔
'hei'tian'e 黑天鹅
'hu'ke 虎克
'hu'lei 呼雷
'hu'po 琥珀
'hu'po'wang 琥珀王
'hua'huo 花火
'huai'yan 怀炎
'huan'yu 欢愉
'huan'yu'huang'zai 寰宇蝗灾
'huang'quan 黄泉
'hui'mie 毁灭
'huo'huo 藿藿
'ji'zi 姬子
'jia'la'he 加拉赫
'jia'mian'yu'zhe 假面愚者
'jia'zu 家族
'jiao'qiu 椒丘
'jie'pa'de 杰帕德
'jing'liu 镜流
'jing'yuan 景元
'jun'heng 均衡
'ka'fu'ka 卡芙卡
'ka'ka'wa'xia 卡卡瓦夏
'kai'tuo'zhe 开拓者
'ke'la'la 克拉拉
'ke'li'po 克里珀
'lan'jing'ren 揽镜人
'liang'zi 量子
'ling'ke 玲可
'ling'sha 灵砂
'ling'shi 令使
'liu'guang'yi'ting 流光忆庭
'liu'ying 流萤
'long'jing 龙晶
'lu'ka 卢卡
'luo'cha 罗刹
'luo'fu'xian'zhou 罗浮仙舟
'luo'si'gu'mu 螺丝咕姆
'ma'nao 玛瑙
'mi'sha 米沙
'mi'si 迷思
'mi'yu'ren 谜语人
'min'mie'bang 泯灭帮
'mo'ze 貊泽
'na'nu'ke 纳努克
'na'ta'sha 娜塔莎
'ou'bo 欧泊
'pa'mu 帕姆
'pei'la 佩拉
'pi'nuo'kang'ni 匹诺康尼
'qi'bing 奇兵
'qin'shi'sui'dong 侵蚀隧洞
'qing'que 青雀
'ren'you'wu'ming'dai'jia'you'san 人有五名代价有三
'ruan'mei 阮梅
'sa'mu 萨姆
'san'yue'qi 三月七
'sang'bo 桑博
'sha'jin 砂金
'shi'xin'shi'ren 石心十人
'shu'ju 舒俱
'su'shang 素裳
'ta'yi'zi'yu'luo'si 塔伊兹育罗斯
'tai'yi 太一
'tan'tao 贪饕
'tian'cai'ju'le'bu 天才俱乐部
'tian'ji'jiang'jun 天击将军
'ting'yun 停云
'tong'xie 同谐
'tuo'pa 托帕
'wa'er'te 瓦尔特
'wei'ba'da'ye 尾巴大爷
'wei'li'ta'si'la'di'ao 维里塔斯拉帝奥
'wu'ming'ke 无名客
'xi'er 希儿
'xi'lu'wa 希露瓦
'xi'pei 希佩
'xian'zhou'lian'meng 仙舟联盟
'xing'he 星核
'xing'he'lie'shou 星核猎手
'xing'ji'he'ping'gong'si 星际和平公司
'xing'ji'lv'xing 星际旅行
'xing'qiong 星琼
'xing'qiong'lie'che 星穹列车
'xing'qiong'tie'dao 星穹铁道
'xing'shen 星神
'xu'gou'shi'xue'jia 虚构史学家
'xu'shu 虚数
'xu'shu'zhi'shu 虚数之数
'xu'wu 虚无
'xue'yi 雪衣
'xun'hai'you'xia 巡海游侠
'xun'lie 巡猎
'yan'qing 彦卿
'yao'qing 曜青
'yao'shi 药师
'yi'de'li'la 伊德莉拉
'yi'fu 义父
'yi'qi'ying'jie 异器盈界
'yin'lang 银狼
'yin'yue'jun 饮月君
'yin'zhi 银枝
'ying'xing 应星
'yu'kong 驭空
'yue'kuang 月狂
'yun'li 云璃
'yun'shang'wu'xiao 云上五骁
'zhan'lue'tou'zi'bu 战略投资部
'zhang'zhang 账账
'zhen'li'yi'sheng 真理医生
'zhen'zhu 真珠
'zhi'geng'niao 知更鸟
'zhi'shi 智识
'zhong'cai'guan 仲裁官
'zhu'cheng'zhe 筑城者
