'a'luo'han'neng'zuo'shi'nian 阿罗汉能作是念
'a'na'han'ming'wei'bu'lai 阿那含名为不来
'a'na'han'neng'zuo'shi'nian 阿那含能作是念
'bai'fen'bu'ji'yi 百分不及一
'bai'qian'wan'jie'nan'zao'yu 百千万劫难遭遇
'bai'qian'wan'yi'fen 百千万亿分
'bi'fei'zhong'sheng 彼非众生
'bu'jing'bu'bu'bu'wei 不惊不怖不畏
'bu'ke'yi'san'shi'er'xiang'de'jian'ru'lai 不可以三十二相得见如来
'bu'ke'yi'shen'xiang'de'jian'ru'lai 不可以身相得见如来
'bu'neng'jian'ru'lai 不能见如来
'bu'neng'jie'wo'suo'shuo'gu 不能解我所说故
'bu'neng'ting'shou'du'song'wei'ren'jie'shuo 不能听受读诵为人解说
'bu'qu'yu'xiang 不取于相
'bu'ru'se'sheng'xiang'wei'chu'fa 不入色声香味触法
'bu'sheng'fa'xiang 不生法相
'bu'shou'bu'tan'fen 不受不贪分
'bu'ye 不也
'bu'ying'qu'fei'fa 不应取非法
'bu'ying'tan'zhu 不应贪著
'bu'ying'yi'san'shi'er'xiang'guan'ru'lai 不应以三十二相观如来
'bu'ying'zhu'se'sheng'xin 不应住色生心
'bu'ying'zhu'sheng'xiang'wei'chu'fa'sheng'xin 不应住声香味触法生心
'bu'zhu'sheng'xiang'wei'chu'fa'bu'shi 不住声香味触法布施
'bu'zhu'yu'xiang 不住于相
'cheng'jiu'di'yi'xi'you'gong'de 成就第一希有功德
'chi'jing'gong'de'fen 持经功德分
'chi'yu'ci'jing 持于此经
'chu'ri'fen'yi'heng'he'sha'deng'shen'bu'shi 初日分以恒河沙等身布施
'ci'di'qi'yi 次第乞已
'ci'fa'wu'shi'wu'xu 此法无实无虚
'ci'pu'sa'sheng'qian'pu'sa'suo'de'gong'de 此菩萨胜前菩萨所得功德
'ci'ren'wu'wo'xiang'ren'xiang'zhong'sheng'xiang'shou'zhe'xiang 此人无我相人相众生相寿者相
