'a'duo'nuo 阿多诺
'a'er'du'sai 阿尔都塞
'an'nian'ke'fu 安年柯夫
'ba'ku'ning 巴枯宁
'bao'wei'er 鲍威尔
'bi'ran'wang'guo 必然王国
'bi'ran'xing 必然性
'bian'zheng'fou'ding'guan 辩证否定观
'bian'zheng'wei'wu'zhu'yi 辩证唯物主义
'bo'en'shi'tan 伯恩施坦
'bo'xue'lv 剥削率
'bu'bian'zi'ben 不变资本
'bu'er'shi'wei'zhu'yi 布尔什维主义
'bu'ha'lin 布哈林
'bu'ke'zhi'lun 不可知论
'bu'luo'he 布洛赫
'da'zhong'wen'hua'pi'pan 大众文化批判
'dang'xing'yuan'ze 党性原则
'de'li'da 德里达
'di'de'luo 狄德罗
'dong'fang'she'hui 东方社会
'dou'zheng'xing 斗争性
'du'lin 杜林
'dui'kang'xing'mao'dun 对抗性矛盾
'dui'li'tong'yi 对立统一
'dui'xiang'hua 对象化
'er'yuan'lun 二元论
'fa'zhan'zhe'xue 发展哲学
'fa'zhe'xue 法哲学
'fan'ying'lun 反映论
'fei'er'ba'ha 费尔巴哈
'fen'xi'de'ma'ke'si'zhu'yi 分析的马克思主义
'fen'xi'ma'ke'si'zhu'yi'zhe'xue 分析马克思主义哲学
'fen'xi'zhe'xue 分析哲学
'fou'ding'bian'zheng'fa 否定辩证法
'fou'ding'de'bian'zheng'fa 否定的辩证法
'fu'li'ye 傅立叶
'gai'zao'shi'jie 改造世界
'gan'xing'ren'shi 感性认识
'ge'lan'xi 葛兰西
'ge'ming'shi'li'shi'de'huo'che'tou 革命是历史的火车头
'ge'ming'xing 革命性
'gen'ben'mao'dun 根本矛盾
'gong'xiang 共相
'gong'ye'hua'pi'pan 工业化批判
'guan'nian'shang'ceng'jian'zhu 观念上层建筑
'guan'xi'ben'ti'lun 关系本体论
'ha'bei'ma'si 哈贝马斯
'he'fa'xing 合法性
'he'li'lun 合力论
'he'li'nei'he 合理内核
'he'li'xing 合理性
'hei'ge'er 黑格尔
