'a'ji'xiu'si 阿基修斯
'a'yi'nu'er 阿依努尔
'an'lang'xi'zhao 暗狼袭爪
'an'long'huo'chong 暗龙火冲
'ao'ran'dao'shi 傲然刀势
'ba'shan'shi 霸山式
'bai'bu'chan'si'shou 百步缠丝手
'ben'lang'ta'yue'shi 奔狼踏月式
'bing'po'zhen 冰魄针
'bing'quan'wan 兵犬丸
'cheng'mu'hua 程沐华
'chi'zhu 迟驻
'chou'hen'pao'xiao 仇恨咆哮
'chu'jing'bai'yu 初景白雨
'ding'bo'shi 定波式
'dou'zhuan'jin'yi 斗转金移
'duan'ge'chui'lian 短歌垂链
'duan'ge'wan'jie 短歌万劫
'duan'ge'yi'shang 短歌一觞
'duo'ming'tu 夺命突
'e'du'bao'fa 厄毒爆发
'e'du'zhang'fa 厄毒掌法
'fang'yu'qian 方宇谦
'fei'yun'hui'zhuan'dao 飞云回转刀
'feng'du 冯度
'feng'kuang'ji'zou 疯狂疾走
'fu'she'zhao'huan 蝮蛇召唤
'gu'ao'zhan'qi 孤傲战鳍
'gui'chao'chang'sheng'fa 归潮长生法
'gui'ying'xiao'ci'lang 鬼影小次郎
'hai'she'tou'qiang 海蛇投枪
'hao'lian'wang'yue 皓莲望月
'hei'sha'luo'tan'lang 黑煞落贪狼
'hong'fu'lue'ying 红蝠掠影
'hua'he'yan 华鹤炎
'hua'qian'xiao'zai 花钱消灾
'hua'san'qu'hei'dong 华散曲黑洞
'hua'ying'fei'fu 画影飞赴
'huo'mei'zhi 火魅指
'huo'yan'tun'tu 火焰吞吐
'huo'yan'zhi'zhong 火焰之种
'huo'yun 火云
'ji'kai'yuan'xing'ji 机铠原型机
'ji'qi'fa'men 积气法门
'jian'ying'ning'shi 渐影凝视
'jiao'di'ji'qiao 角抵技巧
'jiu'yin'feng'mai'zhi 九阴封脉指
'ju'he'guan'cheng 居合贯诚
'ju'yuan'pi'shan 巨猿劈山
'kong'xue'lai'feng 空穴来风
'lian'she'hua'zhao'huan 炼蛇花召唤
'liang'shang'jun'zi 梁上君子
'lin'kong'duo'zhu 临空夺珠
'ling'chong'zhao'huan 灵虫召唤
'ling'yun'bu 凌云步
'long'xiang'bo're'gong 龙象般若功
'lu'shen 戮身
'lu'xun 陆寻
'luo'yi 罗翼
'ma'fei'san 麻沸散
'ming'fu'hua'xing 冥府滑行
'mu'dan 牡丹
'nei'li'chao'xi 内力潮汐
'ni'xin'zhuan'mai 逆心转脉
'po'lie 破裂
'po'zhu'fan 破竹返
'qi'huang'hei'ya 七荒黑牙
'qi'ren'fa 气刃法
'qi'xue'can'shi'fa 气血蚕食法
'qian'kun'yi'zhi 乾坤一掷
'qian'nan'zhuan 钱南撰
'qian'zong'long 钱宗龙
'qiang'duan'qing'chuan 枪断晴川
'qiang'fa'fu'she 枪法蝮蛇
'qiang'fa'san'zhen 枪法散阵
'qiang'fa'tie'lin 枪法铁林
'qiang'fa'yan'luo 枪法炎罗
'qin'lei 秦雷
'quan'ying'huan'ge 泉映幻歌
'san'ge'tong'qian 三个铜钱
'san'yang'chuan'xin'zhang 三阳穿心掌
'san'zhen'qiang 散阵枪
'sha'zhi'xi 鲨之息
'shang'han'ci'gu'zhen 伤寒刺骨针
'shang'shan'yong'dao 上衫勇刀
'she'lu'xu'ming'wan 麝鹿续命丸
'shi'gu'zhi'hua 蚀骨之花
'shi'gui'feng'jin 尸鬼封烬
'shi'xue'duo'hun 噬血夺魂
'si'tu'yi'yi 司徒一一
'ta'yue'shi'lue'tu 踏月式掠途
'te'zhi'jin'chuang'yao 特制金创药
'te'zhi'zhi'xue'qian 特制止血钳
'ti'duo'luo'zha 提多罗吒
'tian'gong'ji'jia'long 天工机甲龙
'tian'gong'ji'jia'ren 天工机甲人
'tian'yang'sheng'xi'fa 天养生息法
'tie'lu'ji'jia 铁炉机甲
'tong'shi'jin'jue 通世金诀
'tu'beng'zha'dan 土崩炸弹
'tu'ling'dao'fu 土灵道符
'tu'si'hu'bei 兔死狐悲
'tuo'luo'qu'bo'wen 陀罗曲波纹
'tuo'luo'qu'jing'bi 陀罗曲静壁
'tuo'luo'qu'po'jing 陀罗曲破镜
'wan'hua 挽花
'wan'hua'jin'chuang'yao 万花金创药
'wan'kang 顽抗
'wan'she'gu 万蛇骨
'wei'qi'wu 卫栖梧
'wei'rou'si 韦柔丝
'wu'chao'suo'zhi 物超所值
'wu'kui'zhao'lai 武傀召来
'wu'ling'jia'hu 五灵加护
'wu'xing'shu'lei'zhen 五行术雷震
'wu'xing'shu'tu'dun 五行术土遁
'wu'xue'san 武雪散
'wu'yi'qing 武逸青
'xi'da'luo'mo 悉达罗摩
'xia'yue'chang'zhen 霞月长针
'xiao'tong 肖童
'xiao'wu'zong 萧武宗
'xie'yun'liu 谢云流
'xiong'ren'luan'wu 凶刃乱舞
'xiu'luo'wen'jian 修罗问剑
'xuan'ming'xian 悬命线
'xuan'zhu'hua'mi 玄珠花蜜
'xue'long'shuai'wei 血龙甩尾
'xue'tu'feng'bao 血涂风暴
'yang'jian'shi 漾剑式
'ye'cha'tan'hai'jue 夜叉探海诀
'yi'dao'bing'chui 一刀柄锤
'yi'dao'fu'chen 一刀浮尘
'yi'shan'tian'zhu 一闪天诛
'yi'shan'wu'hen 一闪无痕
'yin'lei'zhi'zhong 阴雷之种
'yin'ran 引燃
'yin'yang'shu'tui'san 阴阳术退散
'you'ming'zhi 幽冥指
'yu'xiu'ling'yao 毓秀灵药
'yuan'ming'ya 源明雅
'zhui'long'jing'hong 坠龙惊鸿
