'bu'ai'bu'ren'ai'er'hou'ren 不爱不仁爱而後仁
'bu'jian'jian'bu'xing'xing'ye'zhe'yan'qi'suo'xing'zhi 不间简不行行也者言其所行之
'bu'jing'bu'yan'yan'you'jing'zhi'ze'ji'zhe'ye 不敬不严严犹敬之责积者也
'bu'qi'xin'bu'qin'qi'xin'er'hou'neng'qin'zhi 不戚心不亲戚心而後能亲之
'bu'qin'bu'ai'qin'er'hou'neng'ai'zhi 不亲不爱亲而後能爱之
'bu'ren'bu'an'ren'er'neng'an'tian'dao'ye 不仁不安仁而能安天道也
'bu'xing'bu'yi'yi'ye 不行不义义也
'bu'yan'bu'zun'yan'er'hou'ji'ji'zun 不严不尊严而後忌己尊
'bu'yue'bu'qi'xin'yue'er'hou'neng'qi'xin'suo'qi'xin 不悦不戚心悦而後能戚心所戚心
'bu'zun'bu'gong'gong'ye'zhe'yong'shang'jing'xia'ye 不尊不恭恭也者用上敬下也
'gong'er'hou'li'ye'you'yi'ti'li'qi'ye 恭而後礼也有以体礼气也
'he'he'sheng'mao'ye'yan 赫赫圣貌也言
'jing'mu'mou'er'zhi'zhi'wei'zhi'jin'zhi 经目侔而知之谓之进之
'ren'yi'xin'ye'tong'ze'shan'er 仁义心也同则善耳
'sheng'ren'zhi'tian'zhi'dao'dao'zhe'suo'dao'ye 圣人知天之道道者所道也
'shi'you'zhi'yu'jun'zi'dao'wei'zhi'zhi'shi 士有志於君子道谓之志士
'shi'yue'bu'bu'jiu'bu'gang'bu'rou'ci'zhi'wei'ye 诗曰不不救不刚不柔此之谓也
'shi'zhi'wei'du'du'ye'zhe'she'ti'ye 是之谓独独也者舍体也
'shuo'bu'jian'bu'hang'jian'jian'ye'jian'jian'ze'xing'yi 说不简不行间简也间简则行矣
'shuo'jin'sheng'er'yu'zhen'zhi 说金声而玉振之
'shuo'shi'niao'jiu'zai'sang'zhi'zhi'ye 说尸鸟鸠在桑直之也
'si'hang'zhi'suo'he'yan'he'ren'yi'ye 四行之所和言和仁义也
'suo'an'suo'xing'suo'jing'ren'dao'ye 所安所行所敬人道也
'xing'ze'sheng'sheng 形则圣圣
'yi'qi'zhong'xin'yu'ren'jiao'yue'ye'ke'ke 以其中心与人交悦也壳壳
'yu'yin'ze'sheng'xing 玉音则圣形
'yuan'er'zhuang'zhi'jing'ye'jing'zhe 远而庄之敬也敬者
'zhi'er'sui'zhi'ye'zhe'sui'zhi'zhe'ye'zhi'zhe'gui'ye 直而遂之也者遂直者也直者贵也
