'an'zhi'fei'ren'zhi'zen'su 安知非人之谮诉
'ban'si'ban'lv 半丝半缕
'bao'zai'qi'nv 报在妻女
'bi'mei'qie'jiao 婢美妾娇
'bi'qin'zi'jian'dian 必亲自检点
'bian'shi'da'e 便是大恶
'bo'fu'mu 薄父母
'bu'cheng'ren'zi 不成人子
'bu'ke'sheng'du'ji'xin 不可生妒忌心
'bu'ke'sheng'xi'xing'xin 不可生喜幸心
'bu'shi'zhen'shan 不是真善
'chu'shi'jie'duo'yan 处世戒多言
'dang'ren'nai'san'si 当忍耐三思
'dang'si'lai'chu'bu'yi 当思来处不易
'de'yi'bu'yi'zai'wang 得意不宜再往
'du'shu'zhi'zai'sheng'xian 读书志在圣贤
'e'kong'ren'zhi 恶恐人知
'fan'shi'dang'liu'yu'di 凡事当留余地
'fei'gui'fang'zhi'fu 非闺房之福
'fei'tu'ke'di 非徒科第
'fu'bian'wei'huo'zhao 福变为祸兆
'fu'gui'zhi'dao'lao 富贵直到老
'guai'gu'rou 乖骨肉
'guai'pi'zi'shi 乖僻自是
'guan'suo'men'hu 关锁门户
'guo'ke'zao'wan 国课早完
'heng'nian'wu'li'wei'jian 恒念物力维艰
'hui'wu'bi'duo 悔误必多
'huo'yan'zi'sun 祸延子孙
'huo'zhuan'wei'fu'bao 祸转为福报
'ji'hun'bian'xi 既昏便息
'ji'nang'tuo'wu'yu 即囊橐无余
'ji'si'bu'ke'bu'cheng 祭祀不可不诚
'ji'xiong'wei'ren'zhao 吉凶惟人召
'ji'ze'ke'xiang'yi 急则可相依
'jia'dao'nan'cheng 家道难成
'jia'men'he'shun 家门和顺
'jia'nv'ze'jia'xu 嫁女择佳婿
'jian'fu'gui'er'sheng'chan'rong'zhe 见富贵而生谄容者
'jian'mo'shen 贱莫甚
'jian'qiong'ku'qin'lin 见穷苦亲邻
'jian'se'er'qi'yin'xin 见色而起淫心
'jiao'zi'yao'you'yi'fang 教子要有义方
'jing'shu'bu'ke'bu'du 经书不可不读
'jiu'bi'shou'qi'lei 久必受其累
'ju'jia'jie'zheng'song 居家戒争讼
'ju'shen'wu'qi'zhi'pu 居身务期质朴
'ke'bo'cheng'jia 刻薄成家
'li'jian'xiao'wang 立见消亡
'li'ming'ji'qi 黎明即起
'li'wu'jiu'xiang 理无久享
'lun'chang'guai'chuan 伦常乖舛
'ming'hao'xin'bu'hao 命好心不好
'ming'shi'zao'yu'xin 命实造于心
