'bei'ren'ni'sha 被人溺杀
'bi'shang'zhe'qu'chu 比伤着去处
'bie'wu'cai'wu 别无财物
'bing'huan'shu'zhe'zhi'ming'er'yi 病患数者致命而已
'bu'dai'zhi'lei'jiao'sha 布袋之类绞杀
'bu'guo'dao'ren'sha'shang'yu'ta'wu'dou'da 不过刀刃杀伤与他物斗打
'bu'jian'hen 不见痕
'bu'ke'shi'wu 不可失误
'bu'ran 不然
'bu'shu'ri'jian 不数日间
'ceng'jian'xiang'da'fen'san'zheng'zuo'ren 曾见相打分散证佐人
'ceng'you'yan'guan 曾有验官
'cha'zhi'hao'li'shi'zhi'qian'li 差之毫厘失之千里
'cheng'gao'pu'xia'zhuo'si 乘高扑下卓死
'chi'tang'bian 池塘边
'ci'bi'shi'bei'shang'ren'jiu'you'su'huan 此必是被伤人旧有宿患
'da'chu'wei'xing'ren'chu 大处为行刃处
'da'fan'xiang'bing'sha 大凡相并杀
'da'xiao'bian'er'chu'kong'you'ta'zhong'hen 大小便二处恐有踏肿痕
'dan'yan'shi'jiao'chu'gao'xia 但验失脚处高下
'dan'yi'yi'zha'shang'yan'zhuang 但一一札上验状
'dang'jiu'jia'zhi'yuan'qing 当究甲之原情
'dao'zai'shui'nei 倒在水内
'die'guan'yan'shi 牒官验尸
'ding'liang'xiang'bing'sha 定两相并杀
'dou'ou'you'zai'xian'nei'zhi'ming 斗殴有在限内致命
'duo'shi'bei'ren'yi'wu'da'kou'bi'ji'yan'wu'sha 多是被人以物搭口鼻及罨捂杀
'duo'shi'dan'du'ren 多是单独人
'duo'shi'shen'zi'huo'yi'ge'huo'liang'ge'suo'shang'bu'jian 多是肾子或一个或两个缩上不见
'duo'shi'tong'hang'ren 多是同行人
'er'jia'yu'mou'qu'zhi 而甲欲谋取之
'er'qi'yi'jue 而气亦绝
'er'shi'shang'bing'wu'hen'sun 而尸上并无痕损
'er'shi'yin'bing'huan'shen'si 而实因病患身死
'er'yuan'yong'wu'gui'yi 二冤永无归矣
'fan'jian'yan'yi'nan'shi'shou 凡检验疑难尸首
'fan'shi'zai'shen'wu'hen'sun 凡尸在身无痕损
'fan'yan'shi 凡验尸
'fan'yan'yin'zheng'dou'zhi'si 凡验因争斗致死
'fang'kan'kou'nei'you'wu'xian'tuo 方看口内有无涎唾
'fen'men 粪门
'fu'du'zhang 腹肚胀
'fu'ren'nian'shao'zhi'lei'ye 妇人年少之类也
'ge'gen'ju'ben'ou'shang'fa 各根据本殴伤法
'ge'zi'fen'san 各自分散
'geng'bu'ke'ding'zuo'zhi'ming'qu'chu 更不可定作致命去处
'geng'kan'ding'xiang'shang'rou'ying'ji'shi 更看顶项上肉硬即是
'geng'you'xiang'da'san 更有相打散
'guan'si'dan'yi'ge'you'shang 官司但以各有伤
'gui'zai'jing'zhuan 贵在精专
'he'yi'ding'yao'hai'zhi'ming'chu 何以定要害致命处
'he'yi'yan'zhi 何以验之
'hou'jian'zhong'yu'bu'zhong 喉间肿与不肿
'hou'xiang'gu'duan 后项骨断
'hou'zi'ren'er'si 后自刃而死
'huo'qu'shui'chi 或取水吃
'huo'yi'bian'si'zhong 或一边似肿
'huo'yin'zui'xiang'da'hou'tou'xuan 或因醉相打后头旋
'huo'you'qu'jin'jiang'he 或有去近江河
'huo'zhe'wei'zheng'dou'yi'qian 或者未争斗以前
'huo'zhe'yong'shou'jin 或者用手巾
'ji'qi'yan'ye 即其验也
'ji'wang'guan'yan 及往观焉
'jia'hu'yi'xing 甲呼乙行
'jia'zhi'yi'jiu'shui'er'si 甲执乙就水而死
'jian'fu'ren 检妇人
'jian'yi'shi'zai'xiao'mao'she'wai 见一尸在小茅舍外
'jiang'chu'tou'tong'kai'shan'zhong'su 将锄头同开山种粟
'jin'ji'shi'luo'shui'shen'si 今既是落水身死
'jing'zai'su'bu'gui 经再宿不归
'kan'shou'zu'you'wu'ji'fu'hen 看手足有无击缚痕
'ke'yi 可矣
'kong'huan'chan'hou'feng'si 恐患缠喉风死
'kong'shi'jiu'zui'cuan'dao 恐是酒醉撺倒
'kong'yin'qu'wu'shi'jiao'zi'shang'zhi'lei 恐因取物失脚自伤之类
'kong'you'ping'tou'ding 恐有平头钉
'kong'you'ying'wu'zi'ci'ru 恐有硬物自此入
'kong'you'zi'ci'ru'dao'yu'fu'nei 恐有自此入刀于腹内
'kou'chun'qing'ban 口唇青斑
'le'sha 勒杀
'li'pi'qian 离皮浅
'li'you'wan'duan'bing'wei'yi'nan 理有万端并为疑难
'liang'shou'xiang'qian 两手向前
'lin'shi'shen'cha'qie'wu'qing'yi 临时审察切勿轻易
'ling'wai'sheng'bing'lin'ren'zi 令外甥并邻人子
'ling'wu'zuo'xing'ren'yi'shou'an'xiao'fu'xia 令仵作行人以手按小腹下
'lu'zhi'xi'he 路至溪河
'luo'shui'shi'shang'huo 落水时尚活
'luo'shui'yan'si 落水淹死
'nai'er'ren'ju'si'zai'shan 乃二人俱死在山
'nai'ji'de'yi'ren 乃缉得一人
'ni'si'lei'hu'tou'shui 溺死类乎投水
'pu'sun'hen'ban'zhi'ming'yao'hai'chu 扑损痕瘢致命要害处
'qi'ji 气疾
'qi'she'nei'zhe 其舍内者
'qi'shen'zi'zi'xia 其肾子自下
'qi'shi'fu'du'peng'zhang 其尸腹肚膨胀
'qi'shi'shang'you'ou'ji'hen'sun 其尸上有殴击痕损
'qi'shi'shi'yi'ta'gu'zhi'si'fen'ming 其实是以他故致死分明
'qi'you'shou'you'duan'ren'wu'ji'zhu'tou'zhi'lei 其右手有短刃物及竹头之类
'qi'you'zi'yong'ren'yu'nao'hou'zhe 岂有自用刃于脑后者
'qie'yao'zhe 切要者
'qiu'shi'fu'ren 求食妇人
'quan'shou'ou'ji 拳手殴击
'que'ding'zuo'yin'da'shang'mi'men'bu'jue 却定作因打伤迷闷不觉
