'ai'wen 艾文
'an'sha'zhe'mian'zhao 暗杀者面罩
'an'ying'fa'zhang 暗影法杖
'bao'shi'yao'jing'diao'xiang 宝石妖精雕像
'bei'dian 备店
'bei'shang'hong'yue'zhi'xue'lei 悲伤红月之血泪
'biao'yan 表演
'bing'mian'ma'sha 丙棉麻纱
'bing'mian'xi'bu 丙棉细布
'bing'shuang 冰霜
'bing'zhi'ling'yu 冰之领域
'bing'zhi'shou'hu'zhe 冰之守护者
'bo'wu'guan'jie'shuo'yuan 博物馆解说员
'bu'la'de 布拉德
'bu'lan'te 布兰特
'bu'mie'sheng'ming'jing'hua 不灭生命精华
'bu'xing'jie 步行街
'cai'feng 裁缝
'cang'qiong'ju'chang 苍穹剧场
'cang'qiong'zhi'tong 苍穹之铜
'chang'fu 常服
'chen'mo 沉默
'chi'hong'shi'wang'gu'kui 赤红狮王骨盔
'chi'hong'shi'wang'pi'jia 赤红狮王皮甲
'chi'hong'shi'wang'zhao'xue 赤红狮王爪靴
'chi'tie 赤铁
'chi'tie'lin'kai 赤铁鳞铠
'chi'tie'tou'kui 赤铁头盔
'chi'tie'yuan'dun 赤铁圆盾
'chi'tie'zhan'xue 赤铁战靴
'chun'mian'zhi'wu 纯棉织物
'cu'pi 粗皮
'da'di'zhi'mai 大地之脉
'da'ju'yuan 大剧院
'da'ju'yuan'yan'chu'piao 大剧院演出票
'da'lu'li'shi'zi'ran'bo'wu'guan 大陆历史自然博物馆
'di'zhi'shou'hu'zhe 地之守护者
'die'da'sun'shang'yao 跌打损伤药
'ding'lv'dian 顶旅店
'dong'fang'niang'zhuang 东方娘装
'dou'zhi 斗志
'du'du'zhu'bu'ou 嘟嘟猪布偶
'du'jin'huai'biao 镀金怀表
'dun'pai 盾牌
'e'huang'jing 鹅黄晶
'fan'dian'shi'zhe 饭店侍者
'fen'miao'bi'zheng 分秒必争
'fen'nu 愤怒
'feng'bao 风暴
'feng'qiang 风墙
'fu'chou 府绸
'fu'hua 腐化
'fu'jia'gong'ji 附加攻击
'fu'shi'dian 服饰店
'fu'su 复苏
'fu'xian'mian'fang'zhi'pin 富纤棉纺织品
'fu'xian'mian'hun'fang'zhi'wu 富纤棉混纺织物
'fu'zhuang'jian'cai 服装剪裁
'gang'tie 钢铁
'gang'tie'ci'dun 钢铁刺盾
'gang'tie'suo'jia 钢铁锁甲
'gang'tie'tou'kui 钢铁头盔
'gang'tie'zhan'xue 钢铁战靴
'ge'chang 歌唱
'ge'chang'yan'yuan 歌唱演员
'gong'chang 工厂
'gu'shu 古树
'gu'shu'qu 古树区
'gu'wu 鼓舞
'gu'xiang'duan 古香缎
'guang'mian'pi'ge 光面皮革
'gui'zu'ci'ke 鬼族刺客
'gui'zu'da'fa'shi 鬼族大法师
'gui'zu'fa'shi 鬼族法师
'gui'zu'gong'bing 鬼族工兵
'gui'zu'huo'qiang'shou 鬼族火枪手
'gui'zu'huo'qiang'shou'jun'guan 鬼族火枪手军官
'gui'zu'jin'wei'dui 鬼族近卫队
'gui'zu'nu'shou 鬼族弩手
'gui'zu'pao'bing 鬼族炮兵
'gui'zu'qi'shi 鬼族骑士
'gui'zu'qing'bao 鬼族情报
'gui'zu'xiao'fu 贵族校服
'gui'zu'xun'luo'bing 鬼族巡逻兵
