'ba'qi'wei'wu 霸气威武
'bai'bai'ge 拜拜咯
'bai'chi 白痴
'ban'fu'ban'fu 板斧版副
'ban'zhu'ban'zhu'zhi'yi'you'shi'xie'zuo'ban'zhu'deng 斑竹版主之意有时写作板猪等
'bei'bei'bai'bai 贝贝拜拜
'bei'lei'dao'le 被雷到了
'bi'shi 鄙视
'bian'tai 变态
'biao'bu'yao'jiang'bu'yao'liang'zi'kuai'su'lian'du'er'cheng 表不要将不要两字快速连读而成
'bu'chong'shuo'ming 补充说明
'bu'ji'dao'bu'zhi'dao'de'xie'yin 布吉岛不知道的谐音
'bu'qie'shi'ji'di'hu'si'luan'xiang 不切实际地胡思乱想
'cai'biao'ming'fan'dui'zhi'yi 踩表明反对之意
'cai'niao'biao'shi'shen'me'dou'bu'dong'tong'xiao'bai 菜鸟表示什么都不懂同小白
'chun'jie 纯洁
'chun'jing'shui'wu'ren'he'nei'rong'de'guan'shui 纯净水无任何内容的灌水
'cu'hua 粗话
'di'di'quan'pin'de'suo'xie 弟弟全拼的缩写
'fen'hen'you'min'nan'fang'yan'yan'bian 粉很由闽南方言演变
'fu'hei'hei'xin'gan'huo'shi'biao'li'bu'yi 腹黑黑心肝或是表里不一
'ge'ge'quan'pin'de'suo'xie 哥哥全拼的缩写
'ge'zan'hen'zan'de'yi'si 个赞很赞的意思
'gen'tie'zai'tie'zi'shang'fa'biao'ping'lun 跟帖在帖子上发表评论
'gong'sui'qiang'de'zuo'you'bu'fen'xiang'jian'huo'xing'wen 弓虽强的左右部分详见火星文
'guan'shui'fa'wu'liao'di'hui'de'tie'zi'huo'ping'lun 灌水发无聊诋毁的帖子或评论
'han'hai'pa 寒害怕
'jiu'shi'jiu'shi 就是就是
'kao'yu'qi'ci'yi'ban'biao'shi'ma'ren 靠语气词一般表示骂人
'la'ji 垃圾
'lan'ren 烂人
'lan'zhou'lou'zhu'huo'bu'wen'ming'yong'yu'lan'zhou'shao'bing 兰州楼主或不文明用语兰州烧饼
'lao'gong 老公
'lao'po 老婆
'lou'shang 楼上
'lou'xia 楼下
'lou'zhu 楼主
'lou'zhu'lou'zhu 楼猪楼主
'lu'guo'sui'bian'kan'le'yi'xia'tie'zi'er'yi 路过随便看了一下帖子而已
'ma'pi'jing 马屁精
'mao'si 貌似
'mei'mei'huo'mei'mei'quan'pin'de'suo'xie 妹妹或美眉全拼的缩写
'mi'mei'you'you'shi'zhi'yu'ming 米没有有时指域名
'na'ni'yuan'yu'ri'yu'shen'me'de'yi'si 纳尼源于日语什么的意思
'nao'can 脑残
'nao'can'ma'ren'zhi'yi'shen'yong 脑残骂人之意慎用
'o'da'bai'chi 哦大白痴
'pai'ma'pi 拍马屁
'pai'zhuan'tou'pi'ping'mou'tie 拍砖头批评某帖
'pao'zhuan'gen'tie 抛砖跟贴
'pei'fu 佩服
'piao'liang'mei'mei'quan'pin'de'suo'xie 漂亮美眉全拼的缩写
'piao'piao'mei'mei'de'pin'yin'suo'xie 漂漂美眉的拼音缩写
'pin'ming'pai'ma'pi 拼命拍马屁
'qi'si'wo'le'de'yi'si 气死我了的意思
'ren'pin 人品
'ren'pin'yi'ban'zhi'yun'qi 人品一般指运气
'ru'ti 如题
'shan'li'kai 闪离开
'shan'zhai 山寨
'shao'bao'huo'sha'bi 烧包或傻逼
'shen'ma'shen'me 神马什么
'shui'zheng'qi'ye'shi'wu'ren'he'nei'rong'de'guan'shui'ba 水蒸气也是无任何内容的灌水吧
'shun'bian'shuo'yi'xia'ying'guan'yong'yu'zhuan'lai 顺便说一下英惯用语转来
'ta'ma'de'cu'kou 他妈的粗口
'ta'nai'nai'de'cu'kou 他奶奶的粗口
'ta'ye'ye'de'cu'kou 他爷爷的粗口
'teng'xun'de'pin'yin'suo'xie 腾讯的拼音缩写
'tiao'xi'de'pin'yin'suo'xie 调戏的拼音缩写
'tong'shang 同上
'tong'xue'de'pin'yin'suo'xie'ye'zuo'tong'xie 同学的拼音缩写也作童鞋
'wo'ai'ni'xiang'ai'ni'yi'qi'zou 我爱你想爱你一起走
'wo'tu 我吐
'wu'nai 无奈
'xia'mi'min'nan'yu'shen'me'de'yi'si 虾米闽南语什么的意思
'xia'pian'pian 夏骗骗
'you'mu'you'you'mei'you'chu'zi'he'nan'shan'dong'fang'yan 有木有有没有出自河南山东方言
'yun'dao'wu'fa'li'yu'dao'le'ji'dian 晕倒无法理喻到了极点
'zai'jian'ri'yu 再见日语
'zei'e'zhen'e'xin'ba'zhen'e 贼恶真恶心吧真恶
'zhai'nv'zhai'nan 宅女宅男
'zhi'mao'yi 织毛衣
'zhong'me'ban'zen'me'ban'de'xie'yin 肿么办怎么办的谐音
'zhu'tou 猪头
'zhu'tou'jie'yong'liu'xing'hua'yuan'shan'cai'yu 猪头借用流星花园杉菜语
'zhuan'tie 转贴
