'an'fa'yi'chuan 按法以传
'an'guo'bao'zuo 安国保祚
'an'guo'chang'cun 安国长存
'an'guo'cun'zhong'min 安国存种民
'an'guo'ning'jia 安国宁家
'an'guo'zuo'er'fang'long 安国祚而方隆
'an'ning'shen'qi 安宁神器
'an'shen'zhen'ling 安神镇灵
'an'zhen'cun'guo 安镇存国
'an'zhen'wu'ling 安镇五灵
'ba'hai'da'shen 八海大神
'ba'jie'zhi'ri 八节之日
'ba'ling'tai'xu 拔领太虚
'ba'nian'jia'zhong'da'xiao 八念家中大小
'ba'wei'qi'chuan 八威七传
'ba'wei'zhi'min 八为治民
'ba'zhe'qi'de'ru'shen'ren 八者其德如神人
'ba'zhe'qun'wu'xiang'wu 八者羣乌翔舞
'ba'zhe'suo'zai'zhu'zhi 八者所在住止
'ba'zhe'wu'di'suo'ju 八者五帝所举
'ba'zhe'yu'tian'di'jie'qin 八者与天地结亲
'ba'zhe'zi'yun'tu'hui 八者紫云吐晖
'bai'di'gui'mo'yuan'she'liu'wan'li 白帝鬼魔远舍六万里
'bai'di'qi'men 白帝七门
'bai'di'shou'ci'wen'yi'zhen'xi'yue 白帝受此文以镇西岳
'bai'di'xing'pei'ci'wen 白帝行佩此文
'bai'di'yong'shi 白帝用事
'bai'di'zhen'ren'xia'shi 白帝真人下世
'bai'guan'shou'hui 百官受会
'bai'guan'shou'qi 百官收炁
'bai'hu 白鹄
'bai'hu'you'ting 白虎游庭
'bai'liu'cheng'jiu 百六乘九
'bai'long'xian'zhi'cao'er'qi'teng 白龙衔芝草而启腾
'bai'luan'fei'wu 白鸾飞呜
'bai'qi'fou 白炁否
'bai'qi'shi 白炁食
'bai'qian'wan'yi'yi'yi'wan'wan 百千万亿亿亿万万
'bai'qian'wan'zhong 百千万种
'bai'qian'wan'zhong'dao'qi 百千万重道气
'bai'ri'sheng'tian 白日升天
'bai'shi'e'e 白石峨峨
'bai'shu'chi'zeng 白书赤缯
'bai'shu'hei'zeng'pei'shen 白书黑缯佩身
'bai'shu'huang'zeng'san'cun'pei'shen 白书黄缯三寸佩身
'bao'bei'fang'hei'di'zhi'jiu'jiu'da'yun'jiao 宝北方黑帝治九九大运交
'bao'di'yu'yuan'gen 保地于元根
'bao'dong'fang'qing'di'zhi'jiu'jiu'ba'shi'yi'zhou 宝东方青帝治九九八十一周
'bao'er'wo 抱而卧
'bao'gu'yuan'zuo 保固元祚
'bao'guo'ning'jia 保国宁家
'bao'he'shi'sheng'yu'jiu'xuan'zhi'a 保和始生于九玄之阿
'bao'jie'yun'yu'tian'ji 保劫运于天机
'bao'ming'du 保命度
'bao'nan'fang'chi'di'zhi'jiu'tian'yun'zhou 宝南方赤帝治九天运周
'bao'qun'ming'yi'yong'an 保羣命以永安
'bao'tian'chang'sheng 保天长生
'bao'tian'di'yi'chang'cun 保天地以长存
'bao'xi'fang'bai'di 宝西方白帝
'bao'zhong'yang'huang'di'zhi'jiu'jiu'yun'zhong 宝中央黄帝治九九运终
'bei'bu'ci'jian 北部刺奸
'bei'chen'fu'shen 北辰辅肾
'bei'fang'dong'yin'shuo'dan'yu'jue 北方洞阴朔单郁绝
'bei'fang'dong'yin'shuo'dan'yu'jue'wu'ling'xuan'lao 北方洞阴朔单郁绝五灵玄老
