'ai'lao'zhi'cheng 矮老支撑
'an'ba'xian 暗八仙
'an'xi'xiang 安息香
'ao'gu'man 奥古曼
'ao'kan 奥坎
'ba'bao'wen 八宝纹
'ba'bu'chuang 拔步床
'ba'er'sha 巴尔沙
'ba'hua 巴花
'ba'jie 疤结
'ba'tai 吧台
'ba'wang'cheng 霸王枨
'ba'wang'cheng'cheng 霸王枨撑
'ba'xi'hua'li 巴西花梨
'ba'xian'zhuo 八仙桌
'bai'bao'qian'gong 百宝嵌工
'bai'la'mu 白蜡木
'bai'mei'gui 白玫瑰
'bai'mu 柏木
'bai'song 白松
'bai'tan 白檀
'bai'wu'tong 白梧桐
'bai'xiang'mu 白橡木
'ban'cai 板材
'ban'ma'mu 斑马木
'ban'sun 半榫
'ban'zhuo 半桌
'bao'ban 薄板
'bao'jian'sun'mao 抱肩榫卯
'bao'jiao 包脚
'bao'ping 刨平
'bao'zhu 宝珠
'bao'zi 刨子
'bao'zi'guang 刨子光
'bei'ban 背板
'ben'zi 锛子
'bian'bai 扁柏
'bian'bao 边刨
'bian'xing 变形
'bing'pan'ning'lu 冰盘凝露
'bing'pan'yan 冰盘沿
'bing'pan'yan'xian 冰盘沿线
'bo'gu'jia 博古架
'bo'gu'wen 博古纹
'bu'bu'gao'gan'cheng 步步高赶枨
'cai'di'fu'diao 踩地浮雕
'cai'gu'peng'ya 踩鼓膨牙
'cai'gu'sheng'wei 踩鼓生威
'cai'gu'xian'jiao 踩鼓线脚
'cai'gu'yang'xian 踩鼓阳线
'cai'kou 裁口
'cai'tang'qi'gu 踩膛起鼓
'cai'tang'qi'xian 踩膛起线
'cai'tang'yin'xian 踩膛阴线
'cai'wei'jiao 踩委角
'cai'wei'jiao'xian 踩委角线
'can'zhuo 餐桌
'cao'bao 槽刨
'ce'bai 侧柏
'ce'ban 侧板
'cha'ji 茶几
'cha'jian'sun 插肩榫
'cha'mu 檫木
'cha'sun 插榫
'cha'xiao'sun 插销榫
'chan'dao 铲刀
'chan'di'fu'diao 铲地浮雕
'chan'di'qi'xian 铲地起线
'chan'di'yang'wen 铲地阳纹
'chan'xue 铲削
'chan'zhi 缠枝
'chang'duan'sun 长短榫
'chang'mu'jiang 长木匠
'che'yuan 车圆
'chen'hua 陈化
'chen'lie'gui 陈列柜
'chen'xiang 沉香
'chen'xiang'mu 沉香木
'cheng'dang 撑档
'chi'long'wen 螭龙纹
'chong'yan 虫眼
'chu'cai 出材
'chu'gui 橱柜
'chuan'dai 穿带
'chuan'dai'sun 穿带榫
'chuan'dai'xie 穿带楔
'chuan'xiao'xie 穿销楔
'chuan'zuo 船作
'chuang'tou'gui 床头柜
'chun'deng 春凳
'cuo'dao 锉刀
'da'hao 打号
'da'mo 打磨
'da'mu'zuo 大木作
'da'wa'ma 大挖马
'da'wa'xian'jiao 打洼线脚
'da'wa'yin'xian 打洼阴线
'da'wa'zuo 打洼作
'da'yan 打眼
'dan'ban 单板
'dan'mian'tou'diao 单面透雕
'dang'ban 挡板
'dang'ban'tou'diao 挡板透雕
'dao'leng 倒棱
'deng'tai 灯台
'di'ban 底板
'dian'shi'gui 电视柜
'diao'dao 雕刀
'diao'hua'shi 雕花师
'diao'hua'zuo 雕花作
'ding'ban 顶板
